,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
G1,0.2608087,0.2744197,0.1749744,0.05787659999999999,0.0566866,0.1596211,0.051497,0.1520453,0.4395809,0.4251107,0.13740379999999996,0.07806339999999999,0.476416,0.2241661,0.495854,0.4246719,0.1327629,0.2260288,0.1930922,0.48318279999999997,0.09636660000000001,0.08995689999999999,0.06251190000000001,0.43325280000000005,0.09428560000000001,0.5414317,0.47010470000000004,0.5103125,0.11402670000000001,0.0897432,0.1065077,0.2042319,0.3096647,0.2883057,0.3522176,0.40913099999999997,0.3208669,0.3457884,0.2814718,0.18004160000000002,0.44351090000000004,0.2848042,0.4705973,0.29298359999999996,0.34999509999999995,0.3259094,0.1169899,0.4605465999999999,0.0755201,0.1730557,0.2236382,0.4125653,0.28295240000000005,0.22811149999999997,0.0568759,0.3161812,0.29585320000000004,0.3417461,0.3656014,0.3513038,0.3821501,0.1537481,0.3686423,0.3889749,0.40037849999999997,0.09495189999999999,0.4233949000000001,0.3074033,0.554642,0.20544690000000002,0.4395755,0.15154179999999998,0.4094253,0.1500825,0.0850599,0.2877462,0.0758346,0.5077041,0.1742664,0.25844029999999996,0.4265947,0.4039198,0.1809978,0.15422950000000002,0.4841539000000001,0.14917260000000002,0.17342,0.269887,0.1969433,0.3065607,0.1503187,0.24925189999999997,0.1482111,0.35910840000000005,0.1976471,0.070287,0.11710060000000001,0.0488341,0.0642824,0.12459939999999999
G2,0.3773118,0.33381009999999994,0.313279,0.41560640000000004,0.5012471,0.282008,0.3748891,0.3090113,0.279269,0.3328447,0.0695347,0.3116605,0.2423734,0.2869784,0.0129374,0.153329,0.2740752,0.48094899999999996,0.31485009999999997,0.2881419,0.21968939999999998,0.37879509999999994,0.17504,0.238146,0.27194159999999995,0.3842291,0.2253688,0.3031999,0.39677470000000004,0.5558655,0.29932709999999996,0.2016065,0.2444387,0.18131329999999998,0.33293590000000006,0.2475156,0.353647,0.1443058,0.2468824,0.190228,0.2270482,0.28542009999999995,0.21070279999999997,0.2460721,0.20489369999999998,0.19958589999999998,0.5859981,0.3203558,0.17971170000000003,0.5108904000000001,0.2485715,0.573589,0.2396471,0.1517348,0.2021694,0.502877,0.1796684,0.2926862,0.37803459999999994,0.2492834,0.2663939,0.2281435,0.21239070000000002,0.33532270000000003,0.2470181,0.3916533,0.1518069,0.1540743,0.28623259999999995,0.5544829000000001,0.1919759,0.0978829,0.1264875,0.2367007,0.3007729,0.19311129999999999,0.21501220000000004,0.3175659,0.107647,0.12190439999999998,0.39870720000000004,0.3399848,0.6396099000000001,0.24548530000000002,0.21225729999999998,0.0980863,0.2726237,0.22393369999999999,0.0604467,0.3437922,0.22537390000000002,0.3056543,0.5364369999999999,0.30178109999999997,0.33524109999999996,0.1464323,0.29916679999999995,0.30962009999999995,0.3880082,0.1909148
G3,0.4933734,0.38573909999999995,0.4351399,0.5569973000000001,0.6572974,0.3568559,0.3696565,0.5864233,0.4134204000000001,0.3895618,0.0541134,0.37490640000000003,0.42196819999999996,0.33465490000000003,0.3889026,0.49933720000000004,0.393418,0.1946211,0.34181300000000003,0.16485360000000002,0.6760055,0.33124309999999996,0.4810284000000001,0.0326654,0.27233509999999994,0.21622870000000002,0.4720344,0.43265190000000003,0.443304,0.4132938,0.45452529999999997,0.3936627,0.4663407,0.4756835,0.27130540000000003,0.3611242,0.41007790000000005,0.20213,0.44805920000000005,0.4921875,0.36036799999999997,0.48387559999999996,0.4287032,0.5802493000000001,0.3814241,0.32264040000000005,0.4249255,0.480937,0.4681025,0.4231945,0.257531,0.4293153,0.32451579999999997,0.4177277,0.44591390000000003,0.5527886,0.4319581,0.41457970000000005,0.5941605999999999,0.45407040000000004,0.516899,0.4013981,0.2362801,0.39810809999999996,0.4955988,0.5093628,0.4964523,0.3603877,0.21529600000000002,0.4087956,0.364834,0.3324002,0.49176440000000005,0.3248542,0.5838405,0.4032981,0.434116,0.381705,0.3644813,0.4902251,0.424486,0.4501097,0.40850549999999997,0.23990949999999997,0.3871118,0.48653609999999997,0.4469206,0.46136220000000006,0.5752618,0.44656899999999994,0.3819151,0.3495724,0.5098037999999999,0.27459720000000004,0.3842828,0.2551373,0.4173379,0.48988050000000005,0.44704570000000005,0.3023966
G4,0.18289629999999998,0.0582125,0.1537951,0.0570774,0.0611928,0.1321485,0.0822044,0.1686683,0.1021713,0.1000661,0.018835,6.7e-06,0.086662,0.014669,0.1322233,0.1683884,0.00033969999999999996,0.09287480000000001,0.1467828,0.1463404,0.1552229,0.1225634,0.13417779999999999,0.12877429999999998,0.1308188,0.0242137,0.0633764,0.038900300000000006,0.0569302,0.0042231000000000005,0.15814679999999998,0.11563179999999999,0.1846833,0.1773805,0.1216295,0.14219520000000002,0.0921996,0.1279333,0.1307274,0.11942149999999999,0.0074771,0.12475410000000002,0.0218865,0.1445658,0.1601391,0.0236731,0.09428980000000001,0.0007206000000000001,0.22812449999999998,0.0395122,0.0454159,0.0826484,0.1351981,0.1771428,0.13498,0.1538431,0.1506735,0.160701,0.1617948,0.1294383,0.05404590000000001,0.0776674,0.0461001,0.1054927,0.1043831,0.084527,0.14438099999999998,0.0652229,0.12978779999999998,0.0955207,0.0537332,0.16485429999999998,0.1207693,0.0751113,0.1679658,0.0786125,0.1242182,0.1448036,0.2016078,0.000669,0.0441469,0.1878648,0.1646828,0.1317487,0.0306819,0.0495603,0.154476,0.1508115,0.1230627,0.1716738,2.0399999999999998e-05,0.13604639999999998,0.09299400000000001,0.0739288,0.1151024,0.0968922,0.18952449999999998,0.086354,0.1650933,0.1014808
G5,0.472203,0.6436456,0.2102833,0.3604215,0.0995164,0.027398400000000003,0.4321102,0.5426698,0.0183505,0.44152600000000003,0.42071859999999994,0.6137491,0.535512,0.6079675,0.43183820000000006,0.39086550000000003,0.4019302,0.43481329999999996,0.5386291,0.42745730000000004,0.1047247,0.134474,0.4001128,0.4087582,0.2912622,0.5478052,0.308967,0.12873310000000002,0.42629220000000007,0.3264022,0.37652199999999997,0.27908520000000003,0.3752954,0.5361678000000001,0.3550644,0.33158109999999996,0.4314814,0.5766726,0.31448259999999995,0.5167510999999999,0.4738684,0.36068890000000003,0.4299117,0.5932891,0.43350559999999994,0.46790699999999996,0.20684339999999998,0.5709945,0.44643820000000006,0.6029555999999999,0.7593347,0.5502643,0.2500196,0.3755965,0.4579598,0.4373255999999999,0.4661009,0.379371,0.35369559999999994,0.401748,0.5022974,0.1182534,0.42900029999999995,0.41888220000000004,0.4943745,0.4538031,0.4959398,0.25843910000000003,0.3629824,0.406082,0.44337309999999996,0.35621590000000003,0.474836,0.2816958,0.3714779,0.6326987,0.5023014,0.46507790000000004,0.5416102,0.2031137,0.47315559999999995,0.55996,0.5733028,0.1195172,0.43382780000000004,0.45425470000000007,0.10416500000000001,0.4214599,0.42591260000000003,0.5304969,0.4275585,0.4596678,0.5190149000000001,0.0647637,0.2249551,0.1852043,0.28140329999999997,0.44199970000000005,0.3820115,0.1419943
G6,0.4404058,0.34580959999999994,0.16380899999999998,0.3652587,0.1592887,0.35156149999999997,0.31218440000000003,0.3519104,0.2092884,0.3268324,0.3672551,0.5364850999999999,0.5184144,0.5121654,0.3364184,0.4458362,0.38960670000000003,0.3724025,0.4788603,0.3712885,0.4043755,0.4338541,0.4075511,0.4464518,0.2317924,0.5698865,0.564311,0.2821547,0.48931099999999994,0.2710592,0.49151720000000004,0.390673,0.3246088,0.26265809999999995,0.4512062,0.4690037,0.15444639999999998,0.4225201,0.41391140000000004,0.4355455,0.2409788,0.3859141,0.46038679999999993,0.4333035,0.4824607,0.2769164,0.3574848,0.44569480000000006,0.4870982,0.4547897,0.4472575,0.3622507,0.4175072,0.3483988,0.5559125,0.480171,0.23279699999999998,0.221654,0.3087876,0.3795695,0.4667615,0.44842970000000004,0.5036510000000001,0.2743685,0.1538015,0.35939109999999996,0.668738,0.4161361,0.19429670000000002,0.451175,0.4089658,0.3619015,0.49529229999999996,0.5085699,0.4510483,0.3935105,0.20509179999999996,0.2658002,0.30143000000000003,0.39629369999999997,0.47091980000000006,0.4193348,0.4352754,0.4056817,0.3060024,0.425804,0.0512099,0.34197690000000003,0.4902194,0.34907659999999996,0.4375379,0.1728834,0.5062862,0.3958305,0.187697,0.2786345,0.44576899999999997,0.475054,0.3158851,0.33765609999999996
G7,0.6130808000000001,0.4115003,0.5280712,0.6382401,0.6191988,0.6318679,0.6580541,0.5000315,0.6090093000000001,0.6032599000000001,0.6218393,0.5940863000000001,0.6185989000000001,0.6920721,0.40726209999999996,0.5929578000000001,0.37857209999999997,0.1041347,0.4518601,0.5574398,0.4701032,0.6763511999999999,0.651546,0.5661387,0.5213873,0.33504659999999997,0.3382894,0.7430321,0.429924,0.6519906999999999,0.5459722,0.5973191999999999,0.7008934,0.5121095,0.5830806,0.7006631,0.7641669,0.4591814,0.4475843,0.6489057,0.7025819999999999,0.6016981,0.6429816999999999,0.5904437,0.47806400000000004,0.5922393,0.4655805,0.7153755999999999,0.4071906,0.6352413,0.3208594,0.4610875,0.6009012,0.6845372,0.42075150000000006,0.5743489,0.6219388000000001,0.6346035,0.7122006999999999,0.5144795999999999,0.5197864999999999,0.585387,0.6612642,0.6376755999999999,0.5785331,0.6948954,0.6508881999999999,0.6395523,0.2567829,0.6583302,0.33139309999999994,0.5852791,0.7227041000000001,0.5706165,0.1970526,0.6407526,0.4413794,0.5572147,0.6529683000000001,0.5458453000000001,0.6166746999999999,0.6667175999999999,0.6596411,0.6471009,0.2243522,0.6060437,0.5769965,0.4790598,0.7214252,0.5813108,0.5192319000000001,0.7480124,0.5914115,0.22426350000000003,0.41460109999999994,0.5516428000000001,0.06561289999999999,0.6620472,0.48540420000000006,0.5547023
G8,0.1270299,0.5266915,0.1875723,0.22939600000000002,0.40247859999999996,0.3106713,0.5020230999999999,0.3344232,0.6476335999999999,0.165707,0.5772921999999999,0.22405170000000002,0.4551585999999999,0.10780619999999999,0.42038590000000003,0.48715420000000004,0.5135137,0.14340450000000002,0.5380133,0.4660259,0.6223353,0.5472609,0.6387273,0.5246967,0.44507240000000003,0.5513156,0.5226089,0.46448379999999995,0.47063990000000006,0.7109506,0.5394861,0.21083139999999997,0.5230382,0.41699899999999995,0.4195684,0.5661725000000001,0.46185790000000004,0.1358021,0.28497140000000004,0.3082494,0.1851856,0.5973618,0.066295,0.5297977,0.2798114,0.41370200000000007,0.5254850000000001,0.5830681,0.1856818,0.5628651,0.2657349,0.5851510999999999,0.2038803,0.3656209,0.4555432,0.3933477,0.6927379,0.5378265999999999,0.5735169,0.082236,0.522227,0.12577349999999998,0.5359732,0.6620781,0.1811267,0.5999409000000001,0.5681528,0.5176440999999999,0.28671729999999995,0.560556,0.5536536,0.5516667,0.3696264,0.6768341,0.09989819999999999,0.49471499999999996,0.5155213,0.5350372,0.5428805999999999,0.5675259,0.190301,0.5602943,0.5381522,0.5767029,0.2364844,0.6966441,0.1305123,0.13694260000000003,0.0784784,0.6487115999999999,0.23549650000000003,0.574384,0.5087955,0.5476884,0.6616178,0.43831000000000003,0.4038163,0.6073531,0.3771363,0.5132342000000001
G9,0.5576982,0.5933925,0.5705346,0.5402170000000001,0.5859270000000001,0.45553950000000004,0.5182518,0.5702951999999999,0.5601741,0.7138081000000001,0.6024124,0.4156682,0.5792826999999999,0.4831347,0.5467616999999999,0.7143512,0.7491049,0.4676383,0.6204346,0.6684019,0.637609,0.6484251,0.5852012,0.5794336999999999,0.5691435,0.5575977,0.5330824000000001,0.6351708,0.5191757,0.5943069999999999,0.6015560999999999,0.6205041,0.5261225,0.6771368000000001,0.6109931,0.6375721,0.6191263000000001,0.5097851999999999,0.7738182,0.5470875,0.5416274,0.5688529999999999,0.5938899999999999,0.6334271,0.6727215999999999,0.531144,0.6267459,0.5765191999999999,0.5823435,0.48426309999999995,0.5423723000000001,0.5259600999999999,0.6288616,0.5834259,0.5835498,0.4784434,0.5679071,0.708361,0.4980553,0.5593623999999999,0.6356316999999999,0.6256239,0.5764227,0.6706667,0.5545373,0.6174031999999999,0.6317376,0.5961248,0.5487044,0.6091147,0.6008924,0.49175859999999993,0.6552856,0.48247460000000003,0.5793294,0.7161999,0.6479679,0.6608246999999999,0.5725161,0.4958269,0.5488013,0.5358414,0.39692459999999996,0.5098222,0.47013770000000005,0.5494904,0.5286464,0.6137246999999999,0.6061613,0.5316185,0.572891,0.5856687,0.5392184,0.6173420000000001,0.5615498000000001,0.5654253,0.5841268000000001,0.5496281,0.5611337,0.6091854
G10,0.5443541000000001,0.3593333,0.550161,0.19231170000000003,0.262629,0.43090029999999996,0.1529152,0.6325527,0.6048318,0.5195035,0.35498579999999996,0.5963236999999999,0.5720443000000001,0.25124250000000004,0.1760747,0.6774435999999999,0.1888156,0.4346981,0.6102098000000001,0.17795,0.1975626,0.586954,0.3823707,0.3395636,0.368794,0.465733,0.23873579999999997,0.36030270000000003,0.6429977,0.5570052,0.3617143,0.36332190000000003,0.1960701,0.49958400000000003,0.38922049999999997,0.5581678000000001,0.45461480000000004,0.31668509999999994,0.3135245,0.3845157,0.3704245,0.3851047,0.48092229999999997,0.4156937,0.7364308,0.3008936,0.4818999,0.4665207,0.6404344,0.5656609,0.5281045,0.22856959999999998,0.2974915,0.2617428,0.5668312,0.3896062,0.5996011,0.201968,0.46624629999999995,0.19431429999999997,0.2281281,0.1903717,0.6022896,0.6010243000000001,0.2972537,0.514337,0.5232313,0.1844912,0.4072833,0.5757956999999999,0.21540700000000002,0.4486402,0.46874090000000007,0.2299855,0.5447886,0.4848424,0.2316056,0.2691874,0.24057350000000002,0.36708579999999996,0.6028988000000001,0.3896042,0.4630785,0.3328056,0.4918175,0.4330852,0.24515479999999998,0.4610938,0.2238528,0.27436,0.4691638,0.5055245,0.41742390000000007,0.553187,0.3481391,0.2580884,0.46490829999999994,0.5464666,0.6397881,0.6179486999999999
