,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E1381_53,0.10442,,,,
E1024_393,,,0.78715,,
E718_329,,0.65863,,,
E686_104,0.20683,,,,
E1461_70,,0.13855,,,
E1791_226,,0.45181000000000004,,,
E1594_288,,,0.57631,,
E1899_382,,,0.7650600000000001,,
E1463_450,0.90161,,,,
E806_409,0.8192799999999999,,,,
E744_103,,,0.20481999999999997,,
E615_338,0.67671,,,,
E1502_477,,0.9558200000000001,,,
E868_374,0.7490000000000001,,,,
E1538_348,,,0.6967899999999999,,
E161_490,0.98193,,,,
E526_408,,,,0.8172699999999999,
E1574_253,,0.50602,,,
E1701_246,0.49196999999999996,,,,
E1014_330,0.66064,,,,
E1606_47,0.09237000000000001,,,,
E109_493,,,0.98795,,
E800_98,0.19478,,,,
E425_472,,,,0.94578,
E1584_49,,0.09639,,,
E1844_392,,,0.78514,,
E197_302,,,0.60442,,
E265_37,,,0.07229,,
E325_206,0.41165,,,,
E474_78,,0.15462,,,
E659_248,,0.49598000000000003,,,
E1825_109,0.21686999999999998,,,,
E1761_153,,,0.30522,,
E1138_223,,,0.44578,,
E1300_391,0.78313,,,,
E1591_325,,,0.6506,,
E503_94,0.18675,,,,
E338_403,,0.80723,,,
E1315_209,0.41767,,,,
E1286_165,,,,0.32932,
E1891_438,,,0.87751,,
E609_164,,0.32731,,,
E1006_220,,,0.43976000000000004,,
E1705_33,0.06426,,,,
E1265_31,,,,,0.060239999999999995
E1241_102,,,0.20281,,
E1290_21,,0.04016,,,
E383_118,0.23494,,,,
E1072_142,,,,,0.28313
E1207_72,,,0.14257,,
E1508_319,,0.63855,,,
E841_162,,,,,0.32329
E221_25,,,0.04819,,
E354_458,0.9176700000000001,,,,
E879_427,,,,0.8554200000000001,
E997_221,,0.44177,,,
E1609_185,,,0.36948000000000003,,
E572_323,0.64659,,,,
E603_498,0.9979899999999999,,,,
E1550_43,,,0.08434,,
E1273_68,,,0.13454000000000002,,
E1949_190,,,0.37951999999999997,,
E190_351,,0.70281,,,
E77_443,,0.88755,,,
E1875_453,,,0.9076299999999999,,
E936_345,,0.69076,,,
E1539_268,,0.53614,,,
E926_162,,0.32329,,,
E1808_384,0.76908,,,,
E1280_498,0.9979899999999999,,,,
E1914_346,,,0.69277,,
E203_73,,0.14458,,,
E225_247,0.49398000000000003,,,,
E1997_91,,0.18072,,,
E1727_64,,0.12650999999999998,,,
E832_289,,0.57831,,,
E1984_265,0.53012,,,,
E1780_364,0.72892,,,,
E1268_313,0.62651,,,,
E1323_484,,0.96988,,,
E1473_99,,0.19679000000000002,,,
E186_272,0.54418,,,,
E1345_35,,0.06827000000000001,,,
E676_187,,,,0.37349,
E1251_162,,0.32329,,,
E1770_408,,,0.8172699999999999,,
E787_429,,0.85944,,,
E206_460,0.92169,,,,
E1647_409,,,,0.8192799999999999,
E1395_262,,,0.5241,,
E461_55,,,0.10843,,
E1767_367,,,0.7349399999999999,,
E700_63,0.1245,,,,
E83_306,,,0.61245,,
E1499_89,,0.17670999999999998,,,
E571_383,,,,0.76707,
E1652_273,,0.54618,,,
E600_376,,,,,0.7530100000000001
E1929_125,,0.249,,,
E786_182,,0.36345,,,
E1901_92,,0.18273,,,
E235_216,0.43173,,,,
E1683_177,,0.35341,,,
E1194_35,,0.06827000000000001,,,
E399_357,0.71486,,,,
E1877_334,,,0.66867,,
E1405_417,,,0.83534,,
E921_294,0.58835,,,,
E1375_207,0.41365,,,,
E890_342,0.68474,,,,
E1993_380,,,0.7610399999999999,,
E347_83,0.16466,,,,
E1850_138,,,0.2751,,
E286_35,,,0.06827000000000001,,
E1589_296,,0.59237,,,
E1924_219,,0.43775,,,
E234_211,,,0.42168999999999995,,
E1969_256,,,0.51205,,
E1527_277,,0.5542199999999999,,,
E1145_408,,,0.8172699999999999,,
E1747_262,,,,,0.5241
E81_120,,,0.23895999999999998,,
E1344_80,,,0.15863,,
E576_191,0.38153000000000004,,,,
E1051_38,0.0743,,,,
E1797_142,0.28313,,,,
E183_10,0.01807,,,,
E245_118,0.23494,,,,
E1160_331,,,0.66265,,
E974_411,,,0.82329,,
E1162_183,,0.36546,,,
E1664_359,0.71888,,,,
E1430_253,0.50602,,,,
E510_295,,,0.59036,,
E652_466,,0.93373,,,
E314_465,,,,0.93173,
E1905_470,,0.9417700000000001,,,
E447_287,0.5743,,,,
E231_487,0.9759,,,,
E363_59,,0.11647,,,
E172_160,0.31928,,,,
E449_498,,0.9979899999999999,,,
E192_489,,,0.9799200000000001,,
E483_117,,,0.23293000000000003,,
E491_410,0.82129,,,,
E1575_425,0.85141,,,,
E673_480,,0.96185,,,
E1776_367,,,0.7349399999999999,,
E943_252,0.50402,,,,
E61_320,,0.64056,,,
E1336_390,,0.78112,,,
E1874_129,0.25703000000000004,,,,
E1975_44,,,0.08635,,
E959_140,0.27912,,,,
E632_94,0.18675,,,,
E1596_88,,0.1747,,,
E1617_257,0.5140600000000001,,,,
E1200_208,0.41566000000000003,,,,
E1912_391,0.78313,,,,
E1195_91,,,0.18072,,
E1001_275,,,0.5502,,
E1522_196,0.39157,,,,
E1799_353,,,0.7068300000000001,,
E1289_462,,,0.9257,,
E913_429,,0.85944,,,
E1003_331,,,0.66265,,
E1425_39,,,0.07631,,
E907_171,,,0.34137,,
E900_103,0.20481999999999997,,,,
E1921_286,,0.57229,,,
E1753_117,0.23293000000000003,,,,
E269_107,,0.21285,,,
E1629_460,,0.92169,,,
E493_185,,,0.36948000000000003,,
E1926_413,,,0.82731,,
E196_354,0.7088399999999999,,,,
E1739_349,,,0.6988,,
E1367_387,,0.7751,,,
E1130_388,,0.7771100000000001,,,
E668_198,,,0.39558000000000004,,
E249_200,,0.3996,,,
E1880_227,0.45382,,,,
E1000_406,0.81325,,,,
E1196_299,,0.59839,,,
E1090_231,,,0.46185,,
E1376_283,0.5662699999999999,,,,
E476_335,,,0.67068,,
E1106_344,,,0.68876,,
E1310_190,,,,0.37951999999999997,
E1638_417,0.83534,,,,
E1464_310,,0.62048,,,
E361_479,0.9598399999999999,,,,
E1547_453,,,,,0.9076299999999999
E365_289,,0.57831,,,
E1084_126,,,,,0.251
E1967_138,,,0.2751,,
E1439_349,,,0.6988,,
E849_221,,0.44177,,,
E691_92,0.18273,,,,
E1678_256,,0.51205,,,
E534_236,,0.47189,,,
E278_397,,0.79518,,,
E279_372,0.74498,,,,
E810_374,,,0.7490000000000001,,
E1085_133,0.26506,,,,
E1142_57,0.11245,,,,
E798_336,0.67269,,,,
E759_23,,0.044180000000000004,,,
E1813_138,,,0.2751,,
E422_78,,,0.15462,,
E1027_436,,0.87349,,,
E141_74,,0.14659,,,
E1700_477,,0.9558200000000001,,,
E1694_455,,,0.91165,,
E1466_117,,0.23293000000000003,,,
E1143_114,,0.22691,,,
E1702_375,,0.7509999999999999,,,
E184_251,0.5020100000000001,,,,
E984_31,,,0.060239999999999995,,
E911_230,0.45983999999999997,,,,
E822_236,0.47189,,,,
E498_128,,0.25501999999999997,,,
E1150_367,,,0.7349399999999999,,
E1105_179,,,0.35743,,
E1979_185,,0.36948000000000003,,,
E772_312,,,,,0.6245
E23_123,,0.24498000000000003,,,
E104_234,,0.46787,,,
E151_362,0.7249,,,,
E1948_303,,,0.60643,,
E1826_455,,0.91165,,,
E621_455,,0.91165,,,
E1731_433,,,0.8674700000000001,,
E98_178,,,,,0.35541999999999996
E1034_367,0.7349399999999999,,,,
E1640_123,,0.24498000000000003,,,
E360_353,0.7068300000000001,,,,
E273_368,0.73695,,,,
E930_311,0.62249,,,,
E1511_440,,,0.8815299999999999,,
E1350_123,,,,0.24498000000000003,
E987_51,,0.1004,,,
E460_300,,0.6004,,,
E1250_247,0.49398000000000003,,,,
E1659_51,0.1004,,,,
E429_84,0.16667,,,,
E1571_353,0.7068300000000001,,,,
E1675_491,0.9839399999999999,,,,
E494_171,,0.34137,,,
E1503_196,0.39157,,,,
E870_227,0.45382,,,,
E1366_322,0.64458,,,,
E1548_252,,,0.50402,,
E514_242,,,0.48394,,
E853_453,,0.9076299999999999,,,
E764_175,0.3494,,,,
E1469_25,0.04819,,,,
E305_167,,,0.33333,,
E1187_465,,0.93173,,,
E1626_10,,,,0.01807,
E721_467,,,,,0.93574
E292_371,0.74297,,,,
E310_97,,0.19277,,,
E303_107,0.21285,,,,
E1225_497,0.99598,,,,
E385_440,,,0.8815299999999999,,
E690_388,,,0.7771100000000001,,
E318_464,0.9297200000000001,,,,
E1933_140,0.27912,,,,
E1008_428,0.8574299999999999,,,,
E729_297,,,0.59438,,
E1161_105,,0.20884,,,
E1583_487,0.9759,,,,
E125_422,,0.8453799999999999,,,
E625_114,,,,,0.22691
E440_373,,0.7469899999999999,,,
E1496_156,0.31124,,,,
E284_247,,0.49398000000000003,,,
E929_495,,0.99197,,,
E1309_233,0.46586000000000005,,,,
E1335_372,,,0.74498,,
E268_95,,0.18875999999999998,,,
E1817_265,,,0.53012,,
E1487_396,,0.7931699999999999,,,
E1_27,,,0.05221,,
E1133_436,0.87349,,,,
E574_423,,,0.84739,,
E28_230,,,,0.45983999999999997,
E1902_93,0.18474000000000002,,,,
E1455_166,,,0.33133,,
E555_58,,0.11445999999999999,,,
E1866_119,,,,,0.23695
E922_65,,0.12850999999999999,,,
E448_497,,,,0.99598,
E302_335,,,0.67068,,
E241_90,,,0.17870999999999998,,
E377_451,0.90361,,,,
E1630_185,,,0.36948000000000003,,
E95_105,,0.20884,,,
E1959_344,0.68876,,,,
E1851_317,0.63454,,,,
E1080_471,,,0.94378,,
E165_54,,0.10643,,,
E544_415,,,0.8313299999999999,,
E296_73,,0.14458,,,
E1472_419,,,,0.83936,
E12_116,,0.23092,,,
E1521_122,,,0.24297,,
E479_93,,,0.18474000000000002,,
E122_325,,,,,0.6506
E687_245,0.48996000000000006,,,,
E275_166,0.33133,,,,
E404_55,0.10843,,,,
E15_151,,0.3012,,,
E1911_375,,0.7509999999999999,,,
E1534_278,,,0.5562199999999999,,
E379_260,,0.52008,,,
E646_334,,0.66867,,,
E701_161,0.32129,,,,
E1735_203,,,0.40562,,
E783_260,,,,,0.52008
E539_169,,,,0.33735,
E1174_137,,,0.27309,,
E623_444,,0.88956,,,
E1698_7,0.01205,,,,
E843_456,0.91365,,,,
E754_471,,0.94378,,,
E484_393,0.78715,,,,
E776_341,,,0.6827300000000001,,
E358_43,,0.08434,,,
