,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E870_349,,0.6988,,,
E1272_24,0.04618,,,,
E1577_359,0.71888,,,,
E1921_460,,0.92169,,,
E1269_63,0.1245,,,,
E115_296,0.59237,,,,
E834_287,,,,0.5743,
E1491_189,,,,0.37751,
E1034_335,,0.67068,,,
E949_195,,,,0.38956,
E1245_273,,0.54618,,,
E114_444,,,,0.88956,
E682_408,,0.8172699999999999,,,
E1847_12,,,0.022090000000000002,,
E48_323,,,,0.64659,
E944_122,,,,0.24297,
E19_331,,0.66265,,,
E1464_247,,,,0.49398000000000003,
E1879_100,,,,0.1988,
E1184_413,,0.82731,,,
E781_187,0.37349,,,,
E195_198,,0.39558000000000004,,,
E821_336,,0.67269,,,
E169_225,,0.4498,,,
E49_224,,0.44778999999999997,,,
E1980_195,,0.38956,,,
E1223_294,0.58835,,,,
E878_55,0.10843,,,,
E1544_229,,0.45783,,,
E1433_131,,0.26104,,,
E952_324,,0.64859,,,
E1318_470,,,,0.9417700000000001,
E1853_426,,0.85341,,,
E1097_259,0.51807,,,,
E231_495,0.99197,,,,
E1150_331,,,,0.66265,
E398_307,,0.61446,,,
E1023_215,0.42972,,,,
E1637_123,0.24498000000000003,,,,
E838_17,0.03213,,,,
E428_473,,0.9477899999999999,,,
E396_115,,,,0.22891999999999998,
E1198_375,,0.7509999999999999,,,
E771_282,0.56426,,,,
E1485_316,,0.63253,,,
E627_483,,,,0.9678700000000001,
E474_192,,,,,0.38353000000000004
E925_470,0.9417700000000001,,,,
E192_385,0.77108,,,,
E312_381,,,,0.76305,
E1839_484,,,,0.96988,
E1746_342,,,0.68474,,
E1855_205,,0.40963999999999995,,,
E1981_433,0.8674700000000001,,,,
E1138_193,,,,0.38554,
E395_458,,,,0.9176700000000001,
E1129_63,0.1245,,,,
E1707_166,0.33133,,,,
E1178_455,,,0.91165,,
E511_22,,0.04217,,,
E183_159,,0.31727,,,
E1379_277,,0.5542199999999999,,,
E274_324,,0.64859,,,
E1640_13,,0.0241,,,
E524_33,,,0.06426,,
E1049_151,,0.3012,,,
E393_334,,,,0.66867,
E1271_243,,,,0.48594,
E1682_97,,,,0.19277,
E1299_83,,,,0.16466,
E460_38,,0.0743,,,
E749_258,0.5160600000000001,,,,
E844_364,,,,0.72892,
E1476_117,0.23293000000000003,,,,
E1895_278,,0.5562199999999999,,,
E1568_140,0.27912,,,,
E1053_298,,,,0.59639,
E1574_45,,,,0.08835,
E1098_135,,,,0.26908000000000004,
E497_414,,,,0.8293200000000001,
E273_289,,0.57831,,,
E1778_336,,,0.67269,,
E1957_494,,0.9899600000000001,,,
E244_350,,0.7008,,,
E616_181,,0.36145,,,
E532_386,,0.7730899999999999,,,
E265_63,0.1245,,,,
E336_220,,0.43976000000000004,,,
E454_301,,0.60241,,,
E153_219,,0.43775,,,
E533_270,,,,0.5401600000000001,
E9_36,,0.07028,,,
E75_404,,0.80924,,,
E1673_91,0.18072,,,,
E158_343,,0.68675,,,
E16_229,0.45783,,,,
E292_378,0.75703,,,,
E859_488,0.9779100000000001,,,,
E298_106,0.21084,,,,
E1843_219,,,,0.43775,
E1629_116,,0.23092,,,
E1428_72,,0.14257,,,
E434_96,0.19075999999999999,,,,
