,PseudoTime1,PseudoTime2
E229_381,,0.76305
E286_109,0.21686999999999998,
E1024_238,0.4759,
E1634_182,,0.36345
E302_143,0.28514,
E451_81,0.16064,
E265_270,0.5401600000000001,
E292_171,0.34137,
E1157_402,0.8052199999999999,
E1615_395,,0.7911600000000001
E1608_190,,0.37951999999999997
E1982_317,0.63454,
E1913_12,0.022090000000000002,
E196_238,,0.4759
E1489_382,0.7650600000000001,
E1322_380,,0.7610399999999999
E862_196,0.39157,
E668_310,0.62048,
E1753_468,,0.93775
E865_311,0.62249,
E347_5,0.008029999999999999,
E301_100,,0.1988
E1010_234,0.46787,
E1398_192,0.38353000000000004,
E1065_477,0.9558200000000001,
E222_157,,0.31325
E1790_67,0.13253,
E1805_134,,0.26707
E948_141,0.28112,
E1208_413,0.82731,
E90_457,0.91566,
E1402_201,0.40160999999999997,
E1061_98,0.19478,
E1936_29,,0.056220000000000006
E358_444,0.88956,
E146_226,0.45181000000000004,
E1144_466,0.93373,
E528_361,0.7228899999999999,
E1958_172,0.34337,
E985_20,0.03815,
E1269_24,0.04618,
E937_389,0.77912,
E886_232,0.46386000000000005,
E1379_128,0.25501999999999997,
E624_316,,0.63253
E1529_127,0.25301,
E1453_185,,0.36948000000000003
E242_425,0.85141,
E529_245,,0.48996000000000006
E1428_71,0.14056,
E1827_410,0.82129,
E44_347,0.6947800000000001,
E1550_410,,0.82129
E1240_231,0.46185,
E968_359,0.71888,
E1020_64,0.12650999999999998,
E159_52,0.10240999999999999,
E1468_288,,0.57631
E63_238,,0.4759
E667_201,0.40160999999999997,
E971_211,,0.42168999999999995
E1350_158,,0.31526
E1539_54,0.10643,
E1495_289,,0.57831
E162_352,0.70482,
E1563_457,0.91566,
E1395_150,0.2992,
E480_312,,0.6245
E278_479,,0.9598399999999999
E252_473,,0.9477899999999999
E320_315,0.63052,
E1089_437,,0.8755
E1173_436,0.87349,
E1517_165,0.32932,
E538_54,,0.10643
E138_157,0.31325,
E1272_200,0.3996,
E872_63,0.1245,
E1320_383,0.76707,
E1389_399,0.7992,
E801_10,0.01807,
E861_121,0.24095999999999998,
E1167_385,0.77108,
E1718_440,,0.8815299999999999
E778_122,0.24297,
E269_402,0.8052199999999999,
E1671_177,,0.35341
E414_415,0.8313299999999999,
E1633_409,0.8192799999999999,
E70_37,,0.07229
E1933_405,0.81124,
E251_65,0.12850999999999999,
E1776_419,0.83936,
E784_429,0.85944,
E1068_60,0.11847,
E443_180,0.35944,
E66_163,0.3253,
E775_28,0.054220000000000004,
E1396_227,0.45382,
E1058_42,0.08233,
E1565_284,0.5682699999999999,
E846_390,0.78112,
E1973_305,,0.61044
E1956_400,0.8012,
E643_440,0.8815299999999999,
E43_310,0.62048,
E1520_123,0.24498000000000003,
E99_83,0.16466,
E73_354,0.7088399999999999,
E1099_339,0.67871,
E1959_37,0.07229,
E1922_201,0.40160999999999997,
E1762_401,0.8032100000000001,
E195_486,0.9739,
E62_420,,0.8413700000000001
E809_173,0.34538,
E1197_72,0.14257,
E1225_399,0.7992,
E1831_159,,0.31727
E1964_460,,0.92169
E823_480,0.96185,
E172_293,,0.58635
E1738_207,0.41365,
E722_13,0.0241,
E544_253,0.50602,
E962_429,,0.85944
E1439_178,,0.35541999999999996
E1164_306,0.61245,
E1713_45,,0.08835
E56_254,0.50803,
E893_19,0.03614,
E1041_27,0.05221,
E1326_186,,0.37149
E1564_92,,0.18273
E1970_115,0.22891999999999998,
E1662_489,0.9799200000000001,
E602_76,,0.1506
E256_337,0.6747,
E1734_256,,0.51205
E330_378,0.75703,
E1586_463,0.92771,
E885_96,0.19075999999999999,
E1721_196,0.39157,
E1569_189,0.37751,
E721_422,0.8453799999999999,
E559_160,0.31928,
E1123_40,,0.07831
E227_317,0.63454,
E791_464,0.9297200000000001,
E773_249,,0.49799
E128_245,,0.48996000000000006
E1135_48,0.09437999999999999,
E1325_418,0.83735,
E1026_260,0.52008,
E1699_463,,0.92771
E1536_2,0.00201,
E1332_276,0.5522100000000001,
E342_159,0.31727,
E419_202,,0.40360999999999997
E454_63,0.1245,
E40_413,0.82731,
E1837_308,0.61647,
E1826_297,,0.59438
E105_31,0.060239999999999995,
