,PseudoTime1,PseudoTime2
E1597_344,0.68876,
E1260_214,0.42771000000000003,
E317_204,,0.40763
E1271_252,0.50402,
E368_109,0.21686999999999998,
E1995_275,0.5502,
E757_166,0.33133,
E1772_131,0.26104,
E1018_68,0.13454000000000002,
E1861_326,0.65261,
E1666_238,0.4759,
E283_9,0.016059999999999998,
E1173_334,,0.66867
E31_419,,0.83936
E878_455,,0.91165
E794_59,0.11647,
E1594_259,0.51807,
E634_173,0.34538,
E914_107,0.21285,
E96_148,,0.29518
E1477_220,0.43976000000000004,
E1873_397,,0.79518
E1830_113,0.2249,
E80_330,0.66064,
E961_437,0.8755,
E1635_428,0.8574299999999999,
E476_312,0.6245,
E56_75,,0.14859
E628_357,0.71486,
E382_251,,0.5020100000000001
E1782_136,,0.27108000000000004
E1688_332,0.66466,
E860_376,0.7530100000000001,
E736_330,,0.66064
E966_125,0.249,
E173_461,,0.92369
E916_102,0.20281,
E1946_353,0.7068300000000001,
E1858_340,0.68072,
E527_77,,0.15261
E1256_367,0.7349399999999999,
E1032_171,,0.34137
E1212_374,0.7490000000000001,
E481_37,0.07229,
E1437_59,,0.11647
E145_157,0.31325,
E210_321,0.64257,
E158_383,0.76707,
E1541_251,0.5020100000000001,
E186_412,,0.8253
E894_102,0.20281,
E308_303,,0.60643
E449_167,0.33333,
E654_238,0.4759,
E1019_252,0.50402,
E430_389,0.77912,
E1523_232,0.46386000000000005,
E161_291,0.58233,
E959_241,0.48193,
E1971_322,,0.64458
E1001_216,0.43173,
E1550_449,,0.8996
E1010_186,0.37149,
E93_324,0.64859,
E733_193,,0.38554
E278_396,,0.7931699999999999
E723_318,0.63655,
E589_143,,0.28514
E848_22,0.04217,
E1347_171,0.34137,
E422_394,0.7891600000000001,
E1480_114,0.22691,
E1498_220,0.43976000000000004,
E1036_235,0.46988,
E1846_69,0.13655,
E1438_218,0.43573999999999996,
E271_451,0.90361,
E927_217,0.43373,
E569_450,0.90161,
E343_68,0.13454000000000002,
E554_265,0.53012,
E1500_202,0.40360999999999997,
E548_151,0.3012,
E1728_321,0.64257,
E1154_37,0.07229,
E1740_374,0.7490000000000001,
E1865_166,,0.33133
E35_170,0.33936,
E492_362,0.7249,
E1687_216,,0.43173
E1644_390,0.78112,
E767_171,0.34137,
E190_246,0.49196999999999996,
E1027_344,0.68876,
E861_403,0.80723,
E1815_309,0.61847,
E1572_342,,0.68474
E1358_299,0.59839,
E557_280,0.56024,
E1386_228,0.45582,
E1796_134,,0.26707
E95_463,0.92771,
E264_389,,0.77912
E1924_117,0.23293000000000003,
E531_221,0.44177,
E1168_363,0.7269100000000001,
E1656_115,0.22891999999999998,
E755_165,,0.32932
E120_317,,0.63454
E1429_414,,0.8293200000000001
E494_425,,0.85141
E147_106,0.21084,
E381_333,0.66667,
E965_123,0.24498000000000003,
E1828_496,0.99398,
E1033_428,0.8574299999999999,
E1705_49,,0.09639
E857_13,0.0241,
E238_209,0.41767,
E581_190,,0.37951999999999997
E572_381,0.76305,
E0_61,0.12047999999999999,
E1927_79,0.15663,
E948_479,0.9598399999999999,
E48_279,0.55823,
E22_80,0.15863,
E404_64,0.12650999999999998,
E1291_391,,0.78313
E667_69,0.13655,
E638_488,0.9779100000000001,
E1082_35,0.06827000000000001,
E1145_145,0.28916,
E1805_259,0.51807,
E917_335,0.67068,
E681_451,0.90361,
E139_232,,0.46386000000000005
E849_255,0.5100399999999999,
E250_177,,0.35341
E658_451,0.90361,
E1682_302,0.60442,
E251_421,0.8433700000000001,
E1349_441,0.8835299999999999,
E1254_171,,0.34137
E1761_227,,0.45382
E1319_86,0.17068,
E951_226,0.45181000000000004,
E38_492,,0.9859399999999999
E315_373,0.7469899999999999,
E1810_151,,0.3012
E144_59,,0.11647
E1066_157,0.31325,
E448_331,0.66265,
E1909_128,0.25501999999999997,
E1700_412,0.8253,
E65_278,0.5562199999999999,
E1443_264,0.5281100000000001,
E962_122,,0.24297
E802_105,,0.20884
E46_124,0.24699000000000002,
E1978_162,0.32329,
E751_90,0.17870999999999998,
E1104_1,0.0,
E854_427,0.8554200000000001,
E1908_235,0.46988,
E726_179,,0.35743
E1028_194,0.38755,
E1398_98,0.19478,
E1004_15,,0.028110000000000003
E1239_198,,0.39558000000000004
E729_297,0.59438,
E1813_385,,0.77108
E66_19,0.03614,
E77_275,0.5502,
E1792_479,0.9598399999999999,
E549_64,,0.12650999999999998
E1800_158,,0.31526
E1091_343,,0.68675
E1445_378,0.75703,
E1071_444,0.88956,
E616_157,0.31325,
E1230_135,0.26908000000000004,
E873_131,0.26104,
E1011_273,0.54618,
E687_326,0.65261,
E1574_127,0.25301,
E1362_20,0.03815,
E1854_396,,0.7931699999999999
