,PseudoTime1,PseudoTime2
E3031_290,NA,0.58032
E925_484,0.96988,NA
E429_482,NA,0.96586
E783_151,0.3012,NA
E2202_70,NA,0.13855
E2344_144,0.28715,NA
E673_440,0.88153,NA
E4285_113,NA,0.2249
E4156_54,NA,0.10643
E4483_434,NA,0.86948
E1602_117,0.23293,NA
E306_452,NA,0.90562
E2877_74,NA,0.14659
E3709_140,NA,0.27912
E2411_138,NA,0.2751
E3707_361,NA,0.72289
E3201_47,NA,0.09237
E1566_453,NA,0.90763
E3457_87,NA,0.17269
E4148_132,0.26305,NA
E4603_275,0.5502,NA
E2554_256,NA,0.51205
E4286_460,NA,0.92169
E1172_169,0.33735,NA
E3327_33,NA,0.06426
E967_219,0.43775,NA
E504_300,NA,0.6004
E1593_120,0.23896,NA
E3110_149,0.29719,NA
E3172_401,NA,0.80321
E3065_319,0.63855,NA
E4413_181,0.36145,NA
E574_117,0.23293,NA
E4822_418,NA,0.83735
E3933_185,NA,0.36948
E2970_237,NA,0.4739
E1286_125,0.249,NA
E293_378,NA,0.75703
E144_216,NA,0.43173
E3508_151,NA,0.3012
E3815_185,NA,0.36948
E4708_171,NA,0.34137
E3149_22,NA,0.04217
E527_84,NA,0.16667
E565_347,NA,0.69478
E292_454,0.90964,NA
E1343_68,0.13454,NA
E1848_95,NA,0.18876
E1202_220,0.43976,NA
E362_468,0.93775,NA
E2117_321,0.64257,NA
E4992_378,0.75703,NA
E780_213,NA,0.4257
E998_9,0.01606,NA
E1063_325,0.6506,NA
E3750_302,0.60442,NA
E2659_368,NA,0.73695
E722_457,0.91566,NA
E2975_361,NA,0.72289
E2019_335,NA,0.67068
E4094_145,0.28916,NA
E2061_44,0.08635,NA
E1338_134,NA,0.26707
E198_263,0.5261,NA
E977_333,NA,0.66667
E3585_254,0.50803,NA
E3181_371,0.74297,NA
E4852_222,NA,0.44378
E4163_207,NA,0.41365
E3173_95,NA,0.18876
E2981_491,0.98394,NA
E3319_51,0.1004,NA
E3282_272,NA,0.54418
E957_46,NA,0.09036
E2373_261,NA,0.52209
E3170_489,NA,0.97992
E1573_265,0.53012,NA
E1018_28,NA,0.05422
E3491_357,NA,0.71486
E2308_477,NA,0.95582
E3842_459,NA,0.91968
E176_344,0.68876,NA
E1918_389,0.77912,NA
E3067_268,NA,0.53614
E142_212,0.42369,NA
E3027_232,NA,0.46386
E338_70,0.13855,NA
E412_394,NA,0.78916
E3117_217,NA,0.43373
E4526_38,NA,0.0743
E4535_422,0.84538,NA
E4665_402,0.80522,NA
E448_281,NA,0.56225
E2030_415,NA,0.83133
E1863_303,NA,0.60643
E305_270,NA,0.54016
E2825_325,0.6506,NA
E3950_375,0.751,NA
E484_307,NA,0.61446
E4154_469,0.93976,NA
E1488_257,0.51406,NA
E51_420,NA,0.84137
E4470_396,NA,0.79317
E2050_343,NA,0.68675
E706_216,0.43173,NA
E1393_178,NA,0.35542
E476_219,0.43775,NA
E4466_210,NA,0.41968
E2955_270,NA,0.54016
E369_395,NA,0.79116
E4730_330,0.66064,NA
E3304_212,0.42369,NA
E462_443,NA,0.88755
E2436_372,0.74498,NA
E364_332,0.66466,NA
E2835_441,0.88353,NA
E3716_499,NA,1.0
E708_334,0.66867,NA
E4715_202,NA,0.40361
E3527_24,0.04618,NA
E3657_158,NA,0.31526
E1524_244,0.48795,NA
E63_488,0.97791,NA
E3488_243,NA,0.48594
E128_377,NA,0.75502
E3398_309,NA,0.61847
E4334_477,0.95582,NA
E4531_74,NA,0.14659
E1562_436,NA,0.87349
E2448_25,NA,0.04819
E955_424,NA,0.8494
E3394_92,0.18273,NA
E3749_83,0.16466,NA
E3810_80,0.15863,NA
E4259_46,NA,0.09036
E596_184,0.36747,NA
E2719_24,NA,0.04618
E1174_147,0.29317,NA
E933_130,0.25904,NA
E1583_318,0.63655,NA
E1554_168,0.33534,NA
E2932_238,0.4759,NA
E4134_420,0.84137,NA
E4776_43,0.08434,NA
E2325_38,0.0743,NA
E3859_380,0.76104,NA
E4396_380,0.76104,NA
E853_461,NA,0.92369
E2223_77,0.15261,NA
E456_67,NA,0.13253
E11_253,0.50602,NA
E3074_262,0.5241,NA
E1572_356,0.71285,NA
E1870_451,0.90361,NA
E2614_375,NA,0.751
E1720_498,NA,0.99799
E4630_236,NA,0.47189
E3026_348,NA,0.69679
E4982_422,NA,0.84538
E1087_101,NA,0.2008
E278_315,NA,0.63052
E2056_312,0.6245,NA
E3761_244,0.48795,NA
E473_66,0.13052,NA
E2521_451,NA,0.90361
E2309_311,0.62249,NA
E4642_210,NA,0.41968
E3490_175,NA,0.3494
E1273_290,NA,0.58032
E1415_224,0.44779,NA
E4430_352,0.70482,NA
E262_302,NA,0.60442
E3964_463,NA,0.92771
E2805_449,NA,0.8996
E4787_5,0.00803,NA
E4379_118,0.23494,NA
E2753_400,0.8012,NA
E3835_283,NA,0.56627
E2274_473,NA,0.94779
E3244_122,0.24297,NA
E2797_319,NA,0.63855
E1545_471,NA,0.94378
E3169_92,NA,0.18273
E1442_292,NA,0.58434
E4283_61,NA,0.12048
E4505_194,NA,0.38755
E3063_182,0.36345,NA
E4832_327,NA,0.65462
E752_376,NA,0.75301
E928_457,NA,0.91566
E947_46,0.09036,NA
E4540_258,NA,0.51606
E214_197,0.39357,NA
E4180_165,0.32932,NA
E1136_493,NA,0.98795
E150_205,NA,0.40964
E2515_467,NA,0.93574
E2231_398,NA,0.79719
E3422_401,NA,0.80321
E268_125,NA,0.249
E3549_64,0.12651,NA
E3795_7,0.01205,NA
E3000_414,NA,0.82932
E374_273,0.54618,NA
E3946_272,NA,0.54418
E2602_402,NA,0.80522
E240_42,0.08233,NA
E3645_277,NA,0.55422
E1374_222,NA,0.44378
E4257_381,NA,0.76305
E3583_325,0.6506,NA
E3259_100,NA,0.1988
E2995_143,0.28514,NA
E3453_38,0.0743,NA
E2465_103,0.20482,NA
E4637_88,0.1747,NA
E4192_388,0.77711,NA
E3182_107,NA,0.21285
E2887_423,0.84739,NA
E4977_237,NA,0.4739
E4269_350,NA,0.7008
E4219_208,0.41566,NA
E1603_226,NA,0.45181
E843_168,NA,0.33534
E4160_393,0.78715,NA
E2527_404,NA,0.80924
E84_240,0.47992,NA
E66_108,NA,0.21486
E776_343,NA,0.68675
E275_387,NA,0.7751
E3290_356,NA,0.71285
E4508_137,0.27309,NA
E4199_373,0.74699,NA
E827_322,0.64458,NA
E2156_112,NA,0.22289
E205_486,NA,0.9739
E4947_14,0.0261,NA
E3664_359,NA,0.71888
E1429_366,0.73293,NA
E414_473,NA,0.94779
E2474_287,NA,0.5743
E3724_339,0.67871,NA
E968_431,0.86345,NA
E4599_52,0.10241,NA
E1991_342,NA,0.68474
E2341_88,0.1747,NA
E943_1,NA,0.0
E1061_370,NA,0.74096
E1616_74,0.14659,NA
E1597_33,NA,0.06426
E4789_13,NA,0.0241
E1496_410,NA,0.82129
E3230_45,0.08835,NA
E1303_278,0.55622,NA
E651_453,NA,0.90763
E3450_353,NA,0.70683
E3717_230,0.45984,NA
E1841_3,0.00402,NA
E4189_365,0.73092,NA
E111_47,0.09237,NA
E4716_35,NA,0.06827
E833_55,0.10843,NA
E2816_450,NA,0.90161
E3150_146,NA,0.29116
E3734_265,NA,0.53012
E4395_149,NA,0.29719
E4045_218,NA,0.43574
E4662_411,0.82329,NA
E1911_14,NA,0.0261
E1_149,NA,0.29719
E3162_415,NA,0.83133
E54_271,0.54217,NA
E427_424,NA,0.8494
E1465_173,0.34538,NA
E1359_358,0.71687,NA
E1939_9,NA,0.01606
E1472_483,0.96787,NA
E4340_64,NA,0.12651
E4458_72,NA,0.14257
E580_364,NA,0.72892
E1620_219,NA,0.43775
E73_155,0.30924,NA
E3684_369,0.73896,NA
E4175_95,NA,0.18876
E3128_48,NA,0.09438
E1880_393,NA,0.78715
E1050_210,0.41968,NA
E1395_155,0.30924,NA
E289_210,0.41968,NA
E3261_354,NA,0.70884
E1138_37,NA,0.07229
E2500_302,0.60442,NA
E757_259,0.51807,NA
E3018_461,NA,0.92369
E3053_63,0.1245,NA
E42_119,NA,0.23695
E4411_66,0.13052,NA
E666_25,0.04819,NA
E3127_319,NA,0.63855
E3845_299,NA,0.59839
E2924_279,NA,0.55823
E3890_298,0.59639,NA
E3196_337,NA,0.6747
E1329_233,0.46586,NA
E1370_7,NA,0.01205
E3082_150,0.2992,NA
E2230_20,0.03815,NA
E893_337,0.6747,NA
E1397_289,NA,0.57831
E3564_381,0.76305,NA
E4743_48,NA,0.09438
E3939_188,0.3755,NA
E1227_444,0.88956,NA
E2136_404,NA,0.80924
E2039_419,0.83936,NA
E1724_49,0.09639,NA
E4021_91,0.18072,NA
E13_128,0.25502,NA
E4638_281,0.56225,NA
E1833_79,NA,0.15663
E3525_444,NA,0.88956
E4337_50,0.09839,NA
E3107_276,0.55221,NA
E2734_395,0.79116,NA
E1078_165,0.32932,NA
E2167_16,0.03012,NA
E541_477,NA,0.95582
E442_465,NA,0.93173
E3543_170,0.33936,NA
E2550_404,0.80924,NA
E4860_331,NA,0.66265
E3580_88,0.1747,NA
E4194_438,0.87751,NA
E3714_92,0.18273,NA
E2298_140,NA,0.27912
E341_241,NA,0.48193
E583_320,0.64056,NA
E7_282,NA,0.56426
E1563_37,NA,0.07229
E4056_8,0.01406,NA
E22_408,0.81727,NA
E3825_429,NA,0.85944
E1974_147,0.29317,NA
E2391_333,NA,0.66667
E2724_430,NA,0.86145
E2239_244,0.48795,NA
E720_478,NA,0.95783
E1639_56,NA,0.11044
E4938_51,NA,0.1004
E524_48,0.09438,NA
E3176_287,NA,0.5743
E361_243,0.48594,NA
E1608_422,NA,0.84538
E2275_117,NA,0.23293
E1788_409,NA,0.81928
E910_403,0.80723,NA
E640_89,0.17671,NA
E3609_56,NA,0.11044
E4465_188,0.3755,NA
E4195_406,0.81325,NA
E2123_494,0.98996,NA
E3929_202,NA,0.40361
E2769_221,0.44177,NA
E2031_224,0.44779,NA
E2495_388,0.77711,NA
E2620_174,NA,0.34739
E1687_86,NA,0.17068
E3156_437,NA,0.8755
E1232_437,NA,0.8755
E1316_218,0.43574,NA
E486_422,NA,0.84538
E1508_261,NA,0.52209
E4303_12,0.02209,NA
E1600_424,NA,0.8494
E904_233,NA,0.46586
E4545_75,NA,0.14859
E4513_54,0.10643,NA
E2178_371,0.74297,NA
E14_354,0.70884,NA
E1850_39,NA,0.07631
E4768_448,NA,0.89759
E1854_266,NA,0.53213
E2557_8,NA,0.01406
E1441_62,NA,0.12249
E990_301,0.60241,NA
E4829_30,0.05823,NA
E3118_220,NA,0.43976
E4689_249,NA,0.49799
E1345_31,0.06024,NA
E2605_385,NA,0.77108
E1746_159,0.31727,NA
E4063_201,0.40161,NA
E2619_110,0.21888,NA
E489_115,NA,0.22892
E2853_135,NA,0.26908
E79_334,0.66867,NA
E3013_123,0.24498,NA
E1200_235,0.46988,NA
E814_303,0.60643,NA
E3981_375,0.751,NA
E1252_265,NA,0.53012
E637_444,NA,0.88956
E1875_226,0.45181,NA
E1585_371,NA,0.74297
E1659_249,NA,0.49799
E1412_97,0.19277,NA
E3791_128,NA,0.25502
E379_251,NA,0.50201
E4090_155,NA,0.30924
E2822_32,NA,0.06225
E4799_141,0.28112,NA
E4038_142,0.28313,NA
E923_56,NA,0.11044
E2804_49,0.09639,NA
E1923_318,0.63655,NA
E377_378,NA,0.75703
E4066_210,NA,0.41968
E2484_363,0.72691,NA
E36_27,NA,0.05221
E162_313,0.62651,NA
E35_50,NA,0.09839
E1371_293,NA,0.58635
E1961_466,NA,0.93373
E2936_218,NA,0.43574
E2676_447,0.89558,NA
E2435_65,NA,0.12851
E4123_403,NA,0.80723
E1214_463,NA,0.92771
E4196_304,0.60843,NA
E4682_156,NA,0.31124
E4644_265,NA,0.53012
E946_77,0.15261,NA
E411_233,NA,0.46586
E1902_94,0.18675,NA
E4609_241,0.48193,NA
E4223_95,0.18876,NA
E3475_59,NA,0.11647
E909_269,0.53815,NA
E839_146,NA,0.29116
E3471_289,NA,0.57831
E3874_291,NA,0.58233
E4152_233,NA,0.46586
E4030_154,0.30723,NA
