,PseudoTime1,PseudoTime2
E53_632,NA,0.79279
E56_664,NA,0.83398
E35_312,0.38095,NA
E32_692,NA,0.87001
E66_353,0.43372,NA
E37_586,0.73359,NA
E54_205,0.24324,NA
E88_461,NA,0.57272
E14_755,NA,0.95109
E87_552,NA,0.68983
E39_395,0.48777,NA
E92_303,0.36937,NA
E95_305,0.37194,NA
E58_605,0.75804,NA
E20_462,NA,0.574
E64_196,NA,0.23166
E0_594,0.74389,NA
E90_291,0.35393,NA
E84_516,NA,0.6435
E43_236,NA,0.28314
E93_544,0.67954,NA
E25_670,0.8417,NA
E78_475,NA,0.59073
E30_709,0.89189,NA
E42_93,NA,0.0991
E12_399,NA,0.49292
E34_451,NA,0.55985
E75_233,0.27928,NA
E16_716,NA,0.9009
E45_291,0.35393,NA
E44_522,0.65122,NA
E33_86,0.09009,NA
E98_198,NA,0.23423
E47_251,0.30245,NA
E38_47,NA,0.0399
E71_196,NA,0.23166
E62_37,0.02703,NA
E81_55,NA,0.05019
E79_23,NA,0.00901
E61_363,0.44659,NA
E91_774,NA,0.97555
E73_390,NA,0.48134
E13_313,NA,0.38224
E50_673,0.84556,NA
E40_760,NA,0.95753
E65_475,0.59073,NA
E7_195,0.23037,NA
E72_232,0.27799,NA
E5_512,NA,0.63835
E99_520,0.64865,NA
E22_66,NA,0.06435
E52_423,NA,0.52381
E29_272,NA,0.32947
E86_791,NA,0.99743
E27_116,0.1287,NA
E69_205,0.24324,NA
E28_572,NA,0.71557
E11_463,0.57529,NA
E67_100,NA,0.10811
E19_369,0.45431,NA
E63_468,0.58172,NA
E2_156,0.18018,NA
E60_453,NA,0.56242
E96_549,0.68597,NA
E59_766,NA,0.96525
E15_141,NA,0.16088
E17_254,NA,0.30631
E51_199,NA,0.23552
E10_124,0.139,NA
E31_90,0.09524,NA
E89_534,0.66667,NA
E57_272,0.32947,NA
E94_374,0.46075,NA
E80_84,0.08752,NA
E9_793,1.0,NA
E55_241,NA,0.28958
E23_449,0.55727,NA
E1_589,NA,0.73745
E82_265,NA,0.32046
E8_306,0.37323,NA
E68_198,NA,0.23423
E70_194,0.22909,NA
E36_117,NA,0.12999
E46_312,0.38095,NA
E48_492,0.61261,NA
E6_493,NA,0.6139
E24_395,NA,0.48777
E76_216,0.2574,NA
E74_255,NA,0.30759
E77_168,0.19562,NA
E85_568,0.71042,NA
E97_577,0.72201,NA
E3_399,NA,0.49292
E21_21,NA,0.00644
E83_254,0.30631,NA
E49_479,NA,0.59588
E41_506,NA,0.63063
E26_621,0.77864,NA
E4_30,0.01802,NA
E18_16,NA,0.0
