,E71_1055,E39_1231,E86_354,E17_593,E30_12,E28_878,E65_1336,E25_1107,E78_998,E73_1498,E84_1349,E38_986,E77_742,E11_1481,E14_1218,E88_965,E92_611,E62_134,E49_1075,E43_612,E60_1275,E27_1175,E23_720,E10_482,E12_1467,E53_45,E51_335,E47_287,E31_133,E44_1074,E93_316,E50_996,E69_285,E40_1038,E18_1436,E96_1030,E35_566,E75_374,E56_892,E72_1418,E7_580,E21_146,E63_347,E70_898,E79_559,E9_560,E3_860,E2_1023,E33_83,E74_1346,E66_1499,E61_269,E1_185,E80_684,E99_695,E36_26,E59_1070,E76_1120,E45_497,E29_256,E26_1316,E48_698,E85_773,E37_121,E46_99,E87_695,E90_42,E52_677,E54_1099,E42_1109,E32_719,E89_309,E24_809,E83_1179,E97_604,E41_1377,E8_1163,E95_247,E0_179,E34_1403,E94_1420,E91_258,E15_1111,E5_199,E82_154,E16_375,E98_448,E20_496,E67_721,E55_1217,E22_777,E58_1255,E4_573,E57_1108,E64_315,E68_1173,E6_1041,E13_425,E19_244,E81_1057
g1,2.118365861555765,2.390049513973672,1.826316433854836,2.0236941049374857,2.273787800276565,2.271582242769756,0.2271558062134941,3.039847624300801,1.9877501991980504,0.30995922587066865,0.057488713931146025,1.9739540279306609,2.14832178107203,0.036359792353764096,1.984337409077097,2.392713992667768,1.8982685077631944,2.1337218122641275,1.9644219361204012,1.8655330430530137,1.8466401639376018,2.0670178869821885,2.1767514103958647,1.7728766853381976,0.002654839736479307,2.153244624581657,1.8551114549477532,2.794884536935196,1.9592242316284625,2.011358623003929,2.200818949134533,1.91737290213344,1.742637816412451,1.6494188675456485,0.0059537748118951355,1.8226981859682465,2.0904586833026344,2.3843713341215493,1.8181374235027223,0.15701170400973513,2.164152444776545,1.7871225558689552,2.528668835151249,2.2444602184846008,1.9051275675837365,2.127345691981681,2.373283471322065,2.579997031285502,2.284187325355445,0.2283135136579892,1.8302744265696524,1.2975105037063313,2.375194261077336,1.6895143351704567,1.9921754734334876,2.0850188804528766,2.3736380963130017,2.130691835214536,2.278377009124794,1.5902444001217728,2.231701026956647,1.532403847401164,2.16013860304158,2.635146950058413,2.2502453965876024,1.8942135355265644,2.3048687043162546,2.0820629135662005,2.0146975259158237,1.4353998937769012,2.1387084021591374,2.092913895186664,2.0520879586111547,1.5656231084666168,2.2307556880137422,2.7484789862256895,2.1186337394235952,2.1466578060322843,2.2834988755207566,2.149186245894347,0.6474721327454598,2.3238823444560333,2.197409740361271,2.277791954858916,1.7185772887216897,1.6074793756765386,2.140363030488337,2.257124981363503,1.9975007631052035,2.026609385941024,1.5194246383759709,1.920435310285989,2.4382810863917257,2.369564150375832,2.330880681726483,2.6302668245770295,2.7162242045845537,2.3576192260315056,2.2993892452936486,1.8142119160736212
g10,2.2915587716056462,2.1305289407944943,0.047353116625539315,0.015558577424280287,0.0466266059741328,2.1356825435937954,2.10434046318488,1.689164285794534,1.7330852923553457,2.0029186344684184,2.2240217696179894,2.0847397147827134,2.3440986639196413,2.6533061048766853,2.0410951288723176,1.9820431592695031,0.011596777941280565,0.022617449520196724,2.286400250885368,0.08685902166277185,2.006273164218729,2.272109444165378,0.026153618487834,0.01871660003990773,2.3199361581371174,0.015920261068165534,0.031768011098675664,0.02249047729140156,0.0010068771168583674,1.8798661202133131,0.029938166672218738,1.99596589658274,0.0105880319090295,2.3712158175563114,2.1777312462869345,1.9343437000749537,0.028600730961632164,0.07413266363008811,2.1507703136499794,2.35506263699618,0.07509584528019599,0.002715164634161312,0.0052043574094323645,2.190684196770471,0.001951769649582514,0.024539959952230125,1.6233105284836864,1.5067471767298333,0.009559295284236251,2.027951061993873,2.270357212556463,0.018867329526411198,0.03495573340352125,1.7050351784961963,1.8464172507839525,0.008168164601276518,2.155743825496372,1.9247506870362336,0.023807990890644847,0.02889814206031348,1.91442538791309,2.158664448073333,2.389153631277703,0.02588992753770674,0.04498365292947293,1.3397817154961411,0.006523451169518089,1.2009702339751582,2.2416291938585764,2.1259196842631534,0.9859894443822524,0.013180937273940565,2.251308089095272,2.3392704021642383,0.034045069557880774,2.1270707951285024,2.0493116127724416,0.029311938158618763,0.0031266714789825976,2.41975018167718,2.4943408962228033,0.010235642063083769,2.4066235869750603,0.00476641396971849,0.0894891649400153,0.025884665712896014,4.1152509094322276e-05,0.026704152944708175,1.9923012268494336,1.9935597632543192,1.9129661842028645,2.342551028793736,0.014402535737411303,2.0834218922295293,0.005178669002301329,1.9743448325228692,1.968224818472536,0.0051142607367685045,0.0077614299569581015,2.5462174732086487
g11,2.1871250411859524,2.1352788891773615,0.002700145218652155,0.011327280205896028,0.02593975894117869,1.9833364800706599,1.785581161268856,1.7255588322473496,1.9404378350233438,1.9443737960244547,2.8168985870705283,2.210025817036157,2.1171069957633915,2.1755619050767736,1.4708104693022062,1.9423189319739165,0.006743333781513181,0.026256693748765242,2.0010583413915426,0.028177349001393636,1.6542304565193038,2.095176550984522,0.01661822044542056,0.01884579375737176,1.9027100889046382,0.060989134405917224,0.025288320816815736,0.04750067812373949,0.016302063654503218,1.888506006634418,0.007539685798291351,2.441634692348724,0.07268709120348404,1.9518462221401416,2.2094314026328057,2.213878828663812,0.08260349846931501,0.019763775518962898,1.8452327096548649,1.9686429177178733,0.0028351651392459834,0.010907962957211087,0.016968625557091648,2.315668082802719,0.003018919432085918,0.00518004663702755,1.5981553639767183,2.176412209041582,0.00225980609187055,1.8403878010461368,1.6789345844414358,0.0109311734572987,0.03462565313474888,0.2293423388983536,0.04209046694837649,0.03991320270594584,2.0351835352281,2.2744994029298606,0.018338136610625475,0.028152300614742526,2.171182417581909,2.6973994642824763,2.155958346111168,0.008658812236415145,8.15512289891521e-05,0.001155188388884599,0.022495698597775032,0.004256628620488929,1.802650680443016,2.3096154081121307,0.01380795322404692,0.003918582453191572,2.3671151709745906,2.39025407156618,0.02647975299643927,1.9469610675271083,2.087429720620707,0.0006196175060161199,0.006098591189503447,1.9566534331631515,1.9949147622715635,0.00573585464578133,2.2238520306061718,0.0004272201634010988,0.0039902021479076575,0.038996482953686094,0.0058485164049292705,0.012106211404026096,0.014220445350382218,1.9844044298391283,0.04809595265537681,1.7329877571956203,0.02174599510334357,2.0354529594764665,0.03809481747490953,1.665898587075972,2.2546596983239837,0.03640362960350835,0.011162535811220786,2.2891965408545474
g12,1.871647877739553,2.2315507112817308,0.012515065799020356,0.049047127526869336,0.0034989116899748554,0.2336509257948033,2.049725986757249,1.84598869080362,2.2904848329678176,2.0158946999371574,2.551151101300602,1.889855682970517,1.3046924510388562,2.4813882111894943,1.9575226933077472,0.7173535267521888,0.028782944466812007,0.012785982840608504,1.4498135367202911,0.030532534051062567,2.00644558768048,2.1655720032461496,0.005781321186761957,0.010985963956165024,2.0365621022996976,0.0004677668996155918,0.07311105358587322,0.0016232354658205893,0.04046041569680439,2.2197203150011533,0.12027957590112205,1.9159668811657284,0.02275886013396551,2.8471446227805988,1.7796825453998344,1.9241628520539955,0.0516452134944911,0.00032143886780727597,1.015732829277101,2.066657902749275,0.003985334591153892,0.0011752526876312036,0.0036460434658548337,2.6148110910899702,0.0025670744821189076,0.006646127003781368,1.919683307447396,2.3005836419956878,0.015567245255262057,1.7013752988849384,2.2301424855602807,0.00467982301201147,0.020190840595566518,0.0005588121243281602,0.00636210390874642,0.0014023868542123177,1.9675148663679545,2.363701276862937,0.019457740130554086,0.002988020607997513,2.3203850111780864,1.0732964091018058,0.8103045461793893,0.0013232160205147315,0.008826561776183161,0.00039532911506816624,0.00020246970522732932,0.1011534243459238,2.170890301421569,2.3859703934950423,0.004485049867141782,0.0261081881546019,0.012651800194334269,2.3144471267551605,0.056359961578779164,2.075240953996892,2.012679940025059,0.028475898046688982,0.0032608182510988704,1.7049568434128477,2.1969647371979173,0.018124408925043613,1.7972422990606638,0.003810116085246226,7.602196712175281e-05,0.01877717077315035,0.0815145765849497,0.01406103754635432,0.020035703718205383,1.8770129611950999,0.00036894630692114734,1.8093892444450832,0.009105521008514708,1.8205604566989388,0.011692171110714264,1.8975755814407167,2.464247189226596,0.02451554580628904,0.011659275072072529,3.0855239580015783
g13,1.5006740385406203,2.3190507735334904,0.014857443537475328,0.0027156656598318696,0.0017406040224942387,0.003591155564526712,1.933416728615404,2.5551609901101497,2.6145164922857687,2.536146583641528,1.8199579971195368,2.162401535327386,0.008032670064817863,1.7841970308495412,2.291215272690475,0.012566739669503023,0.02776195975471169,0.0078223488742292,1.9839462350641766,7.067226828147422e-05,2.00339829303312,1.7557409430774755,0.008134445631878639,0.031321634809949025,1.8850520694477997,0.001833801219912043,0.02106824692309204,0.04048515290036494,0.1315902529407148,1.6456415832150992,0.004775567680240778,1.9233667119550402,0.01012688289175678,2.1125107719810785,1.8041108269153996,2.323543945297573,0.0014227862925167846,0.007637110306400834,0.002153119372170761,2.1961305560755964,0.010510457832532554,0.04440105182613065,0.010532009877506451,1.658034350664416,0.05986984766801645,0.005101243587083425,0.049820674507300634,2.396123049289278,0.008205839586258614,1.5718879821724627,1.735620839152623,0.015365009179637831,0.010399258549383316,0.010371388344965071,0.003995024946645137,0.0064224175688952145,2.2386378549524384,1.947390219037509,0.0074787049885737785,0.005557465122450272,2.504161072954138,0.024423870741515682,0.0015689667908263163,0.030077976682298162,0.00652567873733211,0.02468901380386085,0.01818908757002959,0.01855353569727894,2.0688760558677397,2.3063494471356463,0.014128604894140013,0.01325507846340206,6.528462322838846e-05,1.8878538969808625,0.0030321547173052213,1.9503778775324292,1.976484457911226,0.005597285088356861,0.016767592496075606,2.286054377906265,2.262847263519623,0.021964515319162426,2.0452498820687484,0.003786222432329917,0.0004441421576679999,0.0043120839696946635,0.031302141152624766,0.03891014900351627,0.030031905044276407,2.20501582939998,0.04098532919774783,2.6251093112246213,0.043239256489708784,2.1780967675974234,0.006119973228206717,1.9490964501255963,2.1060900531358917,0.04679617444916564,0.016897228989614866,2.18579257145531
g14,0.6278589435886496,2.0025706055000003,6.57201087516969e-05,0.0006527031446881247,0.001032084474184728,0.054385669271293874,2.3887726022548934,2.400328737756661,2.603968831661692,1.8034416675237188,2.02514209837348,1.8027251522140075,0.024776760201588442,1.6304089995469484,1.8571546748705468,0.013655747897523407,0.0039580034281762365,0.001770238081152952,1.71889094452859,0.009789758170164769,2.356265278607263,2.5980547097361706,0.00016883139463390144,0.0024923128719230338,2.3265004781486582,0.004383516172827926,0.0016523420470759384,0.023534383654764957,0.012664258081992771,2.1707053077462457,0.0017759907435480784,0.3879090817309263,0.0002368143055411368,2.5887408766984428,2.7482442244787144,2.346429538740834,0.008437750649875123,0.003546645097641107,0.007995257626480321,1.8104783424984272,0.027957307178956826,0.023271892980809,0.0012828556402213259,0.08246768421709717,0.007650327181970419,0.07061754033803525,0.005271811957061232,1.2271063586821638,0.018647174830574605,1.4336416802276633,1.9656398497124865,0.02161277948616109,0.0036142705909675455,0.021113371026113083,0.00686875991598398,0.06470085486987809,2.4344973814252904,2.15454833073024,0.004935094309480638,0.0057796426129423355,1.863507412972695,0.010048296440667022,0.007968426953983306,0.024755702023047686,0.006146856480602321,0.006776919282434279,0.014979336761455474,0.021337694007034128,2.3784687556759416,2.6596749989466453,0.001283229307244309,0.03205957659189732,0.014578347670008018,2.0686126224699484,4.714722294605863e-05,2.058833140047254,2.3659687747325733,0.031757053068547765,0.023953413245332948,2.135599821431725,2.3100249942644884,0.008072510408610884,1.9246876966044304,0.009070700390877285,0.0761979122614827,0.013507023425349124,6.438613451487693e-05,0.01025541605433058,0.001030769501031564,2.162035120905855,0.006201875484527993,2.332959452715968,5.768863513344949e-05,1.3674756021087866,0.005004818930449246,2.618674712958203,0.015516934906870087,0.0017909389849758593,0.00021476899649048583,2.6854589063176624
g15,0.0013224037534600374,2.737001618336512,0.013575236362673163,0.018119708231741083,0.031146658493303107,5.916453507689618e-05,2.1661486168684743,2.7266848873112366,0.04697622606838149,2.6517686186029232,2.062393795311514,0.046666752672708034,0.0679511387861534,2.415745417416156,2.2788929891484724,0.016207747595965126,0.015730900441221225,0.022801146509258886,0.01843404348183116,0.1582344885109001,1.8604306681942384,1.8087342459728688,0.007982689171429542,0.005184673790138533,2.9175392609532365,0.055119308151944366,0.005190614550078069,0.040804892444633666,0.00013635743800284575,0.034928861311558465,0.07277557783625868,0.002381590345120777,0.017906914070224003,0.1556213461622928,1.717313600742712,0.04449654872774994,0.004894892568901557,0.0013005760516268288,0.03370498201884982,2.0503322514881828,0.010068646265918378,0.016963874182551394,0.002331888841550988,0.003246590033071145,0.02011845951916429,0.0034679682753949947,0.0032838018706523066,0.002943861840847937,0.010095938770051457,2.8967982953113904,2.2177270166439182,0.07152048466219059,0.10907478830301053,0.0010319745044397952,0.002740641016234392,0.007379746771844216,1.2097383494141178,1.7080366448627822,0.00566358582628486,0.014590647155798959,1.3244650546225736,0.07339038758594252,0.01884029285606964,0.0007750022966024795,0.017679010958247768,0.04111975866422364,0.001628956162918976,0.01941091902385166,2.624452239032056,1.8105745269482028,0.000995498604601801,0.020417361321888924,0.0053103071749668745,2.1516756519245464,0.012429601639223192,1.7077255250895995,1.7898150476842494,0.055522186947443965,7.144426060527904e-05,1.7037329492261482,2.213437798498104,0.06790439448552771,1.9754314993495088,0.00011818219691285439,0.00335139078038301,0.00019730038032396736,0.008817882339596827,0.04239808463024551,0.001779046325658184,2.1916262538962403,0.01984604925902273,1.8974260508914556,0.019356328294099827,1.7656319538337344,0.0008075248721282222,2.0442468793913733,0.0012562738532274815,0.0014798042166306018,0.0009261134736622623,1.987806402750546
g16,0.008197094166593432,1.466807946017612,0.0032395352477121732,0.008796447573718958,0.002424724734700173,0.015272520618395862,1.8241904024620648,1.8244477222314808,0.010232691037187495,2.0702516374359825,1.7946331909593565,0.022657963772293288,0.0069818990384463925,1.6776206665459117,1.5705585009004113,0.02005730863270541,0.010552900506166836,0.016312027131832996,0.057814549579147466,0.07865502345463686,1.9837658087721357,1.8205141195779075,0.008234893276823408,0.0014270098151013052,2.176483094076312,0.006438804349607547,0.04668690647117574,0.0003465421397433622,0.0174983582547361,0.015414979124331653,0.005942496481856415,0.0005395619067174224,0.050083234428733886,0.012403157776712208,2.0853529963497395,0.012301550662841164,0.0024031839109199273,0.009846467340267876,0.01526134100206444,2.1958884752859182,0.181804874510246,0.023346943457898485,0.004036144992522651,0.007012439367191757,0.03659191281852383,0.010203267242874195,0.1220353321504296,0.028287172576031874,0.004457089639165485,1.6296646587090258,1.9376754887458096,0.00034555449426731515,0.003489172868716572,0.0029612903082381703,0.005891182609527255,0.05281518759615905,0.010701032961351716,0.05011329851999277,0.02260486404627868,0.03287160459174147,2.0991592179494467,0.009907860853733748,0.009888686359204904,0.009133874568497484,0.0727055387055183,0.002342423715179709,0.029480369151736237,0.02885609689353384,2.4708132704711576,2.178250049800216,0.0012083577614584696,0.042205317508441885,0.036614726907911406,0.8496895158147151,0.029571488685519832,1.7699765021975506,1.611103137966262,0.002009256122525652,0.0023127046865931877,2.1769645978619048,1.847214973061044,0.0007547143795401423,0.0010036965480924485,0.0041256696728785925,0.027152282406313785,0.0004633702949081793,0.02813879086227109,0.003396035924449566,0.010718125760414771,2.2678117365277286,0.0259841165334018,1.5676253369589055,0.1732988693542348,0.0005647109314183031,0.001505388100113691,0.005629438149807973,0.04452734602137556,0.008999123869159041,0.007141034417216602,1.5285603849425695
g17,0.0004737169807883777,0.018916069342646998,0.02185765587829693,0.013729727581353502,0.0054432079189758184,0.005965907560714829,1.7709507467513368,0.06594057942329544,0.015770104391224338,2.4828838753840308,2.0848208343824437,0.006593835699010198,0.020578223641829502,2.3552605848909813,0.057765473706107524,0.03370489766358119,0.01494645138264194,0.0010596892109508626,0.07523962076908243,0.04951838241696125,2.0761706656785783,1.2392252691457823,0.010988391116713335,0.004315405086648696,2.684202714321712,0.016658431084948418,0.0231332344484686,0.1081102106669301,1.2197257229829727e-06,0.0013347347940631349,0.00590011777079249,0.008167018813624156,0.03344419883475844,0.008102708721890523,2.236877636787981,0.005152220872199437,0.007402521762547764,0.06721276716965856,0.0021428404656996195,1.5296009373328558,0.007840479056236783,0.04622692168946313,0.00034462164838399486,0.003999505828450321,0.014413887806221382,0.02365420541305688,0.017170579445963174,0.025501992045300383,0.006274917628656849,2.3333903551169093,2.5248433936175307,0.009788213782179964,0.010971264639237229,0.013540685868143405,0.031673610365131236,0.016428127366397115,0.008672193768404444,0.012891773897005984,0.07798652137815743,0.03827787317750704,2.0974632696077844,0.015085480957088388,0.01448670613035992,0.003320250389500119,0.025819614416435616,0.01033504356153332,0.0013486724016877262,0.02660072779196155,0.3515701392527804,0.00947781955998909,0.0075883738327972875,0.005871332858085068,0.016577151670315836,2.0492141601600844,0.008593617286708873,1.398857120262357,0.012603620416623868,0.0001915801815279821,0.0056031074937625,1.7403190375669173,2.2222454514783747,0.00024626956950995343,0.00011588752399162966,0.053907105738252366,0.05450491687659529,0.025098156639325468,0.010202796512136071,0.0014302580327453954,0.008294940422050371,2.3450065764476467,0.030823339941827538,0.00989618141290677,0.04094519813231917,0.0002438247951272437,0.03125280989435277,0.0002390464923996425,0.0007845225281438461,0.0008538301656094426,0.0024517576977519783,0.004984733887257951
g18,0.01590880756362966,0.009243089755552,0.014027219689393536,0.0116685864139951,0.002181886772017328,0.07986657181232311,1.7626989167385678,0.016985192450402337,0.0005292444227684469,1.5977009225264132,2.420781479023102,0.025565330473942532,0.01024921140933628,2.3045860575920782,0.0877011311822624,0.0006533850600403295,0.002910635793920264,0.1545183465945544,0.0026627425128491,0.011174253157554348,1.6519788835193492,0.02369937781319267,0.0001654060264764251,0.0130006332437041,2.050113831080039,0.040984714995042436,0.1062036480676962,0.010898400853027741,0.015041717497720746,0.00933457762908979,0.0008159310486556699,1.492654564912762e-05,0.001961229214894224,0.016692647995636915,1.8922180467200669,0.005913784301624524,0.019024369261896462,0.007913004518057027,0.002831809731196405,1.6909024035926443,0.0029306464041217897,0.07485952878066446,0.0024792059196952136,0.026448934381359996,0.0012682968386283988,0.020547447736216858,0.021887562566925357,0.000795857101010492,0.007700981573298084,2.213284494752728,2.2131342516817534,0.02906040677224572,0.0019909194694664525,0.012204052693307451,0.014515893760019282,0.034896734947193975,0.02943138831340725,0.00020183432593252543,0.003390533121494606,0.05965368288672272,2.2248085789444736,0.00033318991483610255,0.030280860357532895,0.0030768626672303878,0.0009769323946192806,0.060441277184092576,0.0003706087179330465,0.0016789747455415597,0.0006757218757880323,0.018415580663240377,0.0001758780132889775,0.020658539442029784,0.03874267453929557,0.002112477910205198,0.03103903112482702,0.008464990991279094,0.00430075442247608,0.004828058630925057,0.004128766217613532,2.144899393262026,2.766475759238176,0.0013660597007853512,0.0015105424186604224,0.005639484130500554,0.006986988548964956,0.047678673338707116,0.005009697975408914,0.00767229278585787,0.04610186401772976,2.143635345853748,0.006397889092539757,0.03338879154723964,0.02227242457571557,0.0011825173506265492,0.018125183394115438,0.001588014523584074,0.007303244303018684,0.0018873932313061734,0.007695349847423825,0.001941737894108
