,PseudoTime1,PseudoTime2,PseudoTime3
E67_11,NA,0.00387,NA
E59_723,NA,0.92139,NA
E92_104,NA,NA,0.12371
E6_439,NA,NA,0.55541
E54_778,NA,NA,0.99227
E69_594,NA,NA,0.75515
E3_784,1.0,NA,NA
E41_630,NA,NA,0.80155
E90_254,NA,NA,0.31701
E33_501,NA,NA,0.63531
E44_674,0.85825,NA,NA
E8_350,0.44072,NA,NA
E55_315,0.39562,NA,NA
E18_434,NA,NA,0.54897
E25_105,0.125,NA,NA
E13_25,NA,0.02191,NA
E86_8,NA,0.0,NA
E66_500,NA,0.63402,NA
E22_725,0.92397,NA,NA
E7_763,0.97294,NA,NA
E15_197,NA,NA,0.24356
E35_142,NA,NA,0.17268
E20_503,NA,0.63789,NA
E74_714,NA,NA,0.90979
E1_768,NA,0.97938,NA
E58_154,NA,0.18814,NA
E76_733,NA,NA,0.93428
E21_338,0.42526,NA,NA
E28_458,NA,NA,0.5799
E42_465,NA,0.58892,NA
E57_478,NA,0.60567,NA
E68_317,NA,0.3982,NA
E47_127,0.15335,NA,NA
E30_771,NA,0.98325,NA
E9_635,0.80799,NA,NA
E65_724,NA,0.92268,NA
E14_75,0.08634,NA,NA
E31_282,NA,NA,0.35309
E27_379,NA,0.47809,NA
E96_357,NA,NA,0.44974
E16_578,0.73454,NA,NA
E83_323,NA,0.40593,NA
E0_421,NA,NA,0.53222
E71_123,NA,0.1482,NA
E5_236,NA,0.29381,NA
E48_480,NA,0.60825,NA
E52_176,NA,0.21649,NA
E56_318,NA,0.39948,NA
E23_642,NA,NA,0.81701
E98_39,NA,NA,0.03995
E88_123,NA,NA,0.1482
E38_36,NA,NA,0.03608
E73_343,0.4317,NA,NA
E37_105,0.125,NA,NA
E11_587,0.74613,NA,NA
E32_771,NA,0.98325,NA
E61_169,NA,NA,0.20747
E50_668,NA,0.85052,NA
E2_715,NA,0.91108,NA
E78_692,NA,0.88144,NA
E80_310,NA,0.38918,NA
E4_692,0.88144,NA,NA
E82_330,NA,NA,0.41495
E89_234,NA,0.29124,NA
E39_308,NA,0.3866,NA
E70_481,0.60954,NA,NA
E81_145,NA,0.17655,NA
E17_771,0.98325,NA,NA
E87_669,NA,0.8518,NA
E34_707,NA,NA,0.90077
E43_742,NA,0.94588,NA
E29_466,0.59021,NA,NA
E64_506,NA,0.64175,NA
E49_357,NA,0.44974,NA
E63_256,NA,NA,0.31959
E36_292,NA,0.36598,NA
E45_560,0.71134,NA,NA
E46_461,NA,NA,0.58376
E75_100,NA,0.11856,NA
E51_79,NA,NA,0.09149
E40_743,NA,0.94716,NA
E26_745,NA,0.94974,NA
E62_116,NA,NA,0.13918
E84_617,NA,NA,0.78479
E60_250,0.31186,NA,NA
E95_724,NA,NA,0.92268
E97_475,NA,NA,0.6018
E91_394,0.49742,NA,NA
E53_179,NA,0.22036,NA
E85_11,NA,0.00387,NA
E94_587,NA,0.74613,NA
E72_315,NA,NA,0.39562
E93_739,NA,0.94201,NA
E10_351,NA,0.44201,NA
E12_216,NA,0.26804,NA
E79_615,NA,NA,0.78222
E24_296,NA,0.37113,NA
E99_738,NA,0.94072,NA
E19_585,NA,0.74356,NA
E77_130,0.15722,NA,NA
