Gene1	Gene2	EdgeWeight
G78	G84	0.0056972387246787
G78	G32	0.0056942370720207
G70	G74	0.0056939674541354
G70	G18	0.0056901536881923
G78	G18	0.0056892377324402
G51	G40	0.0056885625235736
G97	G94	0.0056881890632212
G40	G15	0.0056831021793186
G4	G9	0.0056755086407065
G8	G24	0.0056731291115283
G28	G80	0.0056724539026618
G70	G59	0.0056705870665609
G70	G83	0.0056677516549825
G26	G90	0.0056670275516808
G1	G9	0.0056621106341481
G67	G31	0.0056620175018906
G38	G15	0.0056610112078487
G78	G22	0.0056577688083052
G70	G38	0.0056576495990157
G8	G77	0.0056573995389044
G5	G57	0.0056573841720819
G33	G90	0.0056560225784778
G53	G90	0.0056541492231190005
G43	G88	0.0056532439775764
G5	G59	0.0056527317501604
G70	G80	0.0056521692313253
G78	G97	0.0056521529331803
G85	G60	0.0056514260359108
G44	G11	0.0056511792354285
G77	G33	0.0056502735242247
G52	G25	0.0056488793343305
G57	G5	0.0056485352106392
G43	G24	0.0056478437036275
G78	G87	0.0056464774534106
G51	G8	0.0056436546146869
G94	G32	0.005642688833176999
G4	G31	0.0056424099020659
G13	G25	0.0056422618217766
G28	G11	0.0056417109444737
G70	G40	0.005640645045787
G44	G93	0.0056396932341158
G52	G11	0.0056396508589386
G8	G40	0.0056360787712037
G43	G5	0.0056354030966758
G20	G83	0.0056352713145315
G70	G72	0.0056352163664996
G43	G11	0.0056351167149841
G79	G32	0.0056346501223742
G43	G31	0.005634537898004
G32	G85	0.0056343949399888
G38	G76	0.0056341602467
G69	G23	0.0056332480162382
G44	G5	0.0056330235674977
G70	G13	0.0056320382282137
G52	G40	0.0056318724527955
G33	G49	0.0056317867711186
G70	G36	0.0056317816488444
G4	G23	0.0056317644193768
G4	G11	0.0056313565000891
G4	G22	0.0056308438070118
G33	G5	0.0056304363533854
G5	G41	0.0056300475262105
G38	G66	0.005629576742649
G52	G15	0.0056295590475201
G70	G97	0.0056293443776667
G53	G49	0.0056289159692823
G13	G17	0.0056284694001078
G53	G88	0.0056278533302247
G78	G90	0.0056272842921316
G52	G51	0.005627061240375
G13	G31	0.0056265778839588
G70	G66	0.0056257750838994
G65	G18	0.005625014193356
G70	G58	0.0056249918416142
G43	G52	0.005624683573841998
G38	G43	0.0056241867132484
G20	G64	0.0056237154640257
G97	G90	0.0056235827505588
G85	G30	0.0056233513168990005
G43	G49	0.0056232083588838
G75	G71	0.0056229615584015
G13	G85	0.0056228088214993
