TF	Target	EdgeWeight
G78	G84	0.005697238724678755
G78	G32	0.005694237072020769
G70	G74	0.005693967454135418
G70	G18	0.0056901536881923676
G78	G18	0.005689237732440233
G51	G40	0.005688562523573637
G97	G94	0.005688189063221216
G40	G15	0.0056831021793186665
G4	G9	0.005675508640706539
G8	G24	0.005673129111528397
G28	G80	0.0056724539026618
G70	G59	0.005670587066560984
G70	G83	0.005667751654982567
G26	G90	0.005667027551680803
G1	G9	0.005662110634148121
G67	G31	0.005662017501890659
G38	G15	0.005661011207848787
G78	G22	0.0056577688083052635
G70	G38	0.005657649599015713
G8	G77	0.0056573995389044285
G5	G57	0.005657384172081947
G33	G90	0.0056560225784778595
G53	G90	0.0056541492231190205
G43	G88	0.005653243977576494
G5	G59	0.005652731750160456
G70	G80	0.005652169231325388
G78	G97	0.005652152933180332
G85	G60	0.005651426035910845
G44	G11	0.005651179235428572
G77	G33	0.005650273524224758
G52	G25	0.005648879334330559
G57	G5	0.005648535210639238
G43	G24	0.005647843703627586
G78	G87	0.0056464774534106255
G51	G8	0.005643654614686966
G94	G32	0.00564268883317709
G4	G31	0.005642409902065992
G13	G25	0.0056422618217766285
G28	G11	0.0056417109444737434
G70	G40	0.005640645045787096
G44	G93	0.005639693234115839
G52	G11	0.005639650858938694
G8	G40	0.005636078771203756
G43	G5	0.005635403096675873
G20	G83	0.005635271314531565
G70	G72	0.005635216366499662
G43	G11	0.0056351167149841785
G79	G32	0.005634650122374296
G43	G31	0.005634537898004055
G32	G85	0.0056343949399888515
G38	G76	0.0056341602467000484
G69	G23	0.005633248016238213
G44	G5	0.00563302356749773
G70	G13	0.005632038228213787
G52	G40	0.0056318724527955055
G33	G49	0.005631786771118641
G70	G36	0.0056317816488444805
G4	G23	0.00563176441937685
G4	G11	0.0056313565000891685
G4	G22	0.005630843807011843
G33	G5	0.0056304363533854485
G5	G41	0.0056300475262105465
G38	G66	0.005629576742649078
G52	G15	0.005629559047520161
G70	G97	0.005629344377666712
G53	G49	0.005628915969282389
G13	G17	0.0056284694001078606
G53	G88	0.005627853330224752
G78	G90	0.005627284292131662
G52	G51	0.005627061240375042
G13	G31	0.0056265778839588165
G70	G66	0.005625775083899498
G65	G18	0.005625014193356037
G70	G58	0.005624991841614246
G43	G52	0.005624683573842049
G38	G43	0.005624186713248491
G20	G64	0.005623715464025736
G97	G90	0.005623582750558853
G85	G30	0.005623351316899061
G43	G49	0.005623208358883858
G75	G71	0.005622961558401585
G13	G85	0.005622808821499348
G70	G46	0.005622717086225748
G59	G5	0.005622420459985733
G40	G38	0.005622345022857189
G43	G69	0.005621800664812326
G72	G49	0.0056215571239590645
G32	G67	0.0056212423369288445
G70	G11	0.005620851647108793
G1	G59	0.005620833486318588
G90	G24	0.005620551761239767
G95	G68	0.005620384123176336
G51	G88	0.005619939416646957
G91	G71	0.005619923118501902
G62	G31	0.005619727540761232
G38	G1	0.005619606003165245
G97	G5	0.005619531963020563
G45	G71	0.005619475618004799
G34	G24	0.005619391333311796
G44	G73	0.005619123578071594
G52	G72	0.005618514493107796
G38	G31	0.005618486553430557
G52	G18	0.005618203431367874
G49	G3	0.005618045572191477
G13	G74	0.005617577116936445
G78	G68	0.005617326591163874
G94	G84	0.005617083981633186
G97	G99	0.005616832058876753
G70	G35	0.005616514012217522
G13	G41	0.0056162490509450436
G1	G88	0.00561581552028656
G33	G11	0.005615525878965855
G52	G22	0.00561551284044981
G24	G8	0.00561482971534133
G100	G49	0.0056147221475839615
G7	G9	0.005614703055471182
G32	G9	0.005614525638520718
G78	G47	0.005614451132714748
G4	G45	0.005614353809505701
G70	G67	0.0056139566004276276
G40	G78	0.005613646004348993
G70	G91	0.005613554269075394
G43	G70	0.005613467190414667
G43	G8	0.005613442976027727
G67	G1	0.0056132725439965725
G91	G8	0.005612639710307121
G51	G41	0.00561252748593688
G82	G88	0.0056124902330338955
G53	G84	0.005612468346953392
G52	G21	0.005611787550151348
G51	G54	0.005611680448055267
G33	G45	0.0056112585589289665
G51	G18	0.0056109982542693615
G32	G8	0.005610933527350426
G76	G8	0.0056109195575118065
G52	G45	0.005610370077192783
G52	G70	0.005610344000160694
G25	G9	0.005610250867903233
G52	G98	0.005610038060694933
G51	G29	0.005609525367617607
G52	G74	0.00560941593721509
G48	G11	0.005609330255538225
G99	G9	0.005609192419797182
G4	G68	0.005609142128378153
G70	G90	0.005609138868749142
G50	G8	0.005608799867331982
G43	G83	0.005608726758509874
G46	G91	0.005608683917671442
G78	G2	0.005608497653156519
G44	G87	0.0056084273383021355
G52	G9	0.005608414299786091
G1	G40	0.0056082988157868385
G43	G74	0.005608169361948967
G67	G64	0.005608095321804285
G38	G26	0.005607829429209232
G17	G56	0.005607670173048973
G46	G66	0.005607638508081436
G97	G84	0.005607441067695618
G51	G31	0.005607279483228922
G79	G98	0.005607128608971834
G9	G90	0.005606125574558973
G38	G49	0.0056058610789477825
G18	G74	0.005605832673609257
G65	G4	0.00560581823810935
G98	G87	0.005605726502835751
G17	G71	0.005605516955256462
G75	G17	0.0056054117158055305
G44	G42	0.005605400539934635
G23	G9	0.005604701582342386
G70	G45	0.005604632664471865
