Gene1	Gene2	EdgeWeight
G12	G8	0.16782257006669468
G8	G12	0.14275735588264152
G4	G18	0.13940716819660634
G3	G79	0.1362644281583225
G33	G77	0.13398849587933698
G80	G28	0.11998825238382717
G7	G70	0.11755566311634205
G59	G5	0.1148857539978938
G5	G59	0.11367499247311967
G22	G2	0.11288144031955866
G33	G65	0.11206840039847504
G28	G80	0.10679079330315616
G79	G3	0.10673099938770936
G65	G33	0.1060335228331154
G84	G92	0.10408776269386866
G2	G22	0.10371655948288827
G92	G84	0.10313177421017528
G70	G7	0.1030268124071508
G92	G85	0.10301014450158702
G84	G32	0.10119014500950027
G32	G84	0.10057151712247027
G59	G23	0.1001967520681376
G59	G69	0.0994771200834625
G82	G63	0.098363077506362
G69	G59	0.09701466305835166
G92	G32	0.09676476208365453
G72	G7	0.09550885446743293
G77	G33	0.09290977490054972
G44	G47	0.09064125583752408
G72	G70	0.08699014201425045
G23	G59	0.0853140421926458
G92	G94	0.08516153447356367
G57	G23	0.08449052617680268
G32	G85	0.0840366441514627
G47	G44	0.08376392892182166
G7	G72	0.08366793529144173
G30	G84	0.08327889911245695
G84	G94	0.08296481329617242
G85	G94	0.08247584680003321
G63	G82	0.08063211977064685
G23	G5	0.07984654615155487
G30	G32	0.07931646596705495
G57	G5	0.07930884582989282
G23	G69	0.07897903664274968
G85	G92	0.07832805446008355
G77	G65	0.07712102992219665
G94	G92	0.0771044671775666
G69	G23	0.07687456112943718
G65	G77	0.07625731879192074
G15	G22	0.07600970384628353
G70	G72	0.07498252675840247
G5	G57	0.07419647016501674
G99	G32	0.07414711144264452
G57	G59	0.07228437967348766
G59	G57	0.07169786677333488
G30	G94	0.07131426345796431
G94	G85	0.07128439678556102
G5	G69	0.07000746840950499
G5	G23	0.06896061765126531
G2	G91	0.06839689372460306
G85	G32	0.0681165908878251
G2	G15	0.0678806388043948
G30	G85	0.06715949986489722
G98	G26	0.06712990167859957
G22	G15	0.06644514679502328
G23	G57	0.06575318099086032
G92	G97	0.06485084762087885
G85	G84	0.06469967557101322
G32	G92	0.06281843555811298
G6	G55	0.060673710583088236
G55	G6	0.0606368423126829
G32	G99	0.06050456723239678
G69	G50	0.059626837372643064
G95	G21	0.058994846750646215
G94	G84	0.058713817505891226
G56	G62	0.058697034527418715
G92	G99	0.058173414609440574
G69	G5	0.05810199787805945
G32	G94	0.0578002841755488
G99	G84	0.05681614398051293
G84	G85	0.0565463108197657
G2	G36	0.056043638316405284
G18	G4	0.055846542575201386
G26	G98	0.05483072089455425
G90	G82	0.0545804008807614
G36	G2	0.05431846391724025
G84	G97	0.053714779381779175
G27	G82	0.05348823794142525
G84	G99	0.052096684023885516
G30	G99	0.05164140081825118
G52	G14	0.051272543300552434
G22	G98	0.05049035222170933
G60	G85	0.0501512867295147
G94	G32	0.04923277356671348
G84	G30	0.04808377548737867
G15	G2	0.04805445849701533
G50	G69	0.04754921579423494
G82	G90	0.04733901686280709
G82	G27	0.045738283196795126
G32	G30	0.04568477599456466
G94	G97	0.04542510571494738
G23	G50	0.045239473250713175
G98	G22	0.044936256963947964
G64	G50	0.04458766850545945
G76	G14	0.044578785464290525
G84	G78	0.04457722288979237
G99	G30	0.04445728536022415
G60	G99	0.04413634952174612
G19	G99	0.043870994380158734
G17	G99	0.04341859264765538
G90	G10	0.04339338110196109
G69	G57	0.043110225622692726
G41	G50	0.04278837821088101
G15	G38	0.042112009912235134
G14	G52	0.041966761511768966
G26	G50	0.04178817235856455
G97	G92	0.04151569616765568
G62	G56	0.0411310859487018
G35	G99	0.04107181858205986
G59	G50	0.04068040875559526
G97	G94	0.040511921366628637
G46	G75	0.039842240714535605
G42	G99	0.03940291708673471
G99	G85	0.03875986247161541
G39	G34	0.0381909447528405
G30	G92	0.03754486715764372
G90	G3	0.0374288546116831
G60	G32	0.037384067344136435
G14	G15	0.03731335196648025
G92	G78	0.03723524410195465
G67	G43	0.03717834145830335
G80	G53	0.0368569610908902
G76	G24	0.03677497249257016
G78	G93	0.036496387558742405
G27	G10	0.036422779650934566
G49	G89	0.03633914793509256
G28	G53	0.03630948446973624
G24	G37	0.035782033071937815
G6	G16	0.03563663550582229
G57	G69	0.035610533366919765
G24	G76	0.03551182274308549
G60	G94	0.035495126253628176
G36	G22	0.03530400178510184
G41	G55	0.035080229142675265
G62	G42	0.03503108735652193
G91	G2	0.03487688579510605
G62	G16	0.034795684370125625
G92	G30	0.03475725795154682
G82	G81	0.03471104271455657
G32	G78	0.0346310180424771
G10	G27	0.0345919024031382
G99	G92	0.034231394516908785
G94	G29	0.03414351191200842
G16	G43	0.03382034627812208
G8	G93	0.03371977443316192
G55	G75	0.03342143795875939
G99	G94	0.03331811173016778
G30	G18	0.033315932909593615
G66	G70	0.033238450338508134
G94	G30	0.0331171690580899
G66	G74	0.03304828717599561
G31	G18	0.032754532031091965
G14	G76	0.03271608636799981
G98	G2	0.03270265595849138
G74	G42	0.03258830441810507
G39	G44	0.03219430670448867
G22	G36	0.032137726600743245
G50	G23	0.032136970288718036
G32	G97	0.032110162304437716
G38	G95	0.03205895171354381
G36	G14	0.0320565394493505
G90	G16	0.031810120018171836
G61	G64	0.031740018527884946
G85	G97	0.03171789314157583
G40	G85	0.03150512582831288
G2	G98	0.031295251371718985
G78	G14	0.03129097820587167
G54	G66	0.031268551234630015
G74	G50	0.03126061836262565
G48	G75	0.0312593004609733
G3	G90	0.031240811933717038
G88	G25	0.03122708914756179
G25	G78	0.03121654900896173
G36	G15	0.031116471139491838
G10	G90	0.03068952812534116
G73	G96	0.03056777922684118
G94	G78	0.030456353030857905
G37	G24	0.03040755908059055
G17	G81	0.0303381596588671
G32	G60	0.030261137794953583
G95	G38	0.030149592538052168
G78	G22	0.030028800895309005
G77	G80	0.03000584959428218
G9	G40	0.02992776703669563
