Gene1	Gene2	EdgeWeight
G22	G1	0.9836540818214417
G22	G11	0.9821877479553224
G22	G43	0.9818326234817504
G22	G51	0.9798025488853456
G25	G1	0.9768248200416564
G92	G1	0.9743338227272034
G25	G43	0.9738775491714478
G25	G51	0.9730997085571288
G22	G60	0.9728212952613832
G22	G85	0.9724615812301636
G22	G58	0.9720944166183472
G22	G24	0.971527338027954
G22	G46	0.9713494777679444
G92	G43	0.9713045954704284
G22	G68	0.9704294800758362
G92	G51	0.9701380133628844
G22	G73	0.968545138835907
G25	G11	0.9682880640029908
G22	G81	0.9676859378814696
G92	G11	0.9659289717674256
G71	G1	0.9654314517974854
G22	G53	0.9628975987434388
G22	G14	0.962185561656952
G71	G51	0.9615494012832642
G22	G93	0.9614084362983704
G22	G6	0.9611849188804626
G71	G43	0.9609530568122864
G25	G73	0.9609050750732422
G22	G36	0.9606629610061646
G25	G53	0.9602134227752686
G25	G14	0.9600375294685364
G22	G13	0.959593951702118
G25	G36	0.959471583366394
G92	G6	0.9579408764839172
G25	G6	0.9576900005340576
G92	G73	0.9575361013412476
G22	G97	0.9558084607124328
G92	G60	0.9548601508140564
G22	G44	0.9545745253562928
G92	G53	0.9541699290275574
G22	G29	0.9534463882446288
G92	G85	0.9533404111862184
G92	G58	0.9529358148574828
G92	G44	0.9529020190238952
G92	G14	0.9526260495185852
G25	G85	0.952539324760437
G92	G24	0.9523743987083436
G22	G95	0.9523204565048218
G71	G11	0.952280580997467
G25	G60	0.9520347118377686
G92	G36	0.9518295526504515
G92	G46	0.9517862200737
G25	G44	0.9504464268684388
G71	G6	0.9501705169677734
G71	G73	0.948172688484192
G25	G58	0.9469230771064758
G92	G81	0.946879267692566
G25	G46	0.946399748325348
G25	G24	0.9463768601417542
G71	G14	0.9449290037155152
G92	G68	0.9448958039283752
G71	G36	0.9445528388023376
G71	G53	0.944040596485138
G92	G95	0.9432862401008606
G22	G38	0.943231761455536
G22	G21	0.9432194232940674
G25	G68	0.9430699348449708
G22	G98	0.9426454901695251
G25	G83	0.9422339200973512
G25	G81	0.9415249824523926
G25	G95	0.9414851069450378
G92	G38	0.9403884410858154
G22	G30	0.9403538703918456
G71	G44	0.9384170770645142
G22	G20	0.9383025765419006
G92	G83	0.9381651282310486
G22	G83	0.935495913028717
G71	G60	0.9346522688865662
G92	G93	0.9339774250984192
G22	G71	0.9338447451591492
G25	G38	0.9337452054023744
G71	G85	0.9334899783134459
G71	G83	0.9322343468666076
G22	G67	0.9315786957740784
G25	G13	0.9304824471473694
G92	G97	0.9303795099258424
G71	G95	0.9301886558532716
G22	G74	0.9297381639480592
G92	G74	0.928584635257721
G92	G29	0.9285719990730286
G22	G40	0.9278481006622314
G92	G20	0.92752343416214
G71	G38	0.9273110628128052
G22	G91	0.927043616771698
G25	G30	0.9264583587646484
G22	G2	0.9259971380233764
G71	G58	0.925850749015808
G22	G9	0.9252498745918274
G71	G24	0.9251956343650818
G25	G93	0.9249467253684998
