Gene1,Gene2
G52,G74
G61,G67
G28,G80
G62,G56
G52,G10
G22,G97
G7,G70
G79,G3
G10,G27
G55,G25
G82,G10
G25,G81
G55,G6
G74,G38
G71,G29
G25,G60
G55,G10
G92,G93
G10,G90
G95,G74
G92,G32
G22,G9
G56,G100
G26,G71
G52,G81
G71,G30
G55,G83
G56,G45
G59,G23
G52,G1
G4,G18
G25,G85
G22,G11
G92,G97
G8,G12
G52,G95
G92,G20
G95,G38
G92,G18
G59,G50
G52,G49
G92,G42
G71,G67
G52,G14
G35,G53
G22,G93
G25,G68
G52,G36
G22,G91
G25,G1
G52,G53
G71,G66
G22,G1
G51,G44
G92,G99
G52,G6
G92,G17
G65,G33
G92,G85
G22,G17
G52,G38
G71,G89
G22,G13
G22,G2
G25,G11
G25,G24
G25,G58
G71,G13
G7,G83
G82,G90
G59,G57
G52,G47
G75,G48
G92,G45
G71,G93
G35,G90
G71,G97
G26,G60
G59,G73
G26,G85
G52,G54
G52,G44
G16,G6
G22,G40
G48,G55
G71,G94
G22,G29
G59,G41
G92,G100
G71,G20
G12,G8
G10,G63
G31,G47
G66,G21
G37,G52
G16,G88
G52,G43
G31,G87
G52,G83
G71,G21
G6,G52
G92,G29
G59,G64
G92,G94
G22,G6
G55,G41
G92,G70
G52,G51
G66,G93
G65,G34
G71,G4
G52,G73
G56,G20
G3,G90
G26,G98
G92,G30
G71,G88
G22,G33
G22,G98
G59,G69
G82,G63
G86,G58
G79,G70
G7,G6
G25,G46
G75,G55
G71,G99
G22,G78
G52,G11
G25,G51
G31,G44
G22,G34
G74,G95
G31,G39
G80,G33
G34,G33
G52,G31
G25,G43
G54,G76
G92,G19
G71,G78
