TF	target	importance
G32	G84	88.91538791939556
G92	G84	60.54212478994644
G5	G59	51.48323649869634
G8	G12	49.54175414376953
G59	G5	45.267260057118136
G33	G77	42.441392163650335
G84	G32	38.232340826797454
G12	G8	37.35621223495656
G94	G84	37.05095136209504
G84	G92	36.24812359488658
G30	G32	36.1081279535699
G70	G7	34.80764541871144
G84	G94	34.1634619419232
G99	G32	33.72681432155235
G92	G85	33.03469754578701
G30	G84	32.79251657231082
G69	G59	32.78030654666768
G94	G92	32.07235979931093
G23	G59	31.442937318856174
G32	G85	31.209364953682563
G92	G94	28.5363535203154
G85	G92	28.515098401375486
G63	G82	26.652207144707926
G57	G5	26.127933901956318
G92	G32	25.83015416080081
G15	G22	25.329860941342133
G28	G80	25.301606831012734
G84	G85	25.170379755898363
G33	G65	25.161234310256415
G59	G23	25.01677174684813
G7	G72	24.354754269466216
G57	G59	23.199151056497588
G85	G94	23.198023178023828
G69	G5	23.119533593963666
G47	G44	22.515566185388735
G65	G77	22.424498745549503
G99	G84	22.397032041893503
G2	G22	21.832026841775853
G30	G85	21.306000033442757
G70	G72	21.23958707768964
G85	G84	20.99627113528767
G4	G18	20.94645574467303
G23	G5	20.34765428112346
G69	G23	19.97531277500581
G72	G7	19.949249415539867
G32	G92	19.543764558846078
G30	G94	19.297363822594377
G57	G23	19.086620789707222
G65	G33	18.841296530111542
G32	G94	17.74455552065873
G59	G69	17.114412347552733
G23	G69	16.99150330642437
G60	G85	16.96917325342882
G94	G85	16.430731783294192
G5	G57	16.38537968603768
G5	G69	16.347975226833835
G5	G23	16.321092280616902
G22	G2	16.271372401216325
G59	G57	16.222856753987323
G7	G70	15.788439832955259
G23	G57	15.578952896870367
G6	G55	15.55243591894981
G35	G32	14.974874037486627
G60	G99	14.816642176004393
G94	G32	14.6895401986334
G60	G94	14.141751285254362
G85	G32	13.848298985602934
G19	G84	13.468503651273783
G77	G33	13.169381403700482
G19	G99	12.867614418474233
G30	G99	12.457697880808658
G31	G84	12.350082030634011
G27	G82	12.277094604837808
G97	G94	11.987020441729477
G30	G92	11.94256406501534
G77	G65	11.723214549962398
G36	G22	11.615706580561385
G50	G69	11.594565566321553
G84	G97	11.529998901114647
G90	G82	11.459244730226175
G92	G97	11.247235991647177
G2	G91	11.24548486013753
G98	G22	11.140427716417117
G35	G84	10.97518213514419
G50	G59	10.905754314854148
G97	G92	10.904116697321793
G41	G59	10.731697075011395
G42	G32	10.385667072679016
G26	G98	10.128555771204095
G92	G99	10.042468232228206
G94	G97	9.967544589962177
G84	G30	9.785687757994745
G84	G99	9.699009884117531
G99	G94	9.539696923957807
G39	G44	9.498755376684997
G98	G26	9.486070058719964
G53	G80	9.453746284502161
G19	G94	9.186134801478442
G57	G69	9.168630589740713
G40	G85	9.015352500048392
G32	G30	8.962278173730528
G82	G63	8.867975118001029
G32	G99	8.821991636522158
G86	G84	8.648843235197125
G22	G98	8.46341570985497
G15	G2	8.389947261589061
G17	G84	8.384546270865611
G79	G3	8.38424981176872
G77	G80	8.326335800785278
G42	G84	8.050360808823497
G24	G56	8.013884542746299
G48	G5	7.865558955474616
G69	G57	7.819173504844549
G78	G22	7.604517501918521
G60	G92	7.563284571091067
G97	G85	7.539553166254313
G60	G32	7.523537208523879
G27	G12	7.510837356222657
G84	G78	7.459849251019053
G78	G92	7.410836977892174
G16	G43	7.4094524000695445
G14	G22	7.3515506979102385
G3	G79	7.296259106141391
G85	G25	7.292400356695006
G85	G97	7.190087843101275
G25	G78	7.136509349196122
G14	G52	7.120419824360135
G65	G80	7.101278982786301
G83	G7	7.073054297890692
G80	G77	7.071044578502704
G39	G92	7.05674610436847
G78	G84	6.989299381990562
G25	G65	6.959586014741513
G19	G32	6.945821443573069
G66	G72	6.9351440608631965
G99	G30	6.910175664951907
G64	G59	6.850999781485715
G67	G43	6.819244520726812
G36	G2	6.724914077518954
G94	G30	6.6680952401696265
G40	G84	6.657068907436347
G99	G85	6.63227589982878
G20	G77	6.618542093907769
G43	G77	6.600888036083822
G86	G26	6.580150053851542
G69	G50	6.411566642540163
G19	G85	6.333506231771815
G6	G57	6.328978103794592
G87	G77	6.29624119244826
G99	G77	6.236155243964837
G75	G55	6.213828887778894
G80	G65	6.2137544239811
G96	G85	6.182425668951516
G70	G12	6.177230820624522
G62	G56	6.1491407629114425
G45	G92	6.142843605135339
G40	G98	6.068179230636549
G66	G7	6.04518452606437
G26	G82	6.013193445081015
G75	G59	5.991967731660707
G46	G26	5.910056117833367
G85	G55	5.907126371207428
G64	G69	5.82412099525855
G50	G23	5.702367808259017
G2	G36	5.662347521689029
G9	G22	5.632364447624649
G41	G55	5.584391971654802
G18	G84	5.572982346159082
G93	G85	5.558509828310848
G72	G70	5.544467091253413
G92	G30	5.535993532547432
G73	G12	5.534978107185544
G32	G78	5.5286319880140455
G57	G80	5.480296532111755
G59	G50	5.479800171099983
G78	G93	5.428130170009537
G47	G91	5.38158645483049
G99	G92	5.331426691248603
G44	G47	5.3259638209409665
G4	G57	5.271904138152108
G91	G5	5.271001707837116
G78	G94	5.228196060930937
G96	G57	5.194185418443704
G92	G78	5.149673336630241
G98	G94	5.138759534850658
G41	G69	5.129350691574851
G54	G14	5.1198883712290115
G85	G30	5.10744593020184
