Gene1,Gene2,EdgeWeight
G1,G2,0.009932618588209152
G1,G3,0.010048984549939632
G1,G4,0.010054525919258595
G1,G5,0.010375915095210075
G1,G6,0.010015737265348434
G1,G7,0.01004344318062067
G1,G8,0.010076690465211868
G1,G9,0.01007946114987135
G1,G10,0.01004067249596119
G1,G11,0.010048983618617058
G1,G12,0.010007425211369991
G1,G13,0.010057296603918076
G1,G14,0.01000188384205103
G1,G15,0.010134872049093246
G1,G16,0.010226302780210972
G1,G17,0.010060066357254982
G1,G18,0.010154266841709614
G1,G19,0.010082230903208256
G1,G20,0.010115479119122028
G1,G21,0.010024048388004303
G1,G22,0.010370374657213688
G1,G23,0.010021277703344822
G1,G24,0.010057295672595501
G1,G25,0.010046213865280151
G1,G26,0.01008223183453083
G1,G27,0.010032360441982746
G1,G28,0.010018507950007915
G1,G29,0.010098855011165142
G1,G30,0.010101625695824623
G1,G31,0.010154267773032188
G1,G32,0.010012966580688953
G1,G33,0.010137642733752728
G1,G34,0.010073919780552387
G1,G35,0.010087773203849792
G1,G36,0.010071149095892906
G1,G37,0.010065607726573944
G1,G38,0.010370373725891113
G1,G39,0.010129330679774284
G1,G40,0.010145955719053745
G1,G41,0.010109936818480492
G1,G42,0.010115479119122028
G1,G43,0.010096085257828236
G1,G44,0.010173661634325981
G1,G45,0.010101625695824623
G1,G46,0.01004344318062067
G1,G47,0.010112706571817398
G1,G48,0.010090543888509274
G1,G49,0.010206907987594604
G1,G50,0.010037901811301708
G1,G51,0.009985260665416718
G1,G52,0.01015703659504652
G1,G53,0.010076690465211868
G1,G54,0.010170890018343925
G1,G55,0.00996309518814087
G1,G56,0.010046213865280151
G1,G57,0.009988030418753624
G1,G58,0.010237384587526321
G1,G59,0.010411933995783329
G1,G60,0.009979719296097755
G1,G61,0.010029589757323265
G1,G62,0.010201366618275642
G1,G63,0.010062837041914463
G1,G64,0.010087773203849792
G1,G65,0.010029589757323265
G1,G66,0.010112706571817398
G1,G67,0.01018197275698185
G1,G68,0.009946472011506557
G1,G69,0.009949241764843464
G1,G70,0.010176431387662888
G1,G71,0.010018507950007915
G1,G72,0.010024048388004303
G1,G73,0.010187515057623386
G1,G74,0.010193056426942348
G1,G75,0.010162577964365482
G1,G76,0.01022076141089201
G1,G77,0.010051755234599113
G1,G78,0.010434096679091454
G1,G79,0.010060066357254982
G1,G80,0.010032360441982746
G1,G81,0.010085001587867737
G1,G82,0.010109936818480492
G1,G83,0.00996586587280035
G1,G84,0.010104396380484104
G1,G85,0.010179201140999794
G1,G86,0.01015703659504652
G1,G87,0.010134872049093246
G1,G88,0.01008223183453083
G1,G89,0.00997971836477518
G1,G90,0.010359291918575764
G1,G91,0.010284485295414925
G1,G92,0.01005452498793602
G1,G93,0.010123790241777897
G1,G94,0.010071148164570332
G1,G95,0.010007424280047417
G1,G96,0.009902141988277435
G1,G97,0.010057295672595501
G1,G98,0.01025955006480217
G1,G99,0.01011824980378151
G1,G100,0.010037900879979134
G2,G1,0.010176122188568115
G2,G3,0.010071155615150928
G2,G4,0.009966189973056316
G2,G5,0.009955142624676228
G2,G6,0.00999933760613203
G2,G7,0.01005458366125822
G2,G8,0.010068394243717194
G2,G9,0.010026959702372551
G2,G10,0.01015402376651764
G2,G11,0.010084967128932476
G2,G12,0.009996576234698296
G2,G13,0.010344619862735271
G2,G14,0.010214793495833874
G2,G15,0.010336332023143768
G2,G16,0.009894372895359993
G2,G17,0.010595983825623989
G2,G18,0.010046296752989292
G2,G19,0.010165072977542877
G2,G20,0.010165072977542877
G2,G21,0.01011535245925188
G2,G22,0.011109761893749237
G2,G23,0.010087729431688786
G2,G24,0.010187170468270779
G2,G25,0.010021436959505081
G2,G26,0.010013149119913578
G2,G27,0.010046296752989292
G2,G28,0.010195456445217133
G2,G29,0.010021436959505081
G2,G30,0.010131926275789738
G2,G31,0.010051821358501911
G2,G32,0.010021435096859932
G2,G33,0.010109827853739262
G2,G34,0.009963427670300007
G2,G35,0.010015911422669888
G2,G36,0.010137450881302357
G2,G37,0.010051820427179337
G2,G38,0.009974476881325245
G2,G39,0.010140212252736092
G2,G40,0.010073918849229813
G2,G41,0.010098779574036598
G2,G42,0.01009049266576767
G2,G43,0.01011535245925188
G2,G44,0.010178882628679276
G2,G45,0.010043533518910408
G2,G46,0.009933044202625751
G2,G47,0.010073918849229813
G2,G48,0.010093254037201405
G2,G49,0.010013150051236153
G2,G50,0.010137449949979782
G2,G51,0.009888848289847374
G2,G52,0.010073917917907238
G2,G53,0.010109827853739262
G2,G54,0.01011535245925188
G2,G55,0.010076680220663548
G2,G56,0.010049059055745602
G2,G57,0.01015402376651764
G2,G58,0.010029722936451435
G2,G59,0.01015126146376133
G2,G60,0.010162310674786568
G2,G61,0.010192695073783398
G2,G62,0.010073917917907238
G2,G63,0.010098778642714024
G2,G64,0.009935806505382061
G2,G65,0.010002100840210915
G2,G66,0.009980002418160439
G2,G67,0.010090491734445095
G2,G68,0.010170596651732922
G2,G69,0.010073918849229813
G2,G70,0.010195456445217133
G2,G71,0.009966189973056316
G2,G72,0.00999933760613203
G2,G73,0.010087729431688786
G2,G74,0.01023965422064066
G2,G75,0.010140212252736092
G2,G76,0.010137449949979782
G2,G77,0.010104304179549217
G2,G78,0.010131925344467163
G2,G79,0.009952380321919918
G2,G80,0.009949617087841034
G2,G81,0.009933044202625751
G2,G82,0.00997447781264782
G2,G83,0.009935806505382061
G2,G84,0.010134687647223473
G2,G85,0.010173359885811806
G2,G86,0.010104304179549217
G2,G87,0.010223079472780228
G2,G88,0.010253464803099632
G2,G89,0.00999933760613203
G2,G90,0.010018672794103622
G2,G91,0.010107065550982952
G2,G92,0.010104304179549217
G2,G93,0.01011535245925188
G2,G94,0.010029722936451435
G2,G95,0.009949618019163609
G2,G96,0.010142974555492401
G2,G97,0.010159548372030258
G2,G98,0.010535214096307755
G2,G99,0.010198218747973442
G2,G100,0.010010386817157269
G3,G1,0.010095595382153988
G3,G2,0.010159810073673725
G3,G4,0.010090011171996593
G3,G5,0.010034172795712948
G3,G6,0.010145849548280239
G3,G7,0.010187727399170399
G3,G8,0.009905743412673473
G3,G9,0.010003461502492428
G3,G10,0.010145849548280239
G3,G11,0.010023005306720734
G3,G12,0.010081635788083076
G3,G13,0.009969959035515785
G3,G14,0.010009045712649822
G3,G15,0.010050923563539982
G3,G16,0.010098387487232685
G3,G17,0.010059300810098648
G3,G18,0.010168185457587242
G3,G19,0.010031381621956825
G3,G20,0.010025796480476856
G3,G21,0.010201687924563885
G3,G22,0.009863866493105888
G3,G23,0.010148641653358936
G3,G24,0.010101178660988808
G3,G25,0.010045340284705162
G3,G26,0.009947622194886208
G3,G27,0.010109555907547474
G3,G28,0.010006253607571125
G3,G29,0.010062092915177345
G3,G30,0.009936456568539143
G3,G31,0.010064884088933468
G3,G32,0.01012909784913063
G3,G33,0.009955999441444874
G3,G34,0.009956000372767448
G3,G35,0.009983917698264122
G3,G36,0.010006253607571125
G3,G37,0.010092802345752716
G3,G38,0.010140265338122845
G3,G39,0.01015422586351633
G3,G40,0.010115138255059719
G3,G41,0.01007326040416956
G3,G42,0.010265902616083622
G3,G43,0.01010396983474493
G3,G44,0.010157017037272453
G3,G45,0.010154224932193756
G3,G46,0.010126306675374508
G3,G47,0.010126306675374508
G3,G48,0.01013468112796545
G3,G49,0.009992294013500214
G3,G50,0.010131890885531902
G3,G51,0.010115138255059719
G3,G52,0.010090011171996593
G3,G53,0.010120722465217113
G3,G54,0.010173768736422062
G3,G55,0.01022681500762701
G3,G56,0.010254734195768833
G3,G57,0.010073259472846985
G3,G58,0.010148641653358936
G3,G59,0.01022123172879219
G3,G60,0.01007884368300438
G3,G61,0.010059299878776073
G3,G62,0.010059300810098648
G3,G63,0.010045340284705162
G3,G64,0.010170976631343365
G3,G65,0.00997554324567318
G3,G66,0.010073259472846985
G3,G67,0.01022123172879219
G3,G68,0.010039756074547768
G3,G69,0.010224022902548313
G3,G70,0.01012909784913063
G3,G71,0.010014629922807217
G3,G72,0.010020213201642036
G3,G73,0.010067676194012165
G3,G74,0.01001742109656334
G3,G75,0.010224022902548313
G3,G76,0.01007884368300438
G3,G77,0.010070468299090862
G3,G78,0.010254734195768833
G3,G79,0.011022514663636684
G3,G80,0.010034172795712948
G3,G81,0.010045341216027737
G3,G82,0.010296614840626717
G3,G83,0.010112346149981022
G3,G84,0.009997877292335033
G3,G85,0.010235190391540527
G3,G86,0.010050924494862556
G3,G87,0.010143058374524117
G3,G88,0.010151433758437634
G3,G89,0.010103970766067505
G3,G90,0.01019052043557167
G3,G91,0.010009045712649822
G3,G92,0.010056507773697376
G3,G93,0.010162601247429848
G3,G94,0.009972750209271908
G3,G95,0.010084426961839199
G3,G96,0.0101095549762249
G3,G97,0.010056506842374802
G3,G98,0.010090012103319168
G3,G99,0.01022123172879219
G3,G100,0.01003138069063425
G4,G1,0.010074921883642673
G4,G2,0.01008337177336216
G4,G3,0.010108720511198044
G4,G5,0.01008337177336216
G4,G6,0.010072106495499611
G4,G7,0.010111537761986256
G4,G8,0.009970707818865776
G4,G9,0.010072106495499611
G4,G10,0.010184768587350845
G4,G11,0.010128437541425228
G4,G12,0.010072104632854462
G4,G13,0.009925642982125282
G4,G14,0.010111537761986256
G4,G15,0.010066471993923187
G4,G16,0.010139702819287777
G4,G17,0.010072106495499611
G4,G18,0.010221385397017002
G4,G19,0.010167869739234447
G4,G20,0.010117171332240105
G4,G21,0.010179135948419571
G4,G22,0.010184768587350845
G4,G23,0.010148153640329838
G4,G24,0.010119987651705742
G4,G25,0.010094638913869858
G4,G26,0.010001691058278084
G4,G27,0.010055205784738064
G4,G28,0.01004393957555294
G4,G29,0.01004393957555294
