Gene1	Gene2	EdgeWeight
G28	G80	0.9918749928474426
G47	G44	0.9917198419570924
G8	G12	0.9906103014945984
G80	G28	0.984666645526886
G32	G85	0.9824503660202026
G73	G65	0.9785714149475098
G73	G61	0.9775132536888124
G73	G12	0.9772486686706544
G34	G76	0.9762162566184998
G73	G76	0.976190447807312
G73	G93	0.9756613373756408
G24	G82	0.97554349899292
G34	G48	0.9754053950309752
G73	G56	0.9753968715667723
G24	G37	0.9749999642372132
G73	G14	0.9748677015304564
G59	G5	0.9748446941375732
G25	G6	0.9747312068939208
G73	G100	0.974603235721588
G32	G28	0.9745032787322998
G34	G12	0.9740540981292723
G80	G37	0.9739999175071716
G73	G88	0.973809540271759
G4	G18	0.9736559391021729
G73	G58	0.9735449552536012
G73	G41	0.973280429840088
G32	G51	0.9731788039207458
G73	G82	0.9730159044265748
G80	G59	0.9729999899864196
G80	G55	0.9729999899864196
G34	G5	0.9729729890823364
G17	G78	0.9728758335113524
G34	G43	0.97270268201828
G24	G39	0.972554326057434
G17	G84	0.9725490212440492
G32	G84	0.9725165963172911
G73	G68	0.9724867939949036
G80	G17	0.9723333716392516
G4	G50	0.9723118543624878
G17	G81	0.9722222089767456
G73	G43	0.9722222089767456
G73	G4	0.9722222089767456
G73	G70	0.9719576835632324
G32	G60	0.971854329109192
G24	G83	0.9717390537261964
G25	G58	0.971505343914032
G30	G84	0.9714743494987488
G24	G12	0.97146737575531
G65	G33	0.9712902307510376
G25	G96	0.971236526966095
G24	G45	0.971195638179779
G32	G76	0.9711921215057372
G32	G38	0.9711920022964478
G73	G51	0.971164047718048
G80	G15	0.9709999561309814
G25	G86	0.9709677696228028
G25	G48	0.9709677696228028
G17	G79	0.9709150791168212
G17	G11	0.9709150791168212
G73	G35	0.97089946269989
G73	G24	0.97089946269989
G73	G62	0.97089946269989
G32	G8	0.9708609580993652
G32	G94	0.9708609580993652
G32	G78	0.9708609580993652
G32	G30	0.9708608388900756
G73	G42	0.9706348776817322
G73	G84	0.9706348776817322
G17	G89	0.9705882072448729
G4	G33	0.9704301357269288
G25	G82	0.9704301357269288
G4	G87	0.9704301357269288
G73	G47	0.9703703522682191
G34	G68	0.9702702760696412
G40	G31	0.970198690891266
G4	G99	0.9701613783836364
G25	G38	0.9701612591743468
G4	G54	0.9701612591743468
G24	G31	0.970108687877655
G73	G38	0.9701058268547058
G73	G33	0.9701058268547058
G73	G95	0.9701058268547058
G80	G7	0.9700000286102296
G4	G74	0.9698925018310548
G32	G90	0.9698675274848938
G40	G4	0.9698675274848938
G73	G10	0.9698413014411926
G73	G9	0.9698413014411926
G73	G17	0.9698413014411926
G80	G44	0.9696666598320008
G25	G93	0.9696236848831176
G25	G21	0.9696236252784728
G73	G13	0.9695767164230348
G24	G46	0.9695652723312378
G32	G7	0.9695364832878112
G32	G97	0.9695363640785216
G80	G18	0.9693334102630616
G73	G18	0.9693121314048768
G24	G51	0.9692934155464172
G24	G58	0.9692934155464172
G32	G89	0.9692053198814392
G34	G13	0.96918922662735
G25	G92	0.9690860509872437
G4	G40	0.9690860509872437
G73	G74	0.9690476655960084
G73	G44	0.9690476655960084
G24	G60	0.9690217375755309
G24	G20	0.9690216779708862
G80	G24	0.9689999222755432
G32	G24	0.968874216079712
G60	G50	0.968874216079712
G25	G53	0.968817174434662
G73	G1	0.9687830209732056
G73	G2	0.9687830209732056
G73	G86	0.9687830209732056
G24	G54	0.96875
G24	G66	0.96875
G80	G13	0.9686666131019592
G34	G66	0.9686486124992372
G34	G36	0.9686486124992372
G25	G19	0.9685484170913696
G4	G43	0.9685484170913696
G4	G70	0.9685483574867249
G25	G2	0.9685483574867249
G32	G49	0.9685430526733398
G32	G5	0.9685430526733398
G32	G27	0.9685430526733398
G73	G46	0.9685185551643372
G73	G63	0.9685185551643372
G34	G46	0.9683784246444702
G34	G65	0.9683783650398254
G34	G86	0.9683783650398254
G34	G53	0.9683783650398254
G80	G40	0.9683333039283752
G40	G1	0.9682118892669678
G24	G69	0.9682065844535828
G24	G43	0.9682064652442932
G47	G13	0.96815288066864
G25	G70	0.9680107831954956
G80	G19	0.9679999947547911
G80	G77	0.9679999947547911
G80	G67	0.9679999947547911
G73	G72	0.9679893851280212
G73	G71	0.9679893851280212
G73	G67	0.9679893851280212
G73	G25	0.9679893851280212
G24	G100	0.967934787273407
G24	G5	0.9679347276687622
G24	G47	0.9679347276687622
G32	G70	0.9678807258605956
G34	G80	0.9678378701210022
G34	G74	0.9678378701210022
G25	G51	0.9677419066429138
G4	G24	0.9677419066429138
G25	G73	0.9677419066429138
G4	G73	0.9677419066429138
G73	G91	0.9677249193191528
G73	G28	0.9677249193191528
G73	G81	0.967724859714508
G24	G40	0.967663049697876
G34	G44	0.9675675630569458
G32	G74	0.9675496816635132
G32	G19	0.9675496816635132
G32	G68	0.9675496816635132
G32	G96	0.9675496220588684
G42	G88	0.9675393104553224
G25	G79	0.9674730896949768
G25	G37	0.9674730896949768
G25	G17	0.9674730896949768
G73	G37	0.9674603343009948
G73	G48	0.9674603343009948
G73	G77	0.9674603343009948
G73	G89	0.96746027469635
G73	G97	0.96746027469635
G73	G16	0.96746027469635
G80	G87	0.9673333764076232
G17	G75	0.9673202633857728
G34	G42	0.9672972559928894
G40	G53	0.967218577861786
G40	G75	0.967218577861786
G4	G85	0.9672043323516846
G4	G98	0.9672043323516846
G4	G68	0.9672042727470398
G4	G6	0.9672042727470398
G25	G52	0.9672042727470398
G25	G59	0.9672042727470398
G73	G66	0.9671958088874816
G73	G69	0.9671958088874816
G73	G55	0.9671958088874816
G73	G99	0.967195689678192
G24	G94	0.9671195745468141
G63	G82	0.9670984745025636
G34	G17	0.9670270085334778
G25	G90	0.9669354557991028
G73	G29	0.9669312238693236
G73	G78	0.9669312238693236
G40	G34	0.9668874144554138
G40	G88	0.9668874144554138
G32	G42	0.9668874144554138
G40	G8	0.9668874144554138
G24	G8	0.9668477773666382
G24	G15	0.9668477773666382
G24	G88	0.9668477773666382
G75	G55	0.9667742252349854
G34	G81	0.9667567610740662
G80	G74	0.9666666388511658
G73	G3	0.9666666388511658
G73	G45	0.9666666388511658
G73	G31	0.9666666388511658
G25	G88	0.966666579246521
G24	G77	0.9665760993957521
G24	G29	0.9665760993957521
G32	G20	0.9665562510490416
G32	G92	0.9665562510490416
G32	G41	0.9665562510490416
G40	G51	0.9665562510490416
G40	G17	0.9665562510490416
G34	G88	0.9664865136146544
G34	G16	0.9664865136146544
G34	G95	0.966486394405365
G54	G53	0.9664473533630372
G73	G75	0.9664021730422974
G73	G53	0.9664021730422974
G73	G94	0.9664021134376526
G73	G50	0.9664021134376526
G4	G100	0.9663979411125184
G25	G57	0.9663978219032288
G25	G40	0.9663978219032288
G25	G10	0.9663978219032288
G25	G75	0.9663978219032288
G80	G25	0.9663333296775818
G80	G70	0.9663333296775818
G80	G1	0.9663333296775818
G80	G22	0.9663333296775818
G24	G11	0.966304361820221
G24	G64	0.966304361820221
G24	G63	0.966304361820221
G24	G42	0.9663043022155762
G53	G85	0.9662252068519592
G32	G87	0.9662252068519592
G34	G77	0.966216206550598
G34	G89	0.966216206550598
G34	G98	0.966216206550598
G25	G26	0.9661290049552916
G4	G51	0.9661290049552916
G80	G12	0.9660000801086426
G80	G98	0.965999960899353
G80	G69	0.965999960899353
G80	G45	0.965999960899353
G34	G27	0.9659460186958312
G32	G57	0.965894103050232
G40	G71	0.9658939838409424
G73	G36	0.9658730030059814
G73	G96	0.9658730030059814
G73	G5	0.9658729434013368
G25	G61	0.9658602476119996
G25	G55	0.9658602476119996
G4	G83	0.9658601880073548
G4	G32	0.9658601880073548
G54	G21	0.9657894968986512
G42	G78	0.9657067656517028
G17	G19	0.9656862616539
G34	G25	0.9656757116317748
G34	G19	0.9656757116317748
G80	G91	0.9656667113304138
G80	G65	0.9656667113304138
G73	G11	0.9656084775924684
G4	G22	0.9655914306640624
G25	G8	0.9655914306640624
G4	G42	0.9655914306640624
G4	G21	0.9655914306640624
G40	G97	0.96556293964386
G24	G18	0.9654892086982728
G42	G21	0.9654451012611388
G42	G89	0.9654449820518494
G34	G20	0.9654054641723632
G34	G96	0.9654054641723632
G34	G2	0.9654053449630736
G17	G9	0.9653594493865968
G73	G8	0.9653439521789552
G73	G6	0.9653439521789552
G73	G22	0.9653438925743104
G73	G21	0.9653438925743104
G73	G90	0.9653438925743104
G80	G6	0.9653333425521852
G80	G73	0.9653333425521852
G4	G26	0.9653226137161256
G25	G24	0.9653226137161256
G32	G53	0.9652317762374878
G53	G32	0.9652317762374878
G32	G79	0.9652317762374878
G40	G86	0.9652317762374878
G40	G36	0.9652317762374878
G32	G22	0.9652317762374878
G32	G81	0.9652317762374878
G32	G40	0.9652317762374878
G24	G33	0.9652174115180968
G24	G74	0.9652174115180968
G24	G98	0.9652174115180968
G24	G53	0.9652174115180968
G34	G15	0.9651351571083068
G34	G6	0.9651351571083068
G73	G98	0.9650793075561525
G4	G92	0.9650537371635436
G25	G89	0.9650537371635436
G80	G62	0.9649999737739564
G80	G60	0.9649999737739564
G80	G42	0.9649999737739564
G80	G100	0.9649999737739564
G24	G35	0.964945673942566
G24	G76	0.964945673942566
G24	G84	0.964945673942566
G24	G85	0.964945673942566
G24	G41	0.964945673942566
G24	G62	0.964945673942566
G24	G79	0.964945673942566
G24	G26	0.9649456143379213
G32	G18	0.9649007320404052
G40	G76	0.9649007320404052
G34	G32	0.9648648500442504
G34	G64	0.9648648500442504
G34	G56	0.9648648500442504
G73	G19	0.964814841747284
G73	G40	0.964814841747284
G4	G63	0.9647849202156068
G25	G63	0.9647849202156068
G25	G97	0.9647849202156068
G17	G21	0.9647058248519896
G24	G48	0.9646739363670348
G24	G30	0.9646739363670348
G80	G39	0.9646666646003724
G80	G92	0.9646666646003724
G80	G83	0.9646666646003724
G80	G23	0.9646666646003724
G80	G54	0.9646665453910828
G34	G71	0.9645946621894836
G34	G58	0.9645946025848388
G32	G77	0.9645695686340332
G32	G75	0.9645695090293884
G32	G31	0.9645695090293884
G32	G61	0.9645695090293884
G32	G14	0.9645695090293884
G73	G27	0.964550256729126
G25	G5	0.9645161628723145
G4	G76	0.9645161032676696
G25	G18	0.9645161032676696
G25	G87	0.9645161032676696
G25	G3	0.9645161032676696
G24	G70	0.9644021391868592
G42	G70	0.96439790725708
G17	G31	0.9643791317939758
G17	G33	0.9643791317939758
G80	G51	0.9643334150314332
G47	G85	0.9643312692642212
G34	G70	0.9643243551254272
G34	G84	0.9643242955207824
G34	G41	0.9643242955207824
G73	G15	0.9642857313156128
G4	G65	0.9642473459243774
G4	G78	0.9642472863197328
G4	G86	0.9642472863197328
G40	G23	0.964238464832306
G40	G29	0.964238464832306
G42	G33	0.9641361832618712
G42	G35	0.9641360640525818
G24	G71	0.964130401611328
G34	G73	0.9640541076660156
G34	G94	0.9640541076660156
G34	G78	0.9640541076660156
G34	G38	0.964053988456726
G73	G39	0.9640211462974548
G80	G58	0.9640000462532043
G25	G47	0.9639785289764404
G4	G46	0.9639785289764404
G40	G43	0.9639073014259338
G32	G36	0.9639073014259338
G40	G22	0.9639073014259338
G40	G58	0.9639073014259338
G42	G62	0.9638743996620178
G42	G57	0.9638743996620178
G42	G72	0.9638742804527284
G24	G87	0.963858723640442
G24	G1	0.963858723640442
G54	G32	0.9638158082962036
G34	G14	0.9637837409973145
G73	G60	0.9637566804885864
G17	G41	0.9637255668640136
G17	G27	0.963725447654724
G4	G13	0.9637096524238586
G4	G56	0.9637096524238586
G25	G78	0.9637096524238586
G4	G11	0.9637096524238586
G47	G96	0.9636942744255066
G80	G33	0.9636666774749756
G80	G78	0.9636666774749756
