Gene1,Gene2,EdgeWeight
G1,G2,0.9064024090766907
G1,G3,0.9182926416397095
G1,G4,0.9030487537384033
G1,G5,0.9027438163757324
G1,G6,0.8957316875457764
G1,G7,0.8972561359405518
G1,G8,0.9121951460838318
G1,G9,0.9076219797134399
G1,G10,0.9085366129875183
G1,G11,0.9003048539161682
G1,G12,0.9073171019554138
G1,G13,0.8942072987556458
G1,G14,0.9079267978668213
G1,G15,0.876829206943512
G1,G16,0.9179878234863281
G1,G17,0.9109755754470825
G1,G18,0.9195122122764587
G1,G19,0.9067072868347168
G1,G20,0.9149389266967773
G1,G21,0.9213414788246155
G1,G22,0.9216462969779968
G1,G23,0.9039633870124817
G1,G24,0.9091463685035706
G1,G25,0.909756064414978
G1,G26,0.912195086479187
G1,G27,0.9094512462615967
G1,G28,0.9073171019554138
G1,G29,0.9051828980445862
G1,G30,0.9085366129875183
G1,G31,0.9064024090766907
G1,G32,0.9036585092544556
G1,G33,0.9006097316741943
G1,G34,0.8978658318519592
G1,G35,0.909756064414978
G1,G36,0.8990853428840637
G1,G37,0.9115853905677795
G1,G38,0.913414716720581
G1,G39,0.8978658318519592
G1,G40,0.9039633870124817
G1,G41,0.8978657722473145
G1,G42,0.9240853786468506
G1,G43,0.9134146571159363
G1,G44,0.9155487418174744
G1,G45,0.9091463685035706
G1,G46,0.9021342396736145
G1,G47,0.9036585092544556
G1,G48,0.910365879535675
G1,G49,0.9137195348739624
G1,G50,0.9112804532051086
G1,G51,0.902134120464325
G1,G52,0.8993902206420898
G1,G53,0.9079268574714661
G1,G54,0.9042683243751526
G1,G55,0.9021342396736145
G1,G56,0.9216462969779968
G1,G57,0.9033536314964294
G1,G58,0.9185975193977356
G1,G59,0.9140244722366333
G1,G60,0.8996951580047607
G1,G61,0.8996951580047607
G1,G62,0.9012195467948914
G1,G63,0.9030487537384033
G1,G64,0.9054877758026123
G1,G65,0.8902438879013062
G1,G66,0.909756064414978
G1,G67,0.9231706857681274
G1,G68,0.8975609540939331
G1,G69,0.9067072868347168
G1,G70,0.9100610017776489
G1,G71,0.8899390697479248
G1,G72,0.89664626121521
G1,G73,0.9070122241973877
G1,G74,0.9118902683258057
G1,G75,0.8999999165534973
G1,G76,0.9121951460838318
G1,G77,0.9054877758026123
G1,G78,0.9048780202865601
G1,G79,0.9085366129875183
G1,G80,0.8975609540939331
G1,G81,0.8981706500053406
G1,G82,0.909756064414978
G1,G83,0.9097561836242676
G1,G84,0.9060975909233093
G1,G85,0.9201219081878662
G1,G86,0.8996951580047607
G1,G87,0.9179878234863281
G1,G88,0.9167683124542236
G1,G89,0.9106707572937012
G1,G90,0.9237805604934692
G1,G91,0.9170732498168945
G1,G92,0.9054877758026123
G1,G93,0.9012195467948914
G1,G94,0.9134146571159363
G1,G95,0.8984756469726562
G1,G96,0.8926829695701599
G1,G97,0.9057927131652832
G1,G98,0.9054877758026123
G1,G99,0.9137195348739624
G1,G100,0.9039633870124817
G2,G1,0.7591623067855835
G2,G3,0.7657067775726318
G2,G4,0.7620419263839722
G2,G5,0.7586387991905212
G2,G6,0.7630890011787415
G2,G7,0.7612565755844116
G2,G8,0.7719895839691162
G2,G9,0.7646597027778625
G2,G10,0.7884817123413086
G2,G11,0.7557591199874878
G2,G12,0.7746073007583618
G2,G13,0.8028796315193176
G2,G14,0.7659685015678406
G2,G15,0.7952879071235657
G2,G16,0.7586387395858765
G2,G17,0.7918848395347595
