Gene1	Gene2	EdgeWeight
G12	G8	0.013587809167802334
G8	G12	0.013506728224456309
G7	G70	0.01274004392325878
G59	G5	0.012636645697057249
G5	G59	0.01262125000357628
G80	G28	0.012589417397975922
G77	G33	0.012550183571875095
G92	G84	0.012172477319836615
G22	G15	0.011954634450376034
G22	G2	0.011859269812703131
G5	G57	0.011811129748821259
G5	G23	0.01176820881664753
G15	G22	0.011699715629220007
G59	G69	0.011620813049376013
G33	G77	0.011614377610385418
G5	G69	0.011572386138141157
G59	G23	0.011528216302394869
G92	G97	0.011458659544587135
G44	G47	0.01140000019222498
G70	G7	0.01128713320940733
G92	G32	0.011241293512284756
G77	G87	0.011229817755520344
G38	G15	0.011194415390491486
G77	G65	0.011192954145371914
G59	G57	0.011155107989907265
G57	G5	0.011139931157231331
G82	G63	0.011137062683701515
G7	G72	0.011132671497762205
G15	G38	0.011118759401142595
G2	G22	0.011109761893749235
G70	G72	0.01106560416519642
G75	G55	0.011053702794015408
G3	G79	0.011022514663636684
G18	G84	0.011021881364285946
G92	G94	0.011021245270967484
G22	G98	0.011018018238246441
G92	G78	0.01099977642297745
G72	G70	0.010999424383044245
G80	G91	0.010954832658171655
G38	G26	0.010943956673145294
G74	G76	0.01093654241412878
G63	G82	0.010910339653491974
G32	G84	0.010909339413046835
G28	G80	0.010895450599491594
G58	G30	0.0108923502266407
G80	G77	0.01088571734726429
G79	G3	0.010873634368181229
G15	G2	0.010866900905966759
G57	G59	0.010859514586627485
G33	G65	0.010852333158254623
G23	G5	0.010833808220922949
G84	G32	0.010826879180967808
G92	G85	0.010825347155332564
G74	G18	0.010824508965015413
G58	G12	0.0108224768191576
G12	G70	0.010821410454809666
G69	G5	0.010814349167048931
G18	G4	0.010795379988849165
G44	G20	0.010790000669658184
G44	G13	0.010786666534841059
G23	G69	0.010780838318169115
G8	G11	0.010750306770205498
G44	G39	0.010720000602304935
G7	G97	0.010718083009123802
G18	G98	0.010715439915657043
G8	G73	0.010707112960517406
G5	G6	0.010697883553802969
G8	G35	0.010696315206587316
G82	G16	0.0106856320053339
G74	G58	0.010682817548513412
G89	G88	0.010676909238100052
G59	G26	0.01067578699439764
G62	G42	0.010661722160875796
G10	G27	0.01065808068960905
G57	G10	0.010649200528860092
G86	G45	0.010647015646100044
G70	G10	0.010644161142408848
G22	G18	0.0106297479942441
G75	G93	0.010626307688653469
G69	G23	0.010624327696859837
G23	G59	0.01061634998768568
G7	G8	0.010605941526591778
G57	G23	0.01060580275952816
