Gene1	Gene2	EdgeWeight
G42	G28	0.0065025612144444436
G94	G81	0.006353209918888889
G70	G62	0.0063002182233333325
G42	G29	0.006263744468888889
G28	G13	0.006224602336666666
G94	G75	0.006100079495555556
G85	G74	0.006052186496666667
G61	G6	0.0059748616244444455
G94	G62	0.005942896648888889
G94	G6	0.0057806201
G7	G13	0.0057733860266666655
G81	G13	0.0056090935144444435
G7	G5	0.005599791592222222
G7	G42	0.005550097511111111
G73	G26	0.005544828051111111
G7	G56	0.005528217898888889
G42	G39	0.005515130578888889
G81	G18	0.005496716156666667
G86	G42	0.005490738802222223
G70	G22	0.005454083916666667
G99	G91	0.005448076794444446
G82	G13	0.005415036287777778
G70	G68	0.005295108657777777
G7	G22	0.005289010248888889
G75	G40	0.005287335052222222
G65	G100	0.005253248674444445
G76	G61	0.005244855187777778
G7	G40	0.005237344191111112
G26	G100	0.005204972441111111
G97	G82	0.005150888251111111
G52	G100	0.005134207546666667
G54	G16	0.005113456843333334
G79	G42	0.0051030453944444455
G42	G15	0.005089372881111111
G99	G56	0.0050878063700000005
G78	G100	0.0050776800422222225
G79	G18	0.005068060010333332
G57	G28	0.005067417948888889
G61	G100	0.0050663628500000005
G81	G28	0.005035987795555556
G6	G50	0.005028568722222222
G69	G6	0.005025091607777778
G94	G86	0.005023228855555556
G94	G7	0.005006703772222222
G69	G62	0.0049726374355555545
G94	G59	0.0049383604066666675
G65	G62	0.0049279333355555545
G65	G5	0.004924818795555556
G20	G100	0.0049130006222222215
G78	G62	0.004912133763333334
G3	G18	0.004905153235555557
G74	G7	0.004904644242222223
G81	G75	0.0048930581733333325
G86	G74	0.004891664936666666
G92	G13	0.004889863218888889
G83	G32	0.004879545758888889
G94	G80	0.004878189665555557
G76	G71	0.004873952597777778
G95	G50	0.004848054428888889
G99	G23	0.004828961657777778
G28	G18	0.004807815134444443
G52	G13	0.004805879533333334
G83	G13	0.0047958686055555545
G56	G28	0.004790879886666667
G25	G22	0.004775347534444445
G94	G71	0.004761306072222222
G73	G71	0.004754823577777778
G74	G37	0.0047334961744444435
G86	G70	0.00473115292
G37	G13	0.004728445863333333
G70	G28	0.004725956516666667
G42	G34	0.004711322458888889
G7	G100	0.00471000207
G28	G21	0.004708019134444443
G26	G13	0.0047038394766666675
G42	G100	0.004700376557777778
G40	G18	0.004695037286666665
G78	G56	0.004693153286666667
G74	G28	0.004688795834444444
G80	G39	0.004687642737777778
G86	G13	0.004676498217777778
G83	G17	0.004672573607777778
G97	G61	0.004665102404444445
G61	G56	0.004664367915555556
G84	G37	0.004654697896666666
G81	G51	0.0046472796633333325
G99	G81	0.004636701501111111
G67	G28	0.004636527321111111
G42	G27	0.004626349847777778
G68	G42	0.004624685666666667
G33	G13	0.004622344985555554
G43	G22	0.00461663873
G99	G92	0.00460884341
G77	G7	0.004594134158888889
G35	G18	0.004589826731111111
G56	G37	0.004583693732888889
G42	G24	0.004573587205555555
G22	G20	0.0045733254033333325
G76	G7	0.004536617521944446
G80	G75	0.0045362127533333345
G36	G13	0.004534365934444446
G7	G4	0.004529493411111111
G62	G42	0.0045248579644444455
G40	G37	0.004523708166666667
G9	G17	0.004523384884444444
G74	G27	0.004521633287777778
G94	G57	0.0045119054066666674
G74	G16	0.004498407765555555
G76	G48	0.004496779158888888
G86	G54	0.004496681076666668
G74	G13	0.0044860714711111105
G88	G81	0.004482573647777778
G79	G26	0.004477523358888889
G97	G94	0.004476986729999999
G70	G29	0.004471638224444446
G99	G36	0.00446817349
G79	G5	0.0044623576933333345
G39	G13	0.004460455837777778
G94	G22	0.004460005484444445
G96	G12	0.004459154897777777
G85	G70	0.004452092284444445
G23	G100	0.004451566653333332
G74	G64	0.004448483074444444
G98	G65	0.004448441524444445
G92	G65	0.004447047634444446
G81	G22	0.004445354551111111
G42	G25	0.004441242398888889
G74	G46	0.0044368706833333325
G70	G7	0.0044334306911111105
G56	G35	0.0044313128377777775
G76	G64	0.004430901905555554
G79	G71	0.004430191292222222
G64	G28	0.004428521278888889
G83	G67	0.004427791237777778
G76	G40	0.004418382617777778
G79	G65	0.0044098883266666675
G94	G92	0.004405772774444444
G94	G51	0.004402372611111111
G76	G51	0.004394145075555554
G79	G62	0.004393145443333333
G5	G37	0.004391175661111111
G62	G37	0.004389599761111112
G40	G15	0.004387093728888888
G67	G22	0.004386813538888889
G78	G75	0.0043779565677777785
G3	G1	0.004377600601111111
G72	G11	0.0043753394233333335
G59	G44	0.00437491143
G94	G64	0.004374444527777778
G64	G1	0.0043732810499999995
G81	G64	0.004371981768888889
G92	G70	0.004367905412222222
G64	G15	0.004365231324444443
G76	G62	0.004362877508888889
G92	G76	0.0043577041122222215
G76	G42	0.0043573693797777785
G74	G20	0.004354278864444445
G7	G6	0.004339097924444444
G74	G25	0.004330932804444445
G84	G18	0.0043300044566666656
G65	G63	0.004326211651111111
G22	G13	0.004313499488888889
G94	G37	0.004307576968888889
G99	G62	0.00430726603
G76	G52	0.004300927786666665
G40	G35	0.004297242683666667
G99	G55	0.004295071541111111
G75	G4	0.0042841790433333325
G79	G3	0.004273157151111111
G90	G71	0.004270789274444443
G92	G78	0.0042658489596666665
G76	G6	0.004258417007777778
G76	G4	0.004253801085555556
G98	G64	0.004253220136666665
G80	G40	0.004247030467777778
G83	G42	0.0042447350922222215
G59	G39	0.004237226749555555
G70	G24	0.004234233067777778
G7	G21	0.004233100840777778
G77	G61	0.004230999194444445
G42	G3	0.0042299028533333335
G84	G81	0.0042280365799999995
G82	G40	0.004226915135555555
G42	G1	0.0042225742555555565
G65	G26	0.004221915274444443
G73	G5	0.0042192265422222215
G18	G10	0.004209268711111111
G95	G42	0.004208626537777778
G67	G33	0.004195828158888889
G79	G75	0.00418870219
G36	G35	0.004187924311111111
G65	G40	0.004186027213333333
G75	G43	0.00418078851
G29	G17	0.0041782566566666655
G99	G87	0.0041762448944444456
G74	G59	0.0041704494088888894
G22	G17	0.004169266831111111
G97	G42	0.004158098707777778
G71	G52	0.004157747542044446
G3	G13	0.004156316838888888
G71	G13	0.004155549828888889
G71	G7	0.004151158405555556
G81	G10	0.004144602541777778
G57	G43	0.004140224437777778
G78	G39	0.0041392355722222225
G86	G1	0.004134786018555554
G71	G25	0.0041316935822222215
G79	G35	0.004131131848888889
G65	G56	0.004129801215555556
G90	G5	0.004128987467777777
G82	G71	0.004125403481111111
G76	G39	0.00412457852
G59	G18	0.004122617272222222
G18	G13	0.0041209313322222215
G22	G15	0.004117946332222222
G64	G53	0.004112909817777778
G62	G13	0.004107032304444445
G60	G52	0.004106909138888889
G8	G40	0.004105919372222222
G36	G10	0.004097999887777777
G76	G5	0.004097763334444443
G13	G100	0.0040961050122222216
G76	G70	0.004095837112222222
G94	G28	0.004095299832222223
G73	G62	0.004093245657777777
G34	G13	0.004089645071111111
G7	G67	0.0040851536044444435
G85	G52	0.0040845312133333325
G5	G13	0.004082490222222223
G51	G36	0.004080829168888888
G99	G37	0.004077153118555554
G42	G26	0.0040761812133333335
G60	G29	0.0040759406922222215
G84	G28	0.004075526882222222
G16	G13	0.0040733209244444455
G61	G57	0.0040705568444444435
G62	G35	0.004067613912555557
G36	G1	0.004064242422222222
G75	G5	0.004063927945555555
G79	G60	0.004063663994444444
G97	G91	0.004062635161111111
G77	G52	0.0040509886044444434
G9	G76	0.004050582866666667
G71	G6	0.004050094417777777
G40	G28	0.0040469701955555566
G56	G52	0.0040411344333333345
G35	G1	0.004038529543333333
G96	G22	0.004036987304444444
G55	G1	0.0040366650333333335
G77	G69	0.004035628471111111
G86	G35	0.004035438348888889
G9	G67	0.004026305915555555
G74	G68	0.0040249926166666655
G7	G36	0.004019294646666667
G7	G50	0.004014374218888889
G99	G66	0.004014217146666665
G90	G100	0.004008351725555556
G74	G71	0.004008093987777778
G86	G22	0.004007466094444446
G69	G22	0.004006993907777778
G96	G82	0.003997132315555554
G49	G20	0.003996163636666665
G7	G32	0.00399393942
G94	G10	0.003991701756666665
G30	G29	0.003989872344444445
G30	G28	0.0039878134244444455
G81	G36	0.003983924734444443
G72	G16	0.003979485683333333
G62	G43	0.003975005873222222
G80	G1	0.003972129483333333
G86	G4	0.003968745800666668
G73	G36	0.003967650939999999
G97	G9	0.003965608141111111
G60	G59	0.003964269734444446
G98	G69	0.0039638777122222215
G81	G40	0.003958685897111111
G78	G49	0.0039583113212222215
G96	G59	0.003957405505555556
G77	G76	0.003955000545555557
G86	G28	0.003952719096666667
G40	G25	0.003951664698888889
G95	G57	0.003950375579999999
G98	G54	0.0039488202511111115
G82	G5	0.003946134181111111
G94	G29	0.003943812523333333
G37	G24	0.003943295068888889
G70	G65	0.003941065103333333
G67	G64	0.003940602882222222
G97	G95	0.003939419658888888
G64	G18	0.00393763023
G33	G20	0.0039357359855555565
G67	G25	0.003934332791111111
G40	G33	0.003933557811111111
G28	G22	0.003933310874444445
G61	G4	0.003930383056666667
G97	G54	0.003927713735555555
G41	G13	0.003926342143333332
G62	G23	0.0039200625855555565
G96	G100	0.0039149401322222215
G94	G91	0.003914383427777778
G96	G4	0.00391400738
G55	G13	0.003910268176666665
G9	G81	0.003906312176666667
G8	G13	0.003904626474444444
G61	G40	0.003903588994444445
G75	G13	0.0039027256588888884
G86	G100	0.0038997079422222218
G94	G87	0.0038992643684444455
G70	G20	0.0038973810122222225
G72	G44	0.003894421693333333
G6	G40	0.003894143954111111
G75	G63	0.0038940467677777775
G81	G4	0.003891355192222222
G81	G31	0.0038911273444444438
G5	G3	0.003890456861888889
G71	G22	0.003886055871111111
G69	G63	0.00388452151
G76	G57	0.003884089201111111
G59	G56	0.0038832888811111115
G70	G57	0.003876372118888889
G40	G27	0.0038763664444444452
G84	G16	0.003874807423333333
G74	G38	0.0038701794277777772
G8	G63	0.0038675320255555545
G75	G56	0.0038675216940000003
G79	G13	0.003867335327777778
G57	G20	0.003865520202222223
G86	G56	0.0038653225284444453
G60	G26	0.0038618547277777773
G76	G21	0.00386149299
G39	G37	0.003861243456
G54	G4	0.0038585908200000005
G35	G13	0.0038574470133333335
G73	G63	0.003851156241111111
G17	G10	0.0038483818344444455
G85	G82	0.003845569211111111
G98	G70	0.003844287058888889
G81	G3	0.003843309348888889
G23	G1	0.003842751728888889
G56	G20	0.003842550211111111
G67	G46	0.0038416509933333343
G69	G39	0.003839445148
G85	G39	0.0038390337733333335
G77	G54	0.003838805581111111
G92	G73	0.0038380214555555564
G81	G30	0.0038379723193333326
G49	G42	0.00383655083
G81	G60	0.0038344722077777774
G98	G31	0.00383092239
G94	G18	0.0038284382822222217
G6	G15	0.003827335590000001
G7	G39	0.003827235838888889
G7	G1	0.003826107733333333
G90	G56	0.00382101611
G82	G81	0.0038205419411111116
G81	G74	0.003819184123333333
G55	G33	0.003816637974444444
G49	G18	0.0038165427626666673
G95	G13	0.00380980815
G42	G16	0.0038075293355555565
G65	G4	0.003805994278888889
G59	G43	0.0038048727622222228
G31	G100	0.003804831937777777
G99	G26	0.003802039578888889
G92	G43	0.0037996309806666655
G52	G15	0.0037977589766666655
G94	G12	0.0037925059555555564
G54	G30	0.0037921185022222227
G59	G15	0.0037907835555555545
G63	G37	0.0037854783
G52	G22	0.0037828107644444437
G3	G14	0.0037824058277777773
G74	G33	0.003778047904444444
G84	G46	0.0037777571822222218
G94	G48	0.0037766708944444454
G50	G25	0.00377634785
G87	G79	0.003772741637777778
G7	G64	0.003769274561111111
G78	G12	0.003765686175111111
G73	G59	0.0037649375244444452
G5	G28	0.003763749473333333
G74	G73	0.003758505824888889
G96	G76	0.003758313943333333
G5	G35	0.003757288328888889
G76	G15	0.003757159573888889
G42	G36	0.0037569385438888893
G96	G64	0.0037556535333333326
G54	G24	0.003755396031111111
G62	G20	0.003750111444444445
G40	G39	0.003749812711111111
G81	G42	0.0037492852044444455
G9	G78	0.003744433519333333
G9	G44	0.003744106914111111
G94	G61	0.0037431560433333327
G85	G55	0.0037429449633333335
G77	G16	0.003742226778888889
G96	G35	0.0037382247811111107
G80	G56	0.0037381239022222217
G74	G3	0.003735311485555555
G57	G17	0.003733638183333333
G91	G36	0.003732829273333333
G27	G18	0.0037288734844444452
G70	G26	0.003728858113333333
G2	G12	0.0037275416755555564
G71	G39	0.003727502553333333
G6	G52	0.003726337604444444
G59	G42	0.003725692648888889
G70	G1	0.0037224987311111108
G22	G18	0.0037218223977777782
G75	G20	0.0037212048299999994
G73	G48	0.0037156236411111107
G62	G30	0.0037106248744444453
G48	G20	0.0037095188166666663
G96	G48	0.003706074907777777
G7	G57	0.003704992274777778
G62	G100	0.0037044134377777773
G91	G75	0.0036979620045555564
G72	G13	0.00369781797
G92	G42	0.0036973769822222224
G42	G12	0.0036965472755555564
G79	G12	0.003696078052222223
G72	G57	0.00369604472
G59	G3	0.0036940667677777773
G59	G40	0.0036921997177777775
G80	G74	0.003689677645888889
G6	G3	0.003688859158888889
G60	G10	0.0036885222522222228
G64	G12	0.0036851716100000003
G53	G20	0.003683673868888889
G44	G42	0.0036816562755555564
G100	G10	0.0036780034411111107
G81	G54	0.003674220618888889
G18	G15	0.003674006137777778
G92	G25	0.0036688046455555564
G70	G64	0.0036686990455555564
G70	G63	0.003668092438888889
G48	G42	0.0036671903522222217
G82	G43	0.0036663875993333335
G96	G6	0.0036659482466666654
G25	G13	0.0036652029033333337
G96	G92	0.003663935162777778
G99	G63	0.0036637551072222227
G65	G36	0.0036636010933333335
G73	G52	0.003662158658888889
G47	G35	0.003660656169333333
G66	G42	0.003657378795111111
G7	G59	0.0036549453322222217
G63	G51	0.003652072821111111
G80	G62	0.003650877064777777
G61	G42	0.0036506673799999996
G43	G13	0.0036496996766666656
