,LRP,source_gene,target_gene
1,0.0008333494,G2,G1
2,0.007685654,G3,G1
3,0.0038118598,G4,G1
4,0.003819237,G5,G1
5,0.0011491529,G6,G1
6,0.0009975266,G7,G1
7,0.005716956,G8,G1
8,0.0023681463,G9,G1
9,0.0031966432,G10,G1
10,0.0030715745,G11,G1
11,0.0017212998,G12,G1
12,0.0010032132,G13,G1
13,0.0020551393,G14,G1
14,0.002874664,G15,G1
15,0.0030344874,G16,G1
16,0.0024812303,G17,G1
17,0.0023140311,G18,G1
18,0.002173962,G19,G1
19,0.003975793,G20,G1
20,0.0035963296,G21,G1
21,0.0014328242,G22,G1
22,0.003777663,G23,G1
23,0.0017321849,G24,G1
24,0.0010777587,G25,G1
25,0.00351694,G26,G1
26,0.0010450514,G27,G1
27,0.0032641562,G28,G1
28,0.0003128014,G29,G1
29,0.0031928604,G30,G1
30,0.0033400375,G31,G1
31,0.001186054,G32,G1
32,0.0006043053,G33,G1
33,0.0005425082,G34,G1
34,0.0038707347,G35,G1
35,0.0048390646,G36,G1
36,0.0024184415,G37,G1
37,0.00064262794,G38,G1
38,0.0013625069,G39,G1
39,0.002433842,G40,G1
40,0.0034075049,G41,G1
41,0.004700945,G42,G1
42,0.0017448415,G43,G1
43,0.0027672383,G44,G1
44,0.0016629301,G45,G1
45,0.003258299,G46,G1
46,0.0020971945,G47,G1
47,0.0042682183,G48,G1
48,0.0019830428,G49,G1
49,0.003140511,G50,G1
50,0.002640138,G51,G1
51,0.0036313133,G52,G1
52,0.000597336,G53,G1
53,0.003442401,G54,G1
54,0.0054720156,G55,G1
55,0.0016754991,G56,G1
56,0.003024332,G57,G1
57,0.001267288,G58,G1
58,0.0006078492,G59,G1
59,0.0016302165,G60,G1
60,0.0020129213,G61,G1
61,0.0032311599,G62,G1
62,0.0021025613,G63,G1
63,0.004121202,G64,G1
64,0.0023591171,G65,G1
65,0.0019747466,G66,G1
66,0.0010856987,G67,G1
67,0.0022970156,G68,G1
68,0.0046269326,G69,G1
69,0.0023043528,G70,G1
70,0.0017882899,G71,G1
71,0.0011020431,G72,G1
72,0.0009881437,G73,G1
73,0.00095197564,G74,G1
74,0.0038950634,G75,G1
75,0.0034223716,G76,G1
76,0.0015900976,G77,G1
77,0.00664307,G78,G1
78,0.0035185134,G79,G1
79,0.003682039,G80,G1
80,0.0047743535,G81,G1
81,0.001665968,G82,G1
82,0.0033175293,G83,G1
83,0.00066156295,G84,G1
84,0.0015832545,G85,G1
85,0.006018212,G86,G1
86,0.0017739976,G87,G1
87,0.0011431894,G88,G1
88,0.0007015952,G89,G1
89,0.0017086063,G90,G1
90,0.004685822,G91,G1
91,0.002042299,G92,G1
92,0.003425039,G93,G1
93,0.0029258179,G94,G1
94,0.0012144214,G95,G1
95,0.004869351,G96,G1
96,0.0012795461,G97,G1
97,0.0020700558,G98,G1
98,0.0018210213,G99,G1
99,0.0024057445,G100,G1
102,0.004115067,G3,G2
103,0.0036580823,G4,G2
104,0.003603356,G5,G2
105,0.0036964198,G6,G2
106,0.0012270738,G7,G2
107,0.0029645262,G8,G2
108,0.0018505905,G9,G2
119,0.0018630291,G20,G2
120,0.0031049005,G21,G2
121,0.0016832959,G22,G2
122,0.0016428584,G23,G2
123,0.00018071933,G24,G2
124,0.0011070878,G25,G2
125,0.0017832001,G26,G2
126,0.002130798,G27,G2
127,0.0032878246,G28,G2
128,0.0020465332,G29,G2
129,0.0014421784,G30,G2
130,0.0015478267,G31,G2
131,0.0014468404,G32,G2
132,0.0025633355,G33,G2
133,0.00088540063,G34,G2
134,0.0014030866,G35,G2
135,0.0006291491,G36,G2
136,0.003337184,G37,G2
137,0.0011475871,G38,G2
138,0.00111381,G39,G2
139,0.004777665,G40,G2
140,0.0022391265,G41,G2
141,0.0007612806,G42,G2
142,0.002813001,G43,G2
143,0.0028853314,G44,G2
144,0.0018021329,G45,G2
145,0.0018614326,G46,G2
146,0.0021821898,G47,G2
147,0.0028450002,G48,G2
148,0.0023685093,G49,G2
149,0.0017578262,G50,G2
150,0.0008186224,G51,G2
151,0.0020052865,G52,G2
152,0.00025892776,G53,G2
153,0.0005271136,G54,G2
154,0.0031446225,G55,G2
155,0.0008883704,G56,G2
156,0.0010732615,G57,G2
157,0.0017572381,G58,G2
158,0.003267764,G59,G2
159,0.0019773347,G60,G2
160,0.0010373866,G61,G2
161,0.0013196112,G62,G2
162,0.0017303632,G63,G2
163,0.003272988,G64,G2
164,0.002268549,G65,G2
165,0.0016483243,G66,G2
166,0.0008788054,G67,G2
167,0.0009776647,G68,G2
168,0.0028834925,G69,G2
169,0.00061621144,G70,G2
170,0.0020267759,G71,G2
171,0.0052404217,G72,G2
172,0.0013207245,G73,G2
173,0.004990667,G74,G2
174,0.0017311218,G75,G2
175,0.003121254,G76,G2
176,0.0014029494,G77,G2
177,0.0013381073,G78,G2
178,0.00044988713,G79,G2
179,0.0017263531,G80,G2
180,0.0020911938,G81,G2
181,0.0030088732,G82,G2
182,0.0022981628,G83,G2
183,0.0020114803,G84,G2
184,0.0032753337,G85,G2
185,0.0014279748,G86,G2
186,0.00067152584,G87,G2
187,0.0005621248,G88,G2
