Gene1,Gene2,EdgeWeight
G10,G1,0.0024608265415555558
G100,G1,0.0019057347588888887
G100,G10,0.003678003441111111
G11,G1,0.00312858809
G11,G10,0.0034537722066666663
G11,G100,0.001485359
G12,G1,0.0021803185817333335
G12,G10,0.0027012694106666665
G12,G100,0.0021577134941111113
G12,G11,0.001367123469
G13,G1,0.0015772628242222222
G13,G10,0.00247239363
G13,G100,0.004096105012222222
G13,G11,0.0016738929054444444
G13,G12,0.0012997242491111112
G14,G1,0.001970645388444444
G14,G10,0.0026026748784444445
G14,G100,0.002439322992777778
G14,G11,0.0013360761331111112
G14,G12,0.0014551249803333333
G14,G13,0.0012048915653333333
G15,G1,0.0016845152732222223
G15,G10,0.0011531395210666667
G15,G100,0.002910903877666666
G15,G11,0.0016951222422222224
G15,G12,0.0017146358998888888
G15,G13,0.0030708595035555558
G15,G14,0.0017906984016666668
G16,G1,0.0015564370772222222
G16,G10,0.0020324751762222223
G16,G100,0.001740319781188889
G16,G11,0.0012980290761666667
G16,G12,0.001787169677
G16,G13,0.004073320924444445
G16,G14,0.0011914685952222222
G16,G15,0.002652795987111111
G17,G1,0.0030957272182222224
G17,G10,0.0038483818344444446
G17,G100,0.0017720399286666666
G17,G11,0.0013397902707777778
G17,G12,0.0033327511488888887
G17,G13,0.0032813123877777775
G17,G14,0.001436302078777778
G17,G15,0.0016980098095555557
G17,G16,0.0031079067966666664
G18,G1,0.0028015256333333333
G18,G10,0.004209268711111111
G18,G100,0.0030811649676333332
G18,G11,0.002490683152888889
G18,G12,0.001749546329177778
G18,G13,0.004120931332222222
G18,G14,0.0036303532555555557
G18,G15,0.003674006137777778
G18,G16,0.0017219518426666667
G18,G17,0.0030103270999999997
G19,G1,0.0023808960506666666
G19,G10,0.0017181497953333335
G19,G100,0.003265665748888889
G19,G11,0.0016668964881111112
G19,G12,0.0016897305362
G19,G13,0.0029535179194444447
G19,G14,0.001821896375111111
G19,G15,0.0024369378054444443
G19,G16,0.0016701003495555554
G19,G17,0.0016922867355555556
G19,G18,0.002765231427777778
G2,G1,0.0022147353594444445
G2,G10,0.001896600735
G2,G100,0.002328426566
G2,G11,0.001532940081222222
G2,G12,0.0037275416755555555
G2,G13,0.0029364199422222226
G2,G14,0.001554451527388889
G2,G15,0.0013306583695111111
G2,G16,0.002249263200222222
G2,G17,0.001693958133111111
G2,G18,0.0018847396591111113
G2,G19,0.0012289608235555554
G20,G1,0.002880291906
G20,G10,0.0014266715685222222
G20,G100,0.004913000622222222
G20,G11,0.0011356732286444443
G20,G12,0.0035322122793333332
G20,G13,0.001843302262222222
G20,G14,0.0011444756237777777
G20,G15,0.002417621421888889
G20,G16,0.0017502645481111113
G20,G17,0.00338880734
G20,G18,0.0035702767333333336
G20,G19,0.001525633295777778
G20,G2,0.0012756991936333333
G21,G1,0.0029356870149999997
G21,G10,0.0011155253186666666
G21,G100,0.002197265211111111
G21,G11,0.0012280148993333334
G21,G12,0.001936071087722222
G21,G13,0.0018095954209999998
G21,G14,0.0008247935017888889
G21,G15,0.0023288608577777775
G21,G16,0.0018899691246666668
G21,G17,0.0018836846077777778
G21,G18,0.002422583825888889
G21,G19,0.0024329476964444446
G21,G2,0.002404214944
G21,G20,0.002413259374555556
G22,G1,0.0028107604070000004
G22,G10,0.0032445536254444443
G22,G100,0.0014130998090000001
G22,G11,0.003495981282222222
G22,G12,0.0026889347784444444
G22,G13,0.004313499488888889
G22,G14,0.003183202121111111
G22,G15,0.004117946332222222
G22,G16,0.00254109114
G22,G17,0.004169266831111111
G22,G18,0.003721822397777778
G22,G19,0.0015429075336666665
G22,G2,0.002159337238888889
G22,G20,0.004573325403333333
G22,G21,0.00286827241
G23,G1,0.003842751728888889
G23,G10,0.002160017974111111
G23,G100,0.004451566653333333
G23,G11,0.001049138930111111
G23,G12,0.0017761430076666668
G23,G13,0.0026703706946666667
G23,G14,0.002007537995111111
G23,G15,0.0009649961801111111
G23,G16,0.001328619194
G23,G17,0.0023522260144444446
G23,G18,0.0022125245684444447
G23,G19,0.0018928277033333333
G23,G2,0.0014841779936666667
G23,G20,0.0033278064688888886
G23,G21,0.0013743850114444445
G23,G22,0.0033933849077777776
G24,G1,0.0017824836907777777
G24,G10,0.0019304837685555553
G24,G100,0.0020281799127777776
G24,G11,0.0016617425642222222
G24,G12,0.0018459307073333331
G24,G13,0.003588903908888889
G24,G14,0.0021041313073333332
G24,G15,0.0019235682433333334
G24,G16,0.0020337624487222223
G24,G17,0.00117668807
G24,G18,0.0015410984384444442
G24,G19,0.0016671396606666665
G24,G2,0.0011799277744444444
G24,G20,0.0016708000238888888
G24,G21,0.0025028206322222223
G24,G22,0.002129297898777778
G24,G23,0.0024121593422222224
G25,G1,0.0016082388933333334
G25,G10,0.0021047991839999998
G25,G100,0.002572265036
G25,G11,0.0015968491565555554
G25,G12,0.0011859428586666666
G25,G13,0.0036652029033333337
G25,G14,0.0010719369152222223
G25,G15,0.0016822305124444446
G25,G16,0.0018900240403333334
G25,G17,0.002273251384111111
G25,G18,0.00345077033
G25,G19,0.0020347969582222222
G25,G2,0.0019807942175555557
G25,G20,0.0031986416455555555
G25,G21,0.0016306053052222223
G25,G22,0.0047753475344444445
G25,G23,0.0026994016543333333
G25,G24,0.0023825993544444447
G26,G1,0.003378132888888889
G26,G10,0.0018946235537777778
G26,G100,0.005204972441111111
G26,G11,0.0023986761507777776
G26,G12,0.0027622189838888886
G26,G13,0.004703839476666667
G26,G14,0.003038419817777778
G26,G15,0.0028575655088888888
G26,G16,0.001995940132222222
G26,G17,0.0023217132422777777
G26,G18,0.0030423564240000004
G26,G19,0.002377791562
G26,G2,0.0015777802384444443
G26,G20,0.002035508500777778
G26,G21,0.0023234262743333334
G26,G22,0.002464587132711111
G26,G23,0.002029156176222222
G26,G24,0.0017827675014444445
G26,G25,0.0033868688444444444
G27,G1,0.0013357018047777777
G27,G10,0.002658142317777778
G27,G100,0.003273871022222222
G27,G11,0.002389369309222222
G27,G12,0.0018190663274444444
G27,G13,0.0036134536311111113
G27,G14,0.0020413520768888887
G27,G15,0.0024081129306666666
G27,G16,0.0017940870345555554
G27,G17,0.0018514864651111111
G27,G18,0.0037288734844444444
G27,G19,0.0009155592086999999
G27,G2,0.0019429362281111113
G27,G20,0.001229982333111111
G27,G21,0.0013491025254444445
G27,G22,0.001615526953
G27,G23,0.0034290206539999996
G27,G24,0.0017128469133333333
G27,G25,0.0026035600529999998
G27,G26,0.0022366423324444444
G28,G1,0.0027515458805555558
G28,G10,0.003498825338888889
G28,G100,0.002357519958777778
G28,G11,0.002164527111777778
G28,G12,0.003217207591111111
G28,G13,0.006224602336666666
G28,G14,0.002109485862
G28,G15,0.002441612688
G28,G16,0.0018287127904444444
G28,G17,0.0034835922022222227
G28,G18,0.004807815134444444
G28,G19,0.00202298981
G28,G2,0.0031672480670000003
G28,G20,0.002018417335222222
G28,G21,0.004708019134444444
G28,G22,0.0039333108744444446
G28,G23,0.003412023971111111
G28,G24,0.0018064881355555557
G28,G25,0.003563757486666667
G28,G26,0.0020499010572222224
G28,G27,0.002432001289222222
G29,G1,0.0010381926072222222
G29,G10,0.0021859197068888887
G29,G100,0.0012835791598888888
G29,G11,0.0014616013907777778
G29,G12,0.002269506885888889
G29,G13,0.0014549284571444446
G29,G14,0.0009385347442222222
G29,G15,0.001619892052
G29,G16,0.003532531266222222
G29,G17,0.004178256656666666
G29,G18,0.002526192519888889
G29,G19,0.0018482252616666666
G29,G2,0.00319116637
G29,G20,0.002988829401555556
G29,G21,0.001702381945722222
G29,G22,0.002863856481111111
G29,G23,0.0030719678677777777
G29,G24,0.003315537777777778
G29,G25,0.0019546726645555557
G29,G26,0.0021089272642222223
G29,G27,0.002424498108111111
G29,G28,0.0026437119453333333
G3,G1,0.004377600601111111
G3,G10,0.003073695062888889
G3,G100,0.0034448282927777778
G3,G11,0.0031844033696666668
G3,G12,0.0032726044211111114
G3,G13,0.004156316838888888
G3,G14,0.0037824058277777777
G3,G15,0.0030404224122222226
G3,G16,0.002724703507111111
G3,G17,0.002518669364444444
G3,G18,0.004905153235555556
G3,G19,0.0022262040183333334
G3,G2,0.0034843105055555558
G3,G20,0.0015851729945555557
G3,G21,0.0024834141688888887
G3,G22,0.0024304283596666668
G3,G23,0.001405773459
G3,G24,0.0014160858454444444
G3,G25,0.0031366181170000003
G3,G26,0.0025375772264444444
G3,G27,0.002452772265333333
G3,G28,0.0029468031544444447
G3,G29,0.0023589205933333334
G30,G1,0.003005476728888889
G30,G10,0.0019114601218888888
G30,G100,0.0034624584908888893
G30,G11,0.001778041735888889
G30,G12,0.0026179395866666668
G30,G13,0.002310618100111111
G30,G14,0.0009971356363333334
G30,G15,0.0015288421998888887
G30,G16,0.001872868505
G30,G17,0.001826024136
G30,G18,0.002988677468888889
G30,G19,0.001272225989111111
G30,G2,0.0015359993412777779
G30,G20,0.0020019718217777777
G30,G21,0.0014033473073333334
G30,G22,0.002929212804777778
G30,G23,0.0017463695486666668
G30,G24,0.002400782046333333
G30,G25,0.0033041762966666667
G30,G26,0.002657962931111111
G30,G27,0.00290287282
G30,G28,0.003987813424444445
G30,G29,0.0039898723444444445
G30,G3,0.0028247363955555553
G31,G1,0.0029693692022222224
G31,G10,0.001879332379
G31,G100,0.0038048319377777776
G31,G11,0.0028616447965
G31,G12,0.0020538811308444447
G31,G13,0.0011798183092222223
G31,G14,0.0007341471465444444
G31,G15,0.0028360928477777774
G31,G16,0.0024147089642222223
G31,G17,0.0017532898411111112
G31,G18,0.0027560521688888887
G31,G19,0.0018514440911111111
G31,G2,0.0010586469589444446
G31,G20,0.0020158913206666665
G31,G21,0.0026177190137777777
G31,G22,0.002649431376222222
G31,G23,0.0017218691634444444
G31,G24,0.001890571473588889
G31,G25,0.0032303904844444447
G31,G26,0.0017093877584444445
G31,G27,0.0012397354546666666
G31,G28,0.0029597153763333333
G31,G29,0.0034214908055555555
G31,G3,0.00222283904
G31,G30,0.0023342735822222222
G32,G1,0.0015060304756
G32,G10,0.003257812515555556
G32,G100,0.0017032325855555555
G32,G11,0.0018950528634444446
G32,G12,0.0013589466505555556
G32,G13,0.002122385234777778
G32,G14,0.0010732035501111112
G32,G15,0.0023689531671111114
G32,G16,0.001895459053777778
G32,G17,0.0017418088991111112
G32,G18,0.0027042101794444444
G32,G19,0.0015509285218888887
G32,G2,0.001946171810888889
G32,G20,0.0026521701544444443
G32,G21,0.0007980986385555556
G32,G22,0.0031229523655555555
G32,G23,0.0010560907027777778
G32,G24,0.0022912779022222223
G32,G25,0.0025050203277777777
G32,G26,0.002362307422222222
G32,G27,0.0026884272926666667
G32,G28,0.0032164558299999997
G32,G29,0.0033560444200000004
G32,G3,0.002036237514111111
G32,G30,0.0017690489112111112
G32,G31,0.0014870377026666665
G33,G1,0.0013231986857777777
G33,G10,0.00234630727
G33,G100,0.002109451449388889
G33,G11,0.001385806028
G33,G12,0.0020395511754444443
G33,G13,0.004622344985555555
G33,G14,0.0024617114945555555
G33,G15,0.003207111178888889
G33,G16,0.0027090248960000003
G33,G17,0.0027557622885555555
G33,G18,0.0034524209755555555
G33,G19,0.0028715171099999996
G33,G2,0.001946064770777778
G33,G20,0.003935735985555556
G33,G21,0.002741453147777778
G33,G22,0.0019241226421111111
G33,G23,0.0023269815130000002
G33,G24,0.002018796042222222
G33,G25,0.0028036850177777777
G33,G26,0.002905350028
G33,G27,0.0013700053788222222
G33,G28,0.002128273318
G33,G29,0.0022220065914444445
G33,G3,0.0017322615473333333
G33,G30,0.0016780970728888889
G33,G31,0.0016237894084444445
G33,G32,0.00218489338
G34,G1,0.0017775851185555555
G34,G10,0.002046018861666667
G34,G100,0.0018915230961111112
G34,G11,0.0012437024894444446
G34,G12,0.0018481371487777778
G34,G13,0.004089645071111111
G34,G14,0.0025251740633333336
G34,G15,0.0013495819625555555
G34,G16,0.001266046822
G34,G17,0.0021453715106666666
G34,G18,0.0025399917166666667
G34,G19,0.0017371561516666668
G34,G2,0.0012109050385555556
G34,G20,0.0020064379730000003
G34,G21,0.002229056678
G34,G22,0.002355024733333333
G34,G23,0.0023233384987777776
G34,G24,0.0016697408228888888
G34,G25,0.0026213842355555556
G34,G26,0.0022518867703333334
G34,G27,0.001668392232
G34,G28,0.0025241780041111114
G34,G29,0.002889578641777778
G34,G3,0.002357493879
G34,G30,0.0023881569144444444
G34,G31,0.001840225989
G34,G32,0.0020012431555555556
G34,G33,0.0026904742373333335
G35,G1,0.004038529543333333
G35,G10,0.0030513196672222226
G35,G100,0.0020306645972222224
G35,G11,0.001915159213
G35,G12,0.0016209960994444444
G35,G13,0.0038574470133333335
G35,G14,0.0031667247276666666
G35,G15,0.0029745655843333337
G35,G16,0.002432119446888889
G35,G17,0.0011209160757777777
G35,G18,0.004589826731111111
G35,G19,0.0014118918895555555
G35,G2,0.002681574089888889
G35,G20,0.0024632400424444444
G35,G21,0.002869394486111111
G35,G22,0.0023454038151111112
G35,G23,0.0029034259977777778
G35,G24,0.0024229257238888888
G35,G25,0.0029741241677777776
G35,G26,0.0023033224718222224
G35,G27,0.0017919581176
G35,G28,0.0035357989504444447
G35,G29,0.0015984217499999999
G35,G3,0.003276264658888889
G35,G30,0.00286194955
G35,G31,0.0018920883715555555
G35,G32,0.0019092449603333333
G35,G33,0.002519578639833333
G35,G34,0.0028446731449999997
G36,G1,0.004064242422222222
G36,G10,0.004097999887777777
G36,G100,0.002411859984888889
G36,G11,0.002156722392333333
G36,G12,0.002029362391
G36,G13,0.004534365934444445
G36,G14,0.003543872493888889
G36,G15,0.002271714815333333
G36,G16,0.0021615423775555556
G36,G17,0.003561568537777778
G36,G18,0.002520477746888889
G36,G19,0.002559081727777778
G36,G2,0.0011063417850000002
G36,G20,0.0028011334976666665
G36,G21,0.001970922344888889
G36,G22,0.0021886435176666666
G36,G23,0.002272261912888889
G36,G24,0.002413578183888889
G36,G25,0.0020210655126666668
G36,G26,0.002092854844666667
G36,G27,0.0033248324577777777
G36,G28,0.0034877843944444444
G36,G29,0.0024904373423333334
G36,G3,0.0019724805614444447
G36,G30,0.0019406244374444443
G36,G31,0.0013496423466666666
G36,G32,0.0019355800844444444
G36,G33,0.002420478069111111
G36,G34,0.002174239501333333
G36,G35,0.004187924311111111
G37,G1,0.0029958900164444445
G37,G10,0.0018646920607777778
G37,G100,0.0034932229551111115
G37,G11,0.0020046345103333337
G37,G12,0.0015539050055555555
G37,G13,0.004728445863333333
G37,G14,0.0024825139625555552
G37,G15,0.002364612840666667
G37,G16,0.0023135834089444444
G37,G17,0.0012746364001111111
G37,G18,0.00324370065
G37,G19,0.001464144823111111
G37,G2,0.0028591830566666665
G37,G20,0.0015816390305555554
G37,G21,0.0020707862064444442
G37,G22,0.0022643599035555555
G37,G23,0.002327025622888889
G37,G24,0.003943295068888889
G37,G25,0.0020543281385555557
G37,G26,0.002804705697
G37,G27,0.0019220054523333332
G37,G28,0.0031364879328888893
G37,G29,0.003110834922222222
G37,G3,0.0029695069633333335
G37,G30,0.0025658593187555556
G37,G31,0.0017367527852222221
G37,G32,0.0017032291867777778
G37,G33,0.0029002279563333333
G37,G34,0.0028557553118888886
G37,G35,0.002189189945333333
G37,G36,0.003211895875111111
G38,G1,0.001394439991888889
G38,G10,0.0021167596845555556
G38,G100,0.0031061457300000004
G38,G11,0.0012745220125555555
G38,G12,0.001927233727222222
G38,G13,0.0031412514671111114
G38,G14,0.0019846381394444446
G38,G15,0.0018860173928222223
G38,G16,0.0018447474722222221
G38,G17,0.0013974602815555555
G38,G18,0.0012688238812666667
G38,G19,0.002193212962111111
G38,G2,0.001717889984
G38,G20,0.0014855234603333332
G38,G21,0.0026194048744444445
G38,G22,0.001880168451
G38,G23,0.0021302664225555557
G38,G24,0.0022308686353333333
G38,G25,0.0017352662861111112
G38,G26,0.0019917416708888887
G38,G27,0.001018589101911111
G38,G28,0.0017095313423333331
G38,G29,0.001511587378111111
G38,G3,0.0021898407106666668
G38,G30,0.0021081830525555554
G38,G31,0.0023662254005555558
G38,G32,0.0027102084255555556
G38,G33,0.0026105656644444444
G38,G34,0.0017378635538888888
G38,G35,0.002048445300222222
G38,G36,0.002854199267222222
G38,G37,0.001683325472
G39,G1,0.002154571280111111
G39,G10,0.0014397584038888889
G39,G100,0.0026512613394444446
