Gene1	Gene2	EdgeWeight
DHH	FGF9	0.010538917966187
DKK1	DMRT1	0.0105205532163381
DHH	PGD2	0.010519977658986998
PGD2	SOX9	0.0105180712416768
FGF9	SOX9	0.0105137480422854
DMRT1	SOX9	0.0104952873662114
SRY	DKK1	0.0104868607595562
DHH	SOX9	0.0104867285117506
PGD2	AMH	0.0104772187769413
WT1pKTS	SRY	0.0104747712612152
FOXL2	CTNNB1	0.0104702226817607
RSPO1	WNT4	0.0104694636538624
CTNNB1	WNT4	0.0104669518768787
DMRT1	DKK1	0.0104624256491661
NR0B1	WNT4	0.0104601299390196
DKK1	SOX9	0.0104567781090736
DKK1	SRY	0.0104503529146313
SRY	PGD2	0.0104500139132142
WNT4	RSPO1	0.0104482006281614
FGF9	PGD2	0.0104466611519455
DMRT1	DHH	0.0104455342516303
FGF9	AMH	0.0104439780116081
PGD2	DHH	0.010443115606904
RSPO1	NR0B1	0.0104372790083289
AMH	SOX9	0.0104341888800263
DKK1	WT1pKTS	0.0104315066710114
PGD2	FGF9	0.0104291001334786
CTNNB1	NR0B1	0.0104249650612473
CBX2	NR5A1	0.0104209426790475
DHH	NR5A1	0.0104181347414851
WNT4	NR0B1	0.0104178180918097
FOXL2	WNT4	0.0104176644235849
NR5A1	AMH	0.010415319353341999
DMRT1	WT1pKTS	0.0104116518050432
FGF9	DMRT1	0.0104083428159356
SRY	WT1pKTS	0.0104079702869057
AMH	DKK1	0.0104068107903003
CTNNB1	FOXL2	0.010406594723463001
DKK1	DHH	0.0104050496593117
SOX9	SRY	0.0104030175134539
SRY	DMRT1	0.0104027399793267
WT1pKTS	PGD2	0.0103993760421872
PGD2	NR5A1	0.0103992605581879
PGD2	DKK1	0.0103971632197499
AMH	SRY	0.010394724085927001
DHH	SRY	0.0103944614529609
DHH	AMH	0.0103940889239311
NR0B1	CTNNB1	0.0103926388546824
RSPO1	CTNNB1	0.0103916926309466
SRY	DHH	0.0103891333565115
SOX9	DMRT1	0.0103880818933248
SOX9	WT1pKTS	0.0103880204260349
FGF9	SRY	0.010387061163783
RSPO1	FOXL2	0.0103849722072482
FGF9	DKK1	0.0103827873244881
SOX9	FGF9	0.0103820534422993
AMH	NR5A1	0.0103781446814537
DMRT1	FGF9	0.0103777656331658
DKK1	PGD2	0.0103758638724684
AMH	DHH	0.0103734275326132
AMH	FGF9	0.0103715462610125
WT1pKTS	AMH	0.0103714847937226
SOX9	PGD2	0.0103712677955627
DMRT1	AMH	0.0103712473064661
NR0B1	RSPO1	0.0103659546002745
DKK1	FGF9	0.0103656686842441
NR0B1	FOXL2	0.0103648276999592
WT1pKTS	NR5A1	0.0103645781055092
WNT4	FOXL2	0.0103642456233501
SOX9	AMH	0.0103621566668152
CTNNB1	RSPO1	0.0103604570031166
FGF9	NR5A1	0.0103577654808759
WT1pKTS	DMRT1	0.0103552341461181
DHH	DMRT1	0.0103552192449569
NR5A1	SOX9	0.0103534795343875
UGR	NR5A1	0.0103533780202269
AMH	PGD2	0.0103509444743394
DMRT1	NR5A1	0.0103490287438035
FGF9	DHH	0.0103484913706779
WT1pKTS	CBX2	0.0103468634188175
WT1pKTS	DKK1	0.0103463670238852
DMRT1	SRY	0.0103390635922551
NR5A1	DHH	0.0103383529931306
WNT4	CTNNB1	0.0103338900953531
SRY	SOX9	0.0103321857750415
WT1pKTS	DHH	0.0103321010246872
NR5A1	DMRT1	0.0103309573605656
SOX9	DHH	0.0103285545483231
PGD2	SRY	0.010326312854886
FOXL2	RSPO1	0.0103242825716733
NR5A1	PGD2	0.0103236138820648
SOX9	DKK1	0.0103235142305493
FGF9	WT1mKTS	0.0103221945464611
AMH	DMRT1	0.0103200692683458
WT1mKTS	WT1pKTS	0.0103169502690434
PGD2	DMRT1	0.0103156212717294
DHH	DKK1	0.010314468294382
WT1mKTS	PGD2	0.0103137958794832
NR5A1	WT1pKTS	0.0103117367252707
DHH	WT1mKTS	0.0103077385574579
WT1mKTS	NR5A1	0.0103056468069553
WT1pKTS	GATA4	0.0103048477321863
CBX2	UGR	0.0103040840476751
WT1mKTS	WNT4	0.0103035755455493
SRY	FGF9	0.0102993389591574
SOX9	NR5A1	0.0102989207953214
SRY	WT1mKTS	0.0102985575795173
DKK1	NR5A1	0.0102972760796546
FGF9	WT1pKTS	0.010294341482222
WT1mKTS	SRY	0.0102924145758152
NR5A1	UGR	0.0102875577285885
DKK1	GATA4	0.0102866003289818
DKK1	AMH	0.0102842645719647
AMH	GATA4	0.0102842235937714
UGR	GATA4	0.0102836638689041
WNT4	GATA4	0.0102811697870492
DMRT1	PGD2	0.0102801285684108
NR5A1	DKK1	0.010276997461915
GATA4	CBX2	0.0102766882628202
GATA4	WT1mKTS	0.010274950414896
NR5A1	FGF9	0.010274558328092
SRY	NR5A1	0.0102734984830021
DMRT1	GATA4	0.0102728921920061
SRY	AMH	0.0102718574926257
WNT4	CBX2	0.0102716339752078
UGR	WT1pKTS	0.0102709867060184
CTNNB1	WT1mKTS	0.0102690504863858
WNT4	WT1mKTS	0.0102686677128076
UGR	CBX2	0.0102649452164769
GATA4	DKK1	0.0102623030543327
GATA4	PGD2	0.0102620460093021
GATA4	AMH	0.0102580143138766
CBX2	WT1pKTS	0.0102579640224576
CBX2	PGD2	0.0102577172219753
WT1mKTS	NR0B1	0.0102572469040751
NR5A1	SRY	0.0102563528344035
FOXL2	NR0B1	0.0102557307109236
CBX2	SRY	0.0102535905316472
FOXL2	AMH	0.0102527868002653
GATA4	NR0B1	0.0102524748072028
WT1pKTS	FGF9	0.0102499416097998
GATA4	DHH	0.010249113664031
GATA4	FOXL2	0.0102488361299037
UGR	DHH	0.0102474559098482
NR0B1	GATA4	0.0102465208619833
WT1pKTS	SOX9	0.0102443899959325
FGF9	UGR	0.0102426558732986
DHH	UGR	0.010242573916911999
FGF9	CBX2	0.0102423904463648
PGD2	WT1mKTS	0.0102401245385408
GATA4	FGF9	0.0102385589852929
CBX2	GATA4	0.0102373119443655
WT1pKTS	NR0B1	0.0102359233424067
UGR	CTNNB1	0.0102323153987526
DKK1	WT1mKTS	0.010231502354145
WT1pKTS	UGR	0.0102308457717299
DHH	WT1pKTS	0.0102302124723792
FOXL2	WT1mKTS	0.010228993371129
NR0B1	WT1mKTS	0.0102286068722605
WT1mKTS	GATA4	0.0102284597232937
FOXL2	CBX2	0.0102252094075083
UGR	SRY	0.0102244922891259
UGR	DMRT1	0.0102243823930621
FOXL2	DHH	0.0102237574756145
DKK1	UGR	0.0102234994992613
AMH	CBX2	0.0102222403511404
AMH	FOXL2	0.010222079232334999
PGD2	GATA4	0.0102215092629194
PGD2	CBX2	0.0102198803797364
NR5A1	WT1mKTS	0.0102186854928731
PGD2	WT1pKTS	0.0102183958515524
WT1mKTS	DKK1	0.0102179991081357
GATA4	RSPO1	0.0102176023647189
RSPO1	AMH	0.0102165834978222
CBX2	WT1mKTS	0.0102165006101131
WT1mKTS	DHH	0.0102161588147282
WNT4	UGR	0.0102149536833167
FGF9	RSPO1	0.0102143986150622
AMH	WT1pKTS	0.010213372297584998
NR5A1	CBX2	0.0102133098989725
AMH	RSPO1	0.0102119790390133
DHH	GATA4	0.0102110849693417
WT1mKTS	DMRT1	0.0102086868137121
FOXL2	DMRT1	0.0102079082280397
DHH	WNT4	0.0102063762024044
SRY	GATA4	0.0102051496505737
GATA4	SRY	0.0102041726931929
SRY	NR0B1	0.0102025866508483
DMRT1	RSPO1	0.0102010024711489
CTNNB1	PGD2	0.010199655778706
SRY	UGR	0.010197470895946
NR0B1	WT1pKTS	0.0101971514523029
WT1mKTS	SOX9	0.0101968254894018
UGR	RSPO1	0.010196573100984001
GATA4	SOX9	0.0101947793737053
SOX9	CBX2	0.0101947290822863
NR0B1	NR5A1	0.0101946610957384
SRY	CBX2	0.0101916883140802
WT1pKTS	WT1mKTS	0.0101912980899214
RSPO1	UGR	0.0101909199729561
UGR	FOXL2	0.0101887192577123
PGD2	FOXL2	0.0101885506883263
DMRT1	CBX2	0.0101868426427245
RSPO1	FGF9	0.0101858787238597
WT1mKTS	RSPO1	0.010185619816183999
FOXL2	GATA4	0.0101855173707008
GATA4	CTNNB1	0.0101851997897028
FGF9	FOXL2	0.0101842023432254
WT1mKTS	UGR	0.0101841567084193
WT1mKTS	CBX2	0.0101825650781393
UGR	PGD2	0.0101824486628174
CBX2	FGF9	0.0101814186200499
CBX2	WNT4	0.0101797170937061
UGR	NR0B1	0.0101795038208365
WT1mKTS	FGF9	0.0101788500323891
RSPO1	GATA4	0.0101772537454962
CBX2	DHH	0.0101769212633371
DKK1	WNT4	0.0101764285936951
