TF	Target	EdgeWeight
DHH	FGF9	0.010538917966187
DKK1	DMRT1	0.010520553216338158
DHH	PGD2	0.010519977658987045
PGD2	SOX9	0.010518071241676807
FGF9	SOX9	0.010513748042285442
DMRT1	SOX9	0.010495287366211414
SRY	DKK1	0.010486860759556293
DHH	SOX9	0.010486728511750698
PGD2	AMH	0.0104772187769413
WT1pKTS	SRY	0.01047477126121521
FOXL2	CTNNB1	0.010470222681760788
RSPO1	WNT4	0.010469463653862476
CTNNB1	WNT4	0.010466951876878738
DMRT1	DKK1	0.010462425649166107
NR0B1	WNT4	0.01046012993901968
DKK1	SOX9	0.010456778109073639
DKK1	SRY	0.010450352914631367
SRY	PGD2	0.010450013913214207
WNT4	RSPO1	0.01044820062816143
FGF9	PGD2	0.010446661151945591
DMRT1	DHH	0.010445534251630306
FGF9	AMH	0.010443978011608124
PGD2	DHH	0.01044311560690403
RSPO1	NR0B1	0.010437279008328915
AMH	SOX9	0.01043418888002634
DKK1	WT1pKTS	0.010431506671011448
PGD2	FGF9	0.010429100133478642
CTNNB1	NR0B1	0.010424965061247349
CBX2	NR5A1	0.010420942679047585
DHH	NR5A1	0.010418134741485119
WNT4	NR0B1	0.01041781809180975
FOXL2	WNT4	0.010417664423584938
NR5A1	AMH	0.010415319353342056
DMRT1	WT1pKTS	0.01041165180504322
FGF9	DMRT1	0.010408342815935612
SRY	WT1pKTS	0.010407970286905766
AMH	DKK1	0.01040681079030037
CTNNB1	FOXL2	0.010406594723463058
DKK1	DHH	0.010405049659311771
SOX9	SRY	0.01040301751345396
SRY	DMRT1	0.010402739979326725
WT1pKTS	PGD2	0.010399376042187214
PGD2	NR5A1	0.010399260558187962
PGD2	DKK1	0.010397163219749928
AMH	SRY	0.01039472408592701
DHH	SRY	0.010394461452960968
DHH	AMH	0.010394088923931122
NR0B1	CTNNB1	0.010392638854682446
RSPO1	CTNNB1	0.010391692630946636
SRY	DHH	0.010389133356511593
SOX9	DMRT1	0.010388081893324852
SOX9	WT1pKTS	0.010388020426034927
FGF9	SRY	0.010387061163783073
RSPO1	FOXL2	0.010384972207248211
FGF9	DKK1	0.010382787324488163
SOX9	FGF9	0.010382053442299366
AMH	NR5A1	0.010378144681453705
DMRT1	FGF9	0.010377765633165836
DKK1	PGD2	0.010375863872468472
AMH	DHH	0.010373427532613277
AMH	FGF9	0.010371546261012554
WT1pKTS	AMH	0.01037148479372263
SOX9	PGD2	0.010371267795562744
DMRT1	AMH	0.010371247306466103
NR0B1	RSPO1	0.010365954600274563
DKK1	FGF9	0.010365668684244156
NR0B1	FOXL2	0.010364827699959278
WT1pKTS	NR5A1	0.010364578105509281
WNT4	FOXL2	0.010364245623350143
SOX9	AMH	0.010362156666815281
CTNNB1	RSPO1	0.010360457003116608
FGF9	NR5A1	0.010357765480875969
WT1pKTS	DMRT1	0.010355234146118164
DHH	DMRT1	0.01035521924495697
NR5A1	SOX9	0.010353479534387589
UGR	NR5A1	0.010353378020226955
AMH	PGD2	0.010350944474339485
DMRT1	NR5A1	0.010349028743803501
FGF9	DHH	0.010348491370677948
WT1pKTS	CBX2	0.01034686341881752
WT1pKTS	DKK1	0.01034636702388525
DMRT1	SRY	0.010339063592255116
NR5A1	DHH	0.010338352993130684
WNT4	CTNNB1	0.010333890095353127
SRY	SOX9	0.01033218577504158
WT1pKTS	DHH	0.01033210102468729
