TF	target	importance
DMRT1	DKK1	0.3209505121933132
WT1pKTS	FOXL2	0.31378414919128506
FOXL2	WT1pKTS	0.3127977028312536
DKK1	DMRT1	0.30189021750785766
FGF9	PGD2	0.2646640192240025
CTNNB1	RSPO1	0.25447723058705934
FGF9	DHH	0.25169058444483206
PGD2	DHH	0.2513298924924026
DHH	PGD2	0.24725438999057295
PGD2	FGF9	0.24444252721627177
FGF9	AMH	0.2365402217421404
PGD2	AMH	0.23014127930512937
FOXL2	CTNNB1	0.22564140491238271
UGR	CBX2	0.22169493414556216
DHH	FGF9	0.22056461931640997
RSPO1	WNT4	0.2202640031108948
RSPO1	NR5A1	0.22017697380286178
DMRT1	SRY	0.20746395244657215
AMH	FGF9	0.1936654575569799
RSPO1	CTNNB1	0.19282149571511525
CTNNB1	WNT4	0.1842680186127631
CTNNB1	FOXL2	0.18311813971122642
CBX2	UGR	0.1817689322614509
NR5A1	RSPO1	0.18023820807445012
AMH	DHH	0.1787182367542514
DHH	AMH	0.17746425613444136
CTNNB1	WT1pKTS	0.17636413854468966
PGD2	SOX9	0.17602576283554602
AMH	PGD2	0.17460476517324547
DKK1	SRY	0.17161224871828498
SRY	UGR	0.1634926121985385
WNT4	RSPO1	0.16315305377436745
DHH	SOX9	0.16148431110456918
FGF9	SOX9	0.15550747288907388
SRY	DMRT1	0.15089942406103282
AMH	NR0B1	0.1503306918577069
SRY	DKK1	0.1497701545442986
WT1pKTS	CTNNB1	0.14515350586435277
SOX9	DKK1	0.14431333778019054
SOX9	DMRT1	0.14146975615285254
NR0B1	UGR	0.13819272226643067
CTNNB1	NR5A1	0.13359372808142
NR5A1	CBX2	0.13043583171552556
NR5A1	FOXL2	0.12741106159652768
WNT4	UGR	0.11528957453009604
DHH	NR0B1	0.11210370223905156
FOXL2	NR5A1	0.11179993186236324
FOXL2	RSPO1	0.11055707419591455
WNT4	NR0B1	0.10917629598730946
SOX9	FGF9	0.10892160068465309
NR5A1	WT1pKTS	0.1084298115390036
NR0B1	WNT4	0.10461275099156556
RSPO1	FOXL2	0.1014354993885584
AMH	SOX9	0.10121264843652716
NR0B1	AMH	0.1009148793367406
SRY	WT1pKTS	0.10069865343043992
SOX9	WNT4	0.1003465868965111
NR5A1	CTNNB1	0.10023961873359606
GATA4	WT1mKTS	0.09818797519523897
SRY	FOXL2	0.09724007638740335
WT1mKTS	GATA4	0.0972065535540743
SOX9	DHH	0.09689449279479767
FGF9	NR0B1	0.09663805626077594
DKK1	CBX2	0.09620804594769321
UGR	NR0B1	0.09606190329758611
SOX9	SRY	0.09445665054899995
SOX9	PGD2	0.09438134330397557
SOX9	AMH	0.09423263040908071
PGD2	NR0B1	0.09010966175880632
WT1pKTS	SRY	0.08754609347045916
DMRT1	CBX2	0.08607973320789471
RSPO1	CBX2	0.08581314652603743
WT1pKTS	NR5A1	0.08557860626813972
DKK1	SOX9	0.08416947032727555
RSPO1	WT1pKTS	0.0809551535659281
DMRT1	SOX9	0.08009991260360887
CTNNB1	SRY	0.07594728318416923
NR0B1	PGD2	0.07409107109621253
UGR	SRY	0.0715758741630547
RSPO1	UGR	0.07139248637053236
RSPO1	NR0B1	0.06960461973328338
NR0B1	FGF9	0.06950305348370653
WNT4	CTNNB1	0.06873906084202172
WT1pKTS	WT1mKTS	0.0682788120482504
CTNNB1	UGR	0.06794040726369373
SRY	CTNNB1	0.06731519563900276
FOXL2	SRY	0.06687860726352078
WT1pKTS	RSPO1	0.06660711403597652
SOX9	NR5A1	0.06612841146619537
NR0B1	DHH	0.06532631535611352
CTNNB1	CBX2	0.06383912913422193
NR0B1	NR5A1	0.06365310969939332
UGR	GATA4	0.06354051206852243
DHH	DMRT1	0.06236979274809019
DKK1	WNT4	0.06206473813714039
WNT4	SOX9	0.06178199073021968
WNT4	GATA4	0.061320333641353
CBX2	NR5A1	0.060361040212444185
NR0B1	GATA4	0.05946626929799853
WT1pKTS	GATA4	0.05913317101602902
UGR	WT1mKTS	0.059122310685446315
CBX2	WT1mKTS	0.0583940578102057
NR0B1	WT1mKTS	0.05808460169671792
FGF9	DMRT1	0.05782054432940923
NR5A1	SOX9	0.05681502617671799
PGD2	DMRT1	0.05657287712630111
DMRT1	WNT4	0.0564675033977326
