Gene1	Gene2	EdgeWeight
NR0B1	WT1mKTS	0.7394474744796753
NR5A1	WT1mKTS	0.7365931272506714
WNT4	WT1mKTS	0.7362874150276184
NR0B1	WT1pKTS	0.7347025871276855
SOX9	WT1mKTS	0.734420120716095
CBX2	WT1mKTS	0.7337449193000793
NR0B1	GATA4	0.7331169247627258
CTNNB1	WT1mKTS	0.7328576445579529
DKK1	WT1mKTS	0.7322453260421753
NR5A1	WT1pKTS	0.7315251231193542
NR0B1	NR5A1	0.7313909530639648
WNT4	WT1pKTS	0.7313115000724792
GATA4	WT1mKTS	0.7309058308601379
NR5A1	GATA4	0.730630099773407
NR0B1	CBX2	0.7300885915756226
AMH	WT1mKTS	0.730015218257904
WNT4	GATA4	0.7298734784126282
NR0B1	AMH	0.7296100854873657
SOX9	WT1pKTS	0.7293393015861511
RSPO1	WT1mKTS	0.7291541099548341
SOX9	GATA4	0.7287446856498718
CTNNB1	WT1pKTS	0.7284138798713684
CBX2	WT1pKTS	0.7283960580825806
NR5A1	NR0B1	0.7283637523651123
NR0B1	UGR	0.7281553745269775
WNT4	NR5A1	0.728134036064148
CBX2	GATA4	0.7279236912727356
WNT4	NR0B1	0.7276011109352112
FOXL2	WT1mKTS	0.727344274520874
DKK1	WT1pKTS	0.7272738814353943
WNT4	CBX2	0.7271144986152649
NR5A1	AMH	0.7269769906997681
NR5A1	CBX2	0.7269201278686523
SOX9	NR5A1	0.7264997363090515
WNT4	AMH	0.7263751029968262
SOX9	NR0B1	0.7261058688163757
GATA4	WT1pKTS	0.7260016202926636
CBX2	NR5A1	0.7259877324104309
SRY	WT1mKTS	0.725932776927948
CTNNB1	GATA4	0.7257762551307678
NR5A1	UGR	0.7257678508758545
RSPO1	WT1pKTS	0.7257129549980164
CBX2	NR0B1	0.7256823182106018
WNT4	UGR	0.7254434823989868
AMH	GATA4	0.7251212000846863
CTNNB1	NR5A1	0.7251151204109192
AMH	WT1pKTS	0.7251027822494507
SOX9	CBX2	0.7249429821968079
SOX9	AMH	0.7248558998107909
DKK1	NR5A1	0.7247924208641052
DKK1	GATA4	0.724761962890625
CBX2	AMH	0.7244899272918701
CTNNB1	NR0B1	0.7244725823402405
SOX9	UGR	0.7244102358818054
CTNNB1	CBX2	0.7241444587707521
NR0B1	RSPO1	0.7240313291549683
DKK1	NR0B1	0.7239606380462646
CTNNB1	AMH	0.7235670685768127
DKK1	CBX2	0.7234915494918823
CBX2	UGR	0.7234165072441101
RSPO1	GATA4	0.7231656908988953
FOXL2	WT1pKTS	0.7231641411781311
GATA4	NR5A1	0.7230605483055115
DKK1	AMH	0.7229989767074585
WT1mKTS	WT1pKTS	0.7228721976280212
GATA4	NR0B1	0.722844660282135
NR0B1	WNT4	0.7226185202598572
RSPO1	NR5A1	0.7224454879760742
NR0B1	SRY	0.7223407626152039
AMH	NR5A1	0.722201943397522
RSPO1	CBX2	0.72208172082901
NR0B1	CTNNB1	0.7220672965049744
AMH	NR0B1	0.7220454216003418
NR0B1	SOX9	0.7220301032066345
WT1mKTS	GATA4	0.7217167019844055
CTNNB1	UGR	0.7215171456336975
RSPO1	NR0B1	0.7214354872703552
GATA4	AMH	0.7213910818099976
GATA4	CBX2	0.7212306261062622
SRY	WT1pKTS	0.7211176156997681
GATA4	UGR	0.720991313457489
RSPO1	AMH	0.7208630442619324
DKK1	UGR	0.7207369208335876
FOXL2	GATA4	0.7207240462303162
AMH	CBX2	0.7207075953483582
NR5A1	RSPO1	0.7206608653068542
AMH	UGR	0.7205342650413513
SRY	GATA4	0.720503032207489
FOXL2	CBX2	0.7204630970954895
FOXL2	NR5A1	0.7204588055610657
WNT4	SOX9	0.720448911190033
NR5A1	SOX9	0.7204038500785828
RSPO1	UGR	0.7203517556190491
FOXL2	NR0B1	0.7202425003051758
WNT4	RSPO1	0.7200481295585632
DMRT1	WT1mKTS	0.7198966741561891
NR5A1	CTNNB1	0.719813346862793
WT1mKTS	NR5A1	0.7198100090026855
NR5A1	WNT4	0.7197549939155579
WT1mKTS	NR0B1	0.7197292447090149
PGD2	WT1mKTS	0.7196593880653381
NR5A1	SRY	0.719643235206604
WNT4	SRY	0.7193549275398254
CTNNB1	RSPO1	0.719339907169342
WNT4	CTNNB1	0.7188893556594849
WT1pKTS	WT1mKTS	0.718583345413208
FOXL2	AMH	0.7185075879096985
WT1mKTS	AMH	0.7185049057006836
DKK1	RSPO1	0.7184009552001953
CBX2	SOX9	0.718397319316864
SRY	NR5A1	0.7180948853492737
CTNNB1	SOX9	0.7178092002868652
CTNNB1	WNT4	0.7177541851997375
SRY	NR0B1	0.7176386713981628
DKK1	WNT4	0.717607319355011
CBX2	RSPO1	0.7175403237342834
SOX9	SRY	0.7175397872924805
WT1mKTS	UGR	0.717529833316803
SOX9	RSPO1	0.7175120115280151
SOX9	CTNNB1	0.7175096869468689
CBX2	CTNNB1	0.7174974083900452
SOX9	WNT4	0.7174762487411499
CBX2	WNT4	0.7173807621002197
CBX2	SRY	0.7171280980110168
CTNNB1	SRY	0.7170357704162598
WT1mKTS	CBX2	0.7168008685112
SRY	UGR	0.7166063785552979
SRY	CBX2	0.7165616750717163
RSPO1	SOX9	0.7165588140487671
SRY	AMH	0.716338038444519
DKK1	SRY	0.7163327932357788
DKK1	CTNNB1	0.7161215543746948
FGF9	WT1mKTS	0.7160223126411438
FOXL2	UGR	0.7155730724334717
AMH	SOX9	0.7155309915542603
RSPO1	WNT4	0.7153847813606262
FOXL2	RSPO1	0.7153179049491882
DKK1	SOX9	0.7150695323944092
RSPO1	SRY	0.7149720191955566
DMRT1	WT1pKTS	0.7149505615234375
NR0B1	FOXL2	0.7149357795715332
PGD2	WT1pKTS	0.7147310376167297
WT1pKTS	GATA4	0.7145422697067261
GATA4	RSPO1	0.7141627073287964
GATA4	CTNNB1	0.7141147255897522
RSPO1	CTNNB1	0.7139931321144104
