Gene1,Gene2
DMRT1,FOXL2
GATA4,WT1mKTS
WT1mKTS,SRY
SOX9,FGF9
NR5A1,AMH
CTNNB1,NR0B1
NR5A1,NR0B1
NR5A1,GATA4
SOX9,AMH
DKK1,RSPO1
NR0B1,CBX2
NR5A1,UGR
DKK1,WNT4
UGR,UGR
FOXL2,SOX9
UGR,WT1pKTS
RSPO1,CTNNB1
SOX9,CTNNB1
GATA4,SRY
GATA4,WNT4
SRY,CTNNB1
GATA4,NR5A1
SOX9,PGD2
FGF9,WNT4
UGR,WT1mKTS
SOX9,DMRT1
NR0B1,WNT4
WNT4,SOX9
SRY,GATA4
CTNNB1,FOXL2
NR0B1,AMH
SOX9,NR0B1
FGF9,SOX9
WNT4,UGR
GATA4,SOX9
WNT4,NR5A1
PGD2,SOX9
UGR,GATA4
GATA4,AMH
CTNNB1,SRY
CTNNB1,RSPO1
NR5A1,SRY
UGR,NR5A1
WNT4,CBX2
NR5A1,SOX9
WT1mKTS,AMH
CBX2,SRY
WNT4,GATA4
SRY,SOX9
CBX2,NR5A1
SRY,SRY
NR0B1,NR5A1
SRY,DKK1
CTNNB1,AMH
CTNNB1,WNT4
CTNNB1,WT1pKTS
WT1mKTS,NR0B1
WNT4,NR0B1
UGR,CBX2
AMH,CTNNB1
CTNNB1,SOX9
WNT4,FGF9
WT1pKTS,SRY
