Gene1	Gene2	EdgeWeight
UGR	CBX2	136.9832266496075
CTNNB1	RSPO1	136.299464647642
DHH	FGF9	135.73158766891657
FOXL2	WT1pKTS	133.54007697234724
DHH	AMH	130.6887636410107
SRY	DMRT1	129.06420757824222
WNT4	RSPO1	125.97654360243315
DKK1	DMRT1	123.34063451871313
DKK1	SRY	120.20969305468591
CTNNB1	FOXL2	113.79860973479998
SRY	UGR	112.76257453026699
SRY	WT1pKTS	112.48057853053228
WT1pKTS	FOXL2	112.35346218800824
DMRT1	DKK1	110.57884398638208
RSPO1	NR5A1	107.14469069276652
FGF9	PGD2	102.80007667689472
NR5A1	RSPO1	102.76116184980849
FGF9	AMH	98.98994613584202
CTNNB1	NR5A1	97.38996910859358
PGD2	FGF9	95.66889076271951
SOX9	DKK1	94.9614504994788
CTNNB1	WT1pKTS	94.04972066651348
SRY	DKK1	93.55763635502683
WNT4	NR0B1	92.54686476764749
AMH	PGD2	92.44980353164486
WT1pKTS	CTNNB1	92.05054979936232
CBX2	UGR	89.15232585632522
CTNNB1	WNT4	87.10180326325245
FOXL2	CTNNB1	85.0164757238525
DHH	PGD2	84.83055907818344
FGF9	SOX9	84.55708668640005
AMH	DHH	83.91958732841391
DHH	NR0B1	82.96857515650315
DMRT1	CBX2	80.52163376353911
RSPO1	WNT4	80.27468969024501
DHH	SOX9	79.2244426877551
DMRT1	SRY	77.88905294677527
FGF9	DHH	77.2285210412959
NR0B1	FGF9	75.61158323636968
DKK1	SOX9	74.83874854426942
FOXL2	RSPO1	74.80455226064306
SRY	FOXL2	74.73121225138775
NR0B1	AMH	74.72359728869759
AMH	NR0B1	73.73351435769173
CBX2	NR5A1	73.45374592880775
RSPO1	CTNNB1	72.49341144021396
PGD2	AMH	71.99469660841959
NR0B1	UGR	71.55359584504187
WT1mKTS	GATA4	71.52097256239843
CTNNB1	SRY	70.74082371290072
NR0B1	PGD2	69.29200085628554
WT1pKTS	RSPO1	69.27401432076307
WNT4	NR5A1	68.77928824472707
FOXL2	SRY	68.41661311751524
FGF9	DKK1	67.56323186237019
NR0B1	WNT4	67.27275345288476
NR5A1	FOXL2	66.90252801074145
WT1pKTS	SRY	66.74217370024537
NR5A1	CBX2	66.64249330296808
FOXL2	NR5A1	66.10267467640078
SOX9	WNT4	65.84896668563421
PGD2	NR0B1	65.35303712159603
SRY	CTNNB1	64.70696528826338
WNT4	SOX9	64.69796388435991
SOX9	DHH	64.45924249167831
WNT4	CTNNB1	64.4450999044271
AMH	FGF9	64.36513369407642
NR5A1	WT1pKTS	64.34194687120518
SOX9	RSPO1	63.797747812521685
SOX9	FGF9	63.78006275963907
CBX2	DMRT1	63.506787332984715
NR5A1	NR0B1	62.5429318173171
RSPO1	NR0B1	61.92041056701061
UGR	SRY	61.679279977692396
SOX9	DMRT1	61.26812047608772
PGD2	DHH	60.28290380821477
WT1pKTS	NR5A1	60.00218469961039
WNT4	UGR	59.89678393734754
FGF9	NR0B1	59.59387277865097
WNT4	FGF9	59.015181062504695
PGD2	NR5A1	58.16565980125437
SOX9	AMH	58.114268558551814
DHH	DMRT1	57.15729368193014
NR0B1	NR5A1	56.79706281644146
CBX2	DKK1	56.74108629234368
NR0B1	RSPO1	56.634513449347544
UGR	NR0B1	55.47395791314317
DMRT1	SOX9	54.213033203714545
DKK1	AMH	53.96276937666386
RSPO1	WT1pKTS	53.55205121474165
SOX9	PGD2	53.27126460443142
DMRT1	WNT4	52.999221701365975
RSPO1	SOX9	52.268063197749576
SRY	RSPO1	51.74473265499935
