Gene1,Gene2,EdgeWeight
AMH,CBX2,0.47698116302490234
AMH,CTNNB1,0.38999998569488525
AMH,DHH,0.9700943827629089
AMH,DKK1,0.4923585057258606
AMH,DMRT1,0.500377357006073
AMH,FGF9,0.9858490824699402
AMH,FOXL2,0.39764150977134705
AMH,GATA4,0.40952828526496887
AMH,NR0B1,0.6772640943527222
AMH,NR5A1,0.4306603670120239
AMH,PGD2,0.9578301906585693
AMH,RSPO1,0.39075469970703125
AMH,SOX9,0.4418867826461792
AMH,SRY,0.4584905505180359
AMH,UGR,0.46745285391807556
AMH,WNT4,0.3865094482898712
AMH,WT1mKTS,0.4275471866130829
AMH,WT1pKTS,0.4098113477230072
CBX2,AMH,0.42520323395729065
CBX2,CTNNB1,0.8593495488166809
CBX2,DHH,0.4366869628429413
CBX2,DKK1,0.9412600994110107
CBX2,DMRT1,0.9840447902679443
CBX2,FGF9,0.4907520115375519
CBX2,FOXL2,0.5805894136428833
CBX2,GATA4,0.4997967481613159
CBX2,NR0B1,0.4942072927951813
CBX2,NR5A1,0.9619919061660767
CBX2,PGD2,0.44654473662376404
CBX2,RSPO1,0.8370934724807739
CBX2,SOX9,0.8936991691589355
CBX2,SRY,0.5430894494056702
CBX2,UGR,0.9459348917007446
CBX2,WNT4,0.49024394154548645
CBX2,WT1mKTS,0.48282524943351746
CBX2,WT1pKTS,0.8751015663146973
CTNNB1,AMH,0.42842286825180054
CTNNB1,CBX2,0.5533795356750488
CTNNB1,DHH,0.4240034520626068
CTNNB1,DKK1,0.7465338110923767
CTNNB1,DMRT1,0.8593587875366211
CTNNB1,FGF9,0.4212304949760437
CTNNB1,FOXL2,0.9095319509506226
CTNNB1,GATA4,0.4532928764820099
CTNNB1,NR0B1,0.5064125061035156
CTNNB1,NR5A1,0.6101386547088623
CTNNB1,PGD2,0.42062389850616455
CTNNB1,RSPO1,0.9927209615707397
CTNNB1,SOX9,0.43197572231292725
CTNNB1,SRY,0.6653380393981934
CTNNB1,UGR,0.5987868309020996
CTNNB1,WNT4,0.5131716132164001
CTNNB1,WT1mKTS,0.4675910174846649
CTNNB1,WT1pKTS,0.7473136186599731
DHH,AMH,0.855555534362793
DHH,CBX2,0.43403881788253784
DHH,CTNNB1,0.42425045371055603
DHH,DKK1,0.4600529074668884
DHH,DMRT1,0.46375662088394165
DHH,FGF9,0.9957671761512756
DHH,FOXL2,0.4273368716239929
DHH,GATA4,0.44779539108276367
DHH,NR0B1,0.5496472716331482
DHH,NR5A1,0.4455026388168335
DHH,PGD2,0.9708113074302673
DHH,RSPO1,0.4247795641422272
DHH,SOX9,0.7305115461349487
DHH,SRY,0.45176365971565247
DHH,UGR,0.44091710448265076
DHH,WNT4,0.4247795641422272
DHH,WT1mKTS,0.47680771350860596
DHH,WT1pKTS,0.4563491940498352
DKK1,AMH,0.4184474050998688
DKK1,CBX2,0.5287144780158997
DKK1,CTNNB1,0.48330551385879517
DKK1,DHH,0.41585975885391235
DKK1,DMRT1,0.9997495412826538
DKK1,FGF9,0.4198664426803589
DKK1,FOXL2,0.41151919960975647
DKK1,GATA4,0.43973293900489807
DKK1,NR0B1,0.421285480260849
DKK1,NR5A1,0.45100167393684387
DKK1,PGD2,0.44382303953170776
DKK1,RSPO1,0.41352254152297974
DKK1,SOX9,0.7332220673561096
DKK1,SRY,0.7967445254325867
DKK1,UGR,0.4242905080318451
DKK1,WNT4,0.5591819882392883
DKK1,WT1mKTS,0.44983306527137756
DKK1,WT1pKTS,0.43522539734840393
DMRT1,AMH,0.3980802893638611
DMRT1,CBX2,0.49319371581077576
DMRT1,CTNNB1,0.46099475026130676
DMRT1,DHH,0.38176265358924866
DMRT1,DKK1,0.9828970432281494
DMRT1,FGF9,0.37260034680366516
DMRT1,FOXL2,0.3683245778083801
DMRT1,GATA4,0.4087259769439697
DMRT1,NR0B1,0.38089004158973694
DMRT1,NR5A1,0.41108202934265137
DMRT1,PGD2,0.3914485573768616
DMRT1,RSPO1,0.37164050340652466
DMRT1,SOX9,0.6842058300971985
DMRT1,SRY,0.7029668092727661
DMRT1,UGR,0.4048865735530853
DMRT1,WNT4,0.5287958383560181
DMRT1,WT1mKTS,0.40000003576278687
DMRT1,WT1pKTS,0.3873472511768341
FGF9,AMH,0.8992494940757751
FGF9,CBX2,0.4041275680065155
FGF9,CTNNB1,0.38067540526390076
FGF9,DHH,0.9963414669036865
FGF9,DKK1,0.40309569239616394
FGF9,DMRT1,0.4089118242263794
FGF9,FOXL2,0.3852720260620117
FGF9,GATA4,0.4309568703174591
FGF9,NR0B1,0.49878042936325073
FGF9,NR5A1,0.42973729968070984
FGF9,PGD2,0.9938085675239563
FGF9,RSPO1,0.38339588046073914
FGF9,SOX9,0.7393996119499207
FGF9,SRY,0.42692309617996216
FGF9,UGR,0.3886491656303406
FGF9,WNT4,0.39530956745147705
FGF9,WT1mKTS,0.4151031970977783
FGF9,WT1pKTS,0.41951221227645874
FOXL2,AMH,0.43161633610725403
FOXL2,CBX2,0.44618117809295654
FOXL2,CTNNB1,0.9927175045013428
FOXL2,DHH,0.43987569212913513
FOXL2,DKK1,0.4392540156841278
FOXL2,DMRT1,0.4452042579650879
FOXL2,FGF9,0.4258436858654022
FOXL2,GATA4,0.498934268951416
FOXL2,NR0B1,0.49982237815856934
FOXL2,NR5A1,0.546003520488739
FOXL2,PGD2,0.4287744164466858
FOXL2,RSPO1,0.5884547233581543
FOXL2,SOX9,0.42646536231040955
FOXL2,SRY,0.4767317771911621
FOXL2,UGR,0.46101242303848267
FOXL2,WNT4,0.5406749248504639
FOXL2,WT1mKTS,0.48126113414764404
FOXL2,WT1pKTS,0.9996447563171387
GATA4,AMH,0.7943359613418579
GATA4,CBX2,0.805468738079071
GATA4,CTNNB1,0.7933593988418579
GATA4,DHH,0.7789062261581421
GATA4,DKK1,0.7986328601837158
GATA4,DMRT1,0.8730469346046448
GATA4,FGF9,0.8109375238418579
GATA4,FOXL2,0.8255859017372131
GATA4,NR0B1,0.8423827886581421
GATA4,NR5A1,0.817187488079071
GATA4,PGD2,0.7892578840255737
GATA4,RSPO1,0.786328136920929
GATA4,SOX9,0.7976562976837158
GATA4,SRY,0.8650391101837158
GATA4,UGR,0.8541015386581421
GATA4,WNT4,0.9183593392372131
GATA4,WT1mKTS,0.9619140625
GATA4,WT1pKTS,0.8628906011581421
NR0B1,AMH,0.8965139389038086
NR0B1,CBX2,0.657868504524231
NR0B1,CTNNB1,0.45029881596565247
NR0B1,DHH,0.843924343585968
NR0B1,DKK1,0.4312749207019806
NR0B1,DMRT1,0.4026891887187958
NR0B1,FGF9,0.8820717930793762
NR0B1,FOXL2,0.45089641213417053
NR0B1,GATA4,0.4326692819595337
NR0B1,NR5A1,0.752390444278717
NR0B1,PGD2,0.8433266282081604
NR0B1,RSPO1,0.40129485726356506
NR0B1,SOX9,0.36105579137802124
NR0B1,SRY,0.5266932249069214
NR0B1,UGR,0.82988041639328
NR0B1,WNT4,0.9712150692939758
NR0B1,WT1mKTS,0.4515936076641083
NR0B1,WT1pKTS,0.3843625783920288
NR5A1,AMH,0.48710864782333374
NR5A1,CBX2,0.7536832094192505
NR5A1,CTNNB1,0.5318599939346313
NR5A1,DHH,0.4242173135280609
NR5A1,DKK1,0.5628913044929504
