Gene1	Gene2	EdgeWeight
DKK1	DMRT1	0.1156502291560173
FGF9	DHH	0.11446023732423782
FGF9	PGD2	0.11311931908130644
FOXL2	WT1pKTS	0.11012091487646104
DMRT1	DKK1	0.10854742676019667
WT1pKTS	FOXL2	0.10724465548992156
PGD2	FGF9	0.10717399418354034
DHH	FGF9	0.10685565322637558
FOXL2	CTNNB1	0.10588835179805756
PGD2	DHH	0.1048833355307579
DHH	PGD2	0.10397065430879593
CTNNB1	RSPO1	0.1016293317079544
FGF9	AMH	0.09957250952720642
RSPO1	WNT4	0.09880859404802322
RSPO1	CTNNB1	0.09871314465999603
RSPO1	NR5A1	0.09840944409370422
CTNNB1	FOXL2	0.09733683615922928
AMH	FGF9	0.0971296802163124
WNT4	RSPO1	0.0970209464430809
SRY	DMRT1	0.0969797745347023
SRY	DKK1	0.09690379351377487
AMH	DHH	0.09580410271883012
AMH	PGD2	0.0939747914671898
WNT4	NR0B1	0.09238901734352112
WNT4	DMRT1	0.09219681471586227
DHH	AMH	0.09138520061969756
SOX9	DMRT1	0.08931346237659454
WNT4	DKK1	0.08893908560276031
DKK1	SRY	0.0889182910323143
NR5A1	RSPO1	0.08849208056926727
PGD2	AMH	0.08828119933605194
WNT4	SOX9	0.0879492536187172
SOX9	DKK1	0.0862305611371994
CTNNB1	DMRT1	0.0853762999176979
UGR	CBX2	0.08443506807088852
WT1pKTS	SRY	0.08386658877134323
SRY	FOXL2	0.08345522731542587
NR0B1	WNT4	0.08322853595018387
UGR	SRY	0.08184252679347992
UGR	NR0B1	0.08123026043176651
CBX2	UGR	0.07946482300758362
DMRT1	SRY	0.07934688776731491
SOX9	DHH	0.07934132218360901
NR0B1	AMH	0.07923179119825363
SOX9	WNT4	0.0791851282119751
CBX2	NR5A1	0.07891838997602463
CBX2	DKK1	0.07886870950460434
DHH	SOX9	0.07831725478172302
SOX9	NR5A1	0.0780424028635025
SRY	WT1pKTS	0.07795613259077072
CBX2	DMRT1	0.07785863429307938
UGR	WNT4	0.07732707262039185
SOX9	FGF9	0.07697367668151855
FGF9	SOX9	0.07624953240156174
NR5A1	NR0B1	0.07608324289321901
DMRT1	SOX9	0.07570137828588486
NR0B1	PGD2	0.07531733810901642
DKK1	SOX9	0.07508543133735658
CTNNB1	WT1pKTS	0.07486673444509506
NR5A1	SOX9	0.07456112653017044
SRY	UGR	0.0734257847070694
CBX2	WT1pKTS	0.07325534522533418
CTNNB1	DKK1	0.07302278280258179
NR0B1	UGR	0.07295969873666762
SRY	CTNNB1	0.07252351194620132
NR0B1	FGF9	0.07239086925983429
CBX2	SOX9	0.07173194736242294
PGD2	SOX9	0.07112161070108414
NR5A1	CBX2	0.07027290016412735
NR5A1	WT1pKTS	0.07003337144851685
CBX2	CTNNB1	0.0694468542933464
NR0B1	DHH	0.06733878701925278
CBX2	RSPO1	0.06719489395618439
AMH	NR0B1	0.06710971146821976
NR5A1	FOXL2	0.0665641501545906
SOX9	PGD2	0.0662616491317749
WNT4	UGR	0.06590428948402405
FOXL2	RSPO1	0.06543447077274323
RSPO1	CBX2	0.06474145501852037
GATA4	WT1mKTS	0.0631030797958374
SRY	NR5A1	0.06308291107416153
DMRT1	WNT4	0.06288295239210129
WT1mKTS	GATA4	0.06272784620523453
NR0B1	NR5A1	0.06258607655763626
WT1pKTS	NR5A1	0.0610736645758152
GATA4	WNT4	0.060809377580881126
NR0B1	CBX2	0.06040805578231812
WT1mKTS	DMRT1	0.0603899210691452
DKK1	WNT4	0.06033925339579582
GATA4	DMRT1	0.0591747872531414
UGR	CTNNB1	0.05901654064655304
DMRT1	CBX2	0.05882833525538445
WT1mKTS	NR0B1	0.05840862542390824
WT1mKTS	WT1pKTS	0.058382205665111535
CTNNB1	SRY	0.05835172161459923
WT1pKTS	WT1mKTS	0.05829887837171555
GATA4	WT1pKTS	0.0580015778541565
FOXL2	NR5A1	0.05728839337825775
WT1mKTS	SOX9	0.0572330504655838
DKK1	CBX2	0.057096529752016074
PGD2	NR0B1	0.05687093362212181
WT1mKTS	CTNNB1	0.05667828768491745
GATA4	NR0B1	0.05656472221016884
WT1mKTS	UGR	0.056440532207489014
GATA4	FOXL2	0.056248344480991364
GATA4	UGR	0.05607697740197182
GATA4	SRY	0.05602424964308739
SOX9	CBX2	0.0559031255543232
FOXL2	WNT4	0.05571448057889938
CTNNB1	CBX2	0.055631123483181
WT1mKTS	FOXL2	0.05556876212358475
WT1mKTS	DHH	0.055212132632732384
GATA4	FGF9	0.05516740307211876
DMRT1	CTNNB1	0.05515554919838905
NR5A1	DKK1	0.05514433234930039
CTNNB1	NR5A1	0.05508700758218765
WT1pKTS	GATA4	0.05500499904155731
GATA4	CBX2	0.0545346662402153
NR5A1	DMRT1	0.054503027349710464
WT1pKTS	CTNNB1	0.05442928895354271
DHH	NR0B1	0.054362688213586814
GATA4	CTNNB1	0.054310567677021034
WT1mKTS	DKK1	0.05426110699772835
WT1mKTS	NR5A1	0.05402335152029991
GATA4	DKK1	0.053704190999269485
RSPO1	DMRT1	0.05363449081778526
GATA4	NR5A1	0.05359872803092003
WT1mKTS	AMH	0.05356105044484138
CTNNB1	UGR	0.05353526026010513
WT1mKTS	CBX2	0.05317799746990204
GATA4	PGD2	0.053071439266204834
WT1mKTS	WNT4	0.05305912345647812
WT1mKTS	RSPO1	0.052979867905378335
AMH	DMRT1	0.05295250937342644
GATA4	SOX9	0.052886895835399635
WNT4	CBX2	0.052738796919584274
WT1mKTS	FGF9	0.05268927663564682
WT1mKTS	PGD2	0.052662860602140434
WT1mKTS	SRY	0.052543982863426215
FOXL2	SRY	0.05248157307505608
GATA4	DHH	0.05228051170706749
UGR	RSPO1	0.052272073924541466
GATA4	AMH	0.052254151552915566
GATA4	RSPO1	0.05218823626637459
FGF9	NR0B1	0.05139078572392464
DKK1	CTNNB1	0.05130888521671295
