Gene1,Gene2,EdgeWeight
AMH,CBX2,0.05084925889968872
AMH,CTNNB1,0.043001819401979446
AMH,DHH,0.09580410271883011
AMH,DKK1,0.04995669797062874
AMH,DMRT1,0.05295250937342644
AMH,FGF9,0.09712968021631241
AMH,FOXL2,0.043196242302656174
AMH,GATA4,0.043806008994579315
AMH,NR0B1,0.06710971146821976
AMH,NR5A1,0.04483112692832947
AMH,PGD2,0.09397479146718979
AMH,RSPO1,0.04225065931677818
AMH,SOX9,0.0453525185585022
AMH,SRY,0.0480567067861557
AMH,UGR,0.05009809136390686
AMH,WNT4,0.042674846947193146
AMH,WT1mKTS,0.04499903321266174
AMH,WT1pKTS,0.04395623877644539
CBX2,AMH,0.036685626953840256
CBX2,CTNNB1,0.0694468542933464
CBX2,DHH,0.03724862262606621
CBX2,DKK1,0.07886870950460434
CBX2,DMRT1,0.07785863429307938
CBX2,FGF9,0.041446227580308914
CBX2,FOXL2,0.04261360689997673
CBX2,GATA4,0.04229900240898132
CBX2,NR0B1,0.03959166258573532
CBX2,NR5A1,0.07891838997602463
CBX2,PGD2,0.03626338019967079
CBX2,RSPO1,0.06719489395618439
CBX2,SOX9,0.07173194736242294
CBX2,SRY,0.04616543650627136
CBX2,UGR,0.07946482300758362
CBX2,WNT4,0.04164493456482887
CBX2,WT1mKTS,0.03930188715457916
CBX2,WT1pKTS,0.07325534522533417
CTNNB1,AMH,0.0348639152944088
CTNNB1,CBX2,0.055631123483181
CTNNB1,DHH,0.034934453666210175
CTNNB1,DKK1,0.07302278280258179
CTNNB1,DMRT1,0.0853762999176979
CTNNB1,FGF9,0.03510574996471405
CTNNB1,FOXL2,0.09733683615922928
CTNNB1,GATA4,0.038743287324905396
CTNNB1,NR0B1,0.04402325674891472
CTNNB1,NR5A1,0.05508700758218765
CTNNB1,PGD2,0.03510574623942375
CTNNB1,RSPO1,0.1016293317079544
CTNNB1,SOX9,0.0354987233877182
CTNNB1,SRY,0.05835172161459923
CTNNB1,UGR,0.05353526026010513
CTNNB1,WNT4,0.04428523778915405
CTNNB1,WT1mKTS,0.04260249435901642
CTNNB1,WT1pKTS,0.07486673444509506
DHH,AMH,0.09138520061969757
DHH,CBX2,0.04280257970094681
DHH,CTNNB1,0.042350221425294876
DHH,DKK1,0.04510454833507538
DHH,DMRT1,0.04765782505273819
DHH,FGF9,0.10685565322637558
DHH,FOXL2,0.04142541438341141
DHH,GATA4,0.04362685978412628
DHH,NR0B1,0.05436268821358681
DHH,NR5A1,0.04131483659148216
DHH,PGD2,0.10397065430879593
DHH,RSPO1,0.04099316522479057
DHH,SOX9,0.07831725478172302
DHH,SRY,0.045265380293130875
DHH,UGR,0.04402895271778107
DHH,WNT4,0.040942903608083725
DHH,WT1mKTS,0.04510454833507538
DHH,WT1pKTS,0.04449135810136795
DKK1,AMH,0.046342190355062485
DKK1,CBX2,0.05709652975201607
DKK1,CTNNB1,0.05130888521671295
DKK1,DHH,0.04446427896618843
DKK1,DMRT1,0.1156502291560173
DKK1,FGF9,0.046136949211359024
DKK1,FOXL2,0.042688991874456406
DKK1,GATA4,0.0467834435403347
DKK1,NR0B1,0.04560333862900734
DKK1,NR5A1,0.04857925325632095
DKK1,PGD2,0.047840408980846405
DKK1,RSPO1,0.043674126267433167
DKK1,SOX9,0.07508543133735657
DKK1,SRY,0.0889182910323143
DKK1,UGR,0.04544940963387489
DKK1,WNT4,0.06033925339579582
DKK1,WT1mKTS,0.04858951270580292
DKK1,WT1pKTS,0.04544940963387489
DMRT1,AMH,0.045937199145555496
DMRT1,CBX2,0.058828335255384445
DMRT1,CTNNB1,0.05515554919838905
DMRT1,DHH,0.045337188988924026
DMRT1,DKK1,0.10854742676019669
DMRT1,FGF9,0.04503718018531799
DMRT1,FOXL2,0.04570082947611809
DMRT1,GATA4,0.04855543002486229
DMRT1,NR0B1,0.045100823044776917
DMRT1,NR5A1,0.04890089109539986
DMRT1,PGD2,0.04599174112081528
DMRT1,RSPO1,0.04528263956308365
DMRT1,SOX9,0.07570137828588486
DMRT1,SRY,0.07934688776731491
DMRT1,UGR,0.04717358201742172
DMRT1,WNT4,0.06288295239210129
DMRT1,WT1mKTS,0.04875543341040611
DMRT1,WT1pKTS,0.047764502465724945
FGF9,AMH,0.09957250952720642
FGF9,CBX2,0.04039975628256798
FGF9,CTNNB1,0.03808465227484703
FGF9,DHH,0.11446023732423782
FGF9,DKK1,0.042714864015579224
FGF9,DMRT1,0.04319622367620468
FGF9,FOXL2,0.03915051370859146
FGF9,GATA4,0.04475490748882294
FGF9,NR0B1,0.05139078572392464
FGF9,NR5A1,0.042416881769895554
FGF9,PGD2,0.11311931908130646
FGF9,RSPO1,0.03933389112353325
FGF9,SOX9,0.07624953240156174
FGF9,SRY,0.04360881447792053
FGF9,UGR,0.04049144685268402
FGF9,WNT4,0.040995724499225616
FGF9,WT1mKTS,0.04679495096206665
FGF9,WT1pKTS,0.04326499253511429
FOXL2,AMH,0.04460136219859123
FOXL2,CBX2,0.04700477421283722
FOXL2,CTNNB1,0.10588835179805756
FOXL2,DHH,0.04354853928089142
FOXL2,DKK1,0.04449501261115074
FOXL2,DMRT1,0.04477151483297348
FOXL2,FGF9,0.044463109225034714
FOXL2,GATA4,0.05062052235007286
