Gene1	Gene2	EdgeWeight
SOX9	DMRT1	0.9998124241828918
DKK1	DMRT1	0.9997495412826538
RSPO1	CTNNB1	0.9996472597122192
FOXL2	WT1pKTS	0.9996447563171388
RSPO1	WNT4	0.999118149280548
WNT4	RSPO1	0.9981802701950072
FGF9	DHH	0.9963414669036864
RSPO1	NR5A1	0.9960317611694336
DHH	FGF9	0.9957671761512756
FGF9	PGD2	0.9938085675239564
NR5A1	RSPO1	0.9928176403045654
CTNNB1	RSPO1	0.9927209615707396
FOXL2	CTNNB1	0.9927175045013428
WT1pKTS	FOXL2	0.9909806847572328
SRY	DMRT1	0.9877034425735474
PGD2	FGF9	0.9859483242034912
AMH	FGF9	0.9858490824699402
CBX2	DMRT1	0.9840447902679444
DMRT1	DKK1	0.9828970432281494
SRY	DKK1	0.9822785258293152
NR0B1	WNT4	0.9712150692939758
DHH	PGD2	0.9708113074302672
AMH	DHH	0.9700943827629088
UGR	CBX2	0.9690071344375609
UGR	SRY	0.9642857313156128
PGD2	DHH	0.9633620977401732
CBX2	NR5A1	0.9619919061660768
GATA4	WT1mKTS	0.9619140625
AMH	PGD2	0.9578301906585692
SOX9	DKK1	0.9571294784545898
UGR	NR0B1	0.9570217728614808
WNT4	NR0B1	0.9512998461723328
WNT4	DMRT1	0.9489601254463196
CBX2	UGR	0.9459348917007446
CBX2	DKK1	0.9412600994110109
SOX9	WNT4	0.9270169138908386
WNT4	DKK1	0.9256500005722046
GATA4	WNT4	0.9183593392372132
CTNNB1	FOXL2	0.9095319509506226
UGR	WNT4	0.9075060486793518
FGF9	AMH	0.8992494940757751
NR0B1	AMH	0.8965139389038086
CBX2	SOX9	0.8936991691589355
SOX9	NR5A1	0.8872420191764832
SOX9	DHH	0.8822702765464783
NR0B1	FGF9	0.8820717930793762
WT1mKTS	GATA4	0.8778776526451111
SOX9	FGF9	0.87579745054245
CBX2	WT1pKTS	0.8751015663146973
GATA4	DMRT1	0.8730469346046448
WT1mKTS	DMRT1	0.8681654334068298
GATA4	SRY	0.8650391101837158
GATA4	WT1pKTS	0.8628906011581421
CTNNB1	DMRT1	0.8593587875366211
CBX2	CTNNB1	0.8593495488166809
PGD2	AMH	0.8562930822372437
DHH	AMH	0.855555534362793
GATA4	UGR	0.8541015386581421
NR0B1	DHH	0.843924343585968
NR0B1	PGD2	0.8433266282081604
GATA4	NR0B1	0.8423827886581421
CBX2	RSPO1	0.8370934724807739
SRY	FOXL2	0.8354430198669434
NR0B1	UGR	0.82988041639328
NR5A1	SOX9	0.8298342823982239
GATA4	FOXL2	0.8255859017372131
GATA4	NR5A1	0.8171874880790709
GATA4	FGF9	0.8109375238418579
GATA4	CBX2	0.8054687380790709
WT1mKTS	WT1pKTS	0.8048561215400696
SRY	WT1pKTS	0.7992767095565796
GATA4	DKK1	0.7986328601837158
GATA4	SOX9	0.7976562976837158
DKK1	SRY	0.7967445254325867
WT1mKTS	UGR	0.7956835031509399
WT1pKTS	SRY	0.794483482837677
GATA4	AMH	0.7943359613418579
GATA4	CTNNB1	0.7933593988418579
WT1mKTS	DKK1	0.791906476020813
GATA4	PGD2	0.7892578840255737
WNT4	SOX9	0.7889081835746765
GATA4	RSPO1	0.7863281369209291
WT1mKTS	NR0B1	0.7798560857772827
GATA4	DHH	0.7789062261581421
NR5A1	WT1pKTS	0.7748619914054871
WT1mKTS	FOXL2	0.7694244980812073
WT1mKTS	CTNNB1	0.7645683288574219
SRY	UGR	0.7590416073799133
NR5A1	CBX2	0.7536832094192505
NR0B1	NR5A1	0.752390444278717
NR5A1	NR0B1	0.7490791082382202
CTNNB1	WT1pKTS	0.7473136186599731
CTNNB1	DKK1	0.7465338110923767
SRY	CTNNB1	0.7461121082305908
WT1mKTS	DHH	0.7440647482872009
FGF9	SOX9	0.7393996119499207
WT1mKTS	SOX9	0.7341727018356323
DKK1	SOX9	0.7332220673561096
WT1mKTS	SRY	0.7329136729240417
WT1mKTS	NR5A1	0.7327337861061096
DHH	SOX9	0.7305115461349487
SOX9	PGD2	0.7242963910102844
WT1mKTS	RSPO1	0.7232014536857605
WT1mKTS	FGF9	0.7188848853111267
WNT4	UGR	0.7181109189987183
WT1mKTS	AMH	0.7160071730613708
PGD2	SOX9	0.7152586579322815
WT1mKTS	CBX2	0.7142086029052734
WT1mKTS	WNT4	0.7122302055358887
WT1mKTS	PGD2	0.7068345546722412
NR5A1	FOXL2	0.7035911679267883
DMRT1	SRY	0.7029668092727661
DMRT1	SOX9	0.6842058300971985
UGR	CTNNB1	0.6838982701301575
AMH	NR0B1	0.6772640943527222
CTNNB1	SRY	0.6653380393981934
NR0B1	CBX2	0.657868504524231
RSPO1	CBX2	0.6574955582618713
SOX9	CBX2	0.648499071598053
SRY	NR5A1	0.6139239668846129
CTNNB1	NR5A1	0.6101386547088623
UGR	RSPO1	0.6013317108154297
CTNNB1	UGR	0.5987868309020996
WNT4	CBX2	0.5942807793617249
FOXL2	RSPO1	0.5884547233581543
CBX2	FOXL2	0.5805894136428833
WNT4	SRY	0.5684575438499451
WT1pKTS	NR5A1	0.5660245418548584
UGR	GATA4	0.5640436410903931
NR5A1	DMRT1	0.5631675720214844
NR5A1	DKK1	0.5628913044929504
DKK1	WNT4	0.5591819882392883
PGD2	NR0B1	0.5543103218078613
UGR	WT1mKTS	0.5535109043121338
CTNNB1	CBX2	0.5533795356750488
