Gene1	Gene2	EdgeWeight
RSPO1	NR5A1	0.011928955194999999
UGR	NR0B1	0.010456511869923888
NR5A1	CBX2	0.00894880136821111
WT1pKTS	FOXL2	0.008880296140582222
WNT4	SRY	0.008850754724305555
WNT4	UGR	0.008709896291281109
UGR	SRY	0.008218795361022222
SOX9	RSPO1	0.007905790716655555
WNT4	RSPO1	0.007475324075029444
SRY	NR0B1	0.00738852493081889
SOX9	NR5A1	0.0073099087152755544
WNT4	NR5A1	0.0069514592168444436
WNT4	NR0B1	0.006922136346455555
WNT4	SOX9	0.00669479415431111
RSPO1	CTNNB1	0.006438474196142223
DMRT1	DKK1	0.0063542362997033325
SRY	FOXL2	0.006336515171333333
NR5A1	NR0B1	0.006195336399038889
RSPO1	CBX2	0.005872080000694444
WNT4	DKK1	0.005817510758811112
WT1pKTS	SRY	0.005771702122435557
PGD2	NR0B1	0.005720007362045
DKK1	CBX2	0.005433189417340556
WNT4	DMRT1	0.005279507450816667
NR5A1	DKK1	0.0052553383203577785
DMRT1	CBX2	0.005063267107832222
NR5A1	DMRT1	0.0050402204038566675
SRY	NR5A1	0.0050249608504594435
WNT4	CTNNB1	0.0050152833940738896
NR0B1	DHH	0.004958591140592778
WT1pKTS	NR5A1	0.004958378026453335
SOX9	NR0B1	0.0049449228065888895
NR0B1	FGF9	0.004930995367889999
WT1pKTS	WNT4	0.0048247118877333345
NR5A1	CTNNB1	0.004759344777204445
SRY	DKK1	0.004701810415133333
NR0B1	AMH	0.0046051321848266675
SOX9	DKK1	0.004596031575561111
PGD2	AMH	0.004558775621756111
SRY	RSPO1	0.004543864924922222
RSPO1	NR0B1	0.0045076067369444455
UGR	CBX2	0.004443073602313889
WT1pKTS	RSPO1	0.004437520598125
PGD2	FGF9	0.004380292748410557
PGD2	DHH	0.0043652360971004455
SRY	DMRT1	0.0042587439639666675
SOX9	CTNNB1	0.004240252844786111
UGR	NR5A1	0.00417066926977
NR0B1	CBX2	0.004105596158545278
SRY	CBX2	0.0039655650120833325
NR5A1	FOXL2	0.003938948741597222
SOX9	DMRT1	0.003920217065811111
UGR	RSPO1	0.003916317626522222
DHH	AMH	0.003893321772988333
SRY	CTNNB1	0.0038523374624200002
FOXL2	CTNNB1	0.0038335933995444454
FGF9	DHH	0.003764114642663333
WT1pKTS	CBX2	0.0036890171970777783
WNT4	FOXL2	0.003580619269283889
UGR	CTNNB1	0.0034994852377833326
DMRT1	CTNNB1	0.0034762995985805558
DKK1	CTNNB1	0.0034291979961500003
CTNNB1	CBX2	0.003390330580472778
RSPO1	DKK1	0.003366243928494445
FOXL2	CBX2	0.0033567901711077782
RSPO1	DMRT1	0.003321308738244444
RSPO1	FOXL2	0.0033203074892372217
NR0B1	CTNNB1	0.003304660565905556
FGF9	AMH	0.0032862713996902773
WT1pKTS	CTNNB1	0.00326200700329
NR0B1	FOXL2	0.0032366212750555554
SRY	SOX9	0.0031419830056166665
NR0B1	DMRT1	0.003088047043138889
WNT4	CBX2	0.0029718186761194445
SOX9	PGD2	0.002966911184933333
NR0B1	DKK1	0.002907991108542222
WT1pKTS	DMRT1	0.0028692593665333326
SOX9	FOXL2	0.0028679870109
FOXL2	DMRT1	0.0028636982978444444
PGD2	NR5A1	0.002839441251883111
NR5A1	FGF9	0.0028379902262527772
