,LRP,source_gene,target_gene
1,0.0006865765,CBX2,AMH
2,0.0013844142,CTNNB1,AMH
3,0.0003554094,DHH,AMH
4,0.0011046759,DKK1,AMH
5,0.0012680414,DMRT1,AMH
6,0.00056155527,FGF9,AMH
7,0.0021912733,FOXL2,AMH
8,0.00011781195,GATA4,AMH
9,0.00087067566,NR0B1,AMH
10,0.00070488127,NR5A1,AMH
11,0.00010442803,PGD2,AMH
12,0.0005919115,RSPO1,AMH
13,0.0012771775,SOX9,AMH
14,0.00031437498,SRY,AMH
15,0.00019194942,UGR,AMH
16,0.0006421823,WNT4,AMH
17,0.00018019212,WT1mKTS,AMH
18,0.0024344702,WT1pKTS,AMH
21,0.003719762,CTNNB1,CBX2
22,0.00223319,DHH,CBX2
23,0.0013566011,DKK1,CBX2
24,0.0026910915,DMRT1,CBX2
25,0.0003508782,FGF9,CBX2
26,0.010509307,FOXL2,CBX2
27,0.00093229825,GATA4,CBX2
28,0.0023775634,NR0B1,CBX2
29,0.006152436,NR5A1,CBX2
30,0.00025671365,PGD2,CBX2
31,0.0031647412,RSPO1,CBX2
32,0.0009227458,SOX9,CBX2
33,0.008461588,SRY,CBX2
34,0.0022688017,UGR,CBX2
35,0.00048444688,WNT4,CBX2
36,0.00018107033,WT1mKTS,CBX2
37,0.01198546,WT1pKTS,CBX2
41,0.0037948322,DHH,CTNNB1
42,0.0014079723,DKK1,CTNNB1
43,0.0037015898,DMRT1,CTNNB1
44,0.0021898649,FGF9,CTNNB1
45,0.011955465,FOXL2,CTNNB1
46,0.0024967957,GATA4,CTNNB1
47,0.004651101,NR0B1,CTNNB1
48,0.0024742484,NR5A1,CTNNB1
49,0.00081796513,PGD2,CTNNB1
50,0.0015049579,RSPO1,CTNNB1
51,0.0032438491,SOX9,CTNNB1
52,0.008306625,SRY,CTNNB1
53,0.003430151,UGR,CTNNB1
54,0.00150367,WNT4,CTNNB1
55,0.0015881457,WT1mKTS,CTNNB1
56,0.013743868,WT1pKTS,CTNNB1
61,0.0011723685,DKK1,DHH
62,0.0010764033,DMRT1,DHH
63,8.6298074e-05,FGF9,DHH
64,0.0037767435,FOXL2,DHH
65,0.00015250116,GATA4,DHH
66,0.001050985,NR0B1,DHH
67,0.002251775,NR5A1,DHH
68,0.00044568395,PGD2,DHH
69,0.0008959339,RSPO1,DHH
70,0.0016405201,SOX9,DHH
71,0.0019364206,SRY,DHH
72,0.0009702983,UGR,DHH
73,0.001698001,WNT4,DHH
74,0.00031114597,WT1mKTS,DHH
75,0.003443191,WT1pKTS,DHH
81,0.0022439775,DMRT1,DKK1
82,0.0004713158,FGF9,DKK1
83,0.0066448227,FOXL2,DKK1
84,0.0005199102,GATA4,DKK1
85,0.0027725445,NR0B1,DKK1
86,0.0027256652,NR5A1,DKK1
87,0.00027107436,PGD2,DKK1
88,0.0020796135,RSPO1,DKK1
89,0.0025538176,SOX9,DKK1
90,0.006436254,SRY,DKK1
91,0.00037310872,UGR,DKK1
92,0.0021922966,WNT4,DKK1
93,0.00031166553,WT1mKTS,DKK1
94,0.005251376,WT1pKTS,DKK1
101,0.0005891438,FGF9,DMRT1
102,0.009842092,FOXL2,DMRT1
103,0.0006490529,GATA4,DMRT1
104,0.0010814293,NR0B1,DMRT1
105,0.001139458,NR5A1,DMRT1
106,0.00056235155,PGD2,DMRT1
107,0.0030784735,RSPO1,DMRT1
108,0.0020679599,SOX9,DMRT1
109,0.008226905,SRY,DMRT1
110,0.0011413197,UGR,DMRT1
111,0.0013985719,WNT4,DMRT1
112,0.0004311969,WT1mKTS,DMRT1
113,0.0064776135,WT1pKTS,DMRT1
121,0.001593096,FOXL2,FGF9
122,8.513647e-05,GATA4,FGF9
123,0.00042968514,NR0B1,FGF9
124,0.0013232656,NR5A1,FGF9
125,0.0003272691,PGD2,FGF9
126,0.0010486986,RSPO1,FGF9
127,0.0008563423,SOX9,FGF9
128,0.00059041986,SRY,FGF9
129,0.0009028184,UGR,FGF9
130,0.0005950496,WNT4,FGF9
131,6.89125e-05,WT1mKTS,FGF9
132,0.00074323005,WT1pKTS,FGF9
141,0.003278559,GATA4,FOXL2
142,0.007804734,NR0B1,FOXL2
143,0.0057636607,NR5A1,FOXL2
144,0.0013160212,PGD2,FOXL2
145,0.00044786988,RSPO1,FOXL2
146,0.008902058,SOX9,FOXL2
147,0.023672106,SRY,FOXL2
148,0.0021079015,UGR,FOXL2
149,0.0042963335,WNT4,FOXL2
150,0.001997723,WT1mKTS,FOXL2
151,0.03297443,WT1pKTS,FOXL2
161,0.00028291327,NR0B1,GATA4
162,0.0023446805,NR5A1,GATA4
163,0.00065970025,PGD2,GATA4
164,0.00285206,RSPO1,GATA4
165,0.0020429725,SOX9,GATA4
166,0.0009781393,SRY,GATA4
167,0.00066610164,UGR,GATA4
168,0.0010885505,WNT4,GATA4
169,0.00018257326,WT1mKTS,GATA4
170,0.0016513261,WT1pKTS,GATA4
181,0.005680485,NR5A1,NR0B1
182,0.0010362924,PGD2,NR0B1
183,0.003032191,RSPO1,NR0B1
184,0.0035032115,SOX9,NR0B1
185,0.0035511595,SRY,NR0B1
186,0.0036614377,UGR,NR0B1
187,0.0020802405,WNT4,NR0B1
188,0.0011821227,WT1mKTS,NR0B1
189,0.006599976,WT1pKTS,NR0B1
201,0.00085333246,PGD2,NR5A1
202,0.006769844,RSPO1,NR5A1
203,0.009945509,SOX9,NR5A1
204,0.009972022,SRY,NR5A1
205,0.0052802335,UGR,NR5A1
206,0.0014954793,WNT4,NR5A1
207,0.0024928004,WT1mKTS,NR5A1
208,0.007109014,WT1pKTS,NR5A1
221,0.0006230307,RSPO1,PGD2
222,0.00075270305,SOX9,PGD2
223,0.0010251662,SRY,PGD2
224,0.0005966694,UGR,PGD2
225,0.0006499699,WNT4,PGD2
226,0.00033137933,WT1mKTS,PGD2
227,0.00086619466,WT1pKTS,PGD2
241,0.005274128,SOX9,RSPO1
242,0.0042169387,SRY,RSPO1
243,0.0029959658,UGR,RSPO1
244,0.00156838,WNT4,RSPO1
245,0.0018893045,WT1mKTS,RSPO1
246,0.001758812,WT1pKTS,RSPO1
261,0.0023957377,SRY,SOX9
262,0.0011117681,UGR,SOX9
263,0.0012213679,WNT4,SOX9
264,0.0017645583,WT1mKTS,SOX9
265,0.008813988,WT1pKTS,SOX9
281,0.0038034276,UGR,SRY
282,0.0036586407,WNT4,SRY
283,0.0016729758,WT1mKTS,SRY
284,0.021687541,WT1pKTS,SRY
301,0.0073240544,WNT4,UGR
302,0.0005264783,WT1mKTS,UGR
303,0.0020797055,WT1pKTS,UGR
321,0.00074930984,WT1mKTS,WNT4
322,0.005467353,WT1pKTS,WNT4
341,0.0022079078,WT1pKTS,WT1mKTS
