Gene1,Gene2,EdgeWeight
NR5A1,AMH,2.018109989876393e-05
NR0B1,CTNNB1,2.007746843446512e-05
CTNNB1,WNT4,1.997659092012327e-05
WT1pKTS,PGD2,1.990290911635384e-05
DMRT1,SOX9,1.9743480152101256e-05
NR0B1,GATA4,1.971474557649344e-05
NR0B1,FOXL2,1.9197903384338133e-05
UGR,DMRT1,1.9129609427182004e-05
SRY,PGD2,1.902595795399975e-05
FOXL2,SOX9,1.899829294416122e-05
SRY,RSPO1,1.883130062196869e-05
DKK1,NR5A1,1.8669094060896896e-05
WT1mKTS,GATA4,1.8544154954724945e-05
WNT4,NR5A1,1.8387676391284916e-05
UGR,CBX2,1.8101240129908547e-05
CTNNB1,SRY,1.8000604541157372e-05
FOXL2,UGR,1.7729909814079292e-05
DHH,PGD2,1.7577598555362783e-05
FGF9,NR5A1,1.7442027456127107e-05
DHH,CBX2,1.7299415048910305e-05
DMRT1,RSPO1,1.7190830476465635e-05
RSPO1,GATA4,1.712415541987866e-05
PGD2,RSPO1,1.7056023352779448e-05
WNT4,DMRT1,1.6942651200224645e-05
CTNNB1,PGD2,1.6818483345559798e-05
DHH,SRY,1.676039391895756e-05
NR5A1,CBX2,1.6568059436394833e-05
NR5A1,DMRT1,1.6485160813317634e-05
UGR,SRY,1.6414111087215133e-05
SOX9,DKK1,1.641183189349249e-05
SOX9,NR5A1,1.636841807339806e-05
NR0B1,CBX2,1.6316078472300433e-05
CBX2,DKK1,1.58075345098041e-05
WT1mKTS,AMH,1.5627389075234532e-05
NR0B1,PGD2,1.5535268175881356e-05
CBX2,CTNNB1,1.5273088138201274e-05
UGR,WT1mKTS,1.5267123671947047e-05
SOX9,CBX2,1.5100717064342462e-05
SRY,NR5A1,1.5097863069968298e-05
UGR,DHH,1.4895338608766906e-05
NR0B1,FGF9,1.4537215974996798e-05
WNT4,DHH,1.4531862689182162e-05
DMRT1,WT1pKTS,1.4475303032668307e-05
PGD2,CBX2,1.44046098284889e-05
UGR,NR0B1,1.4223596735973842e-05
FGF9,CTNNB1,1.4212670066626742e-05
RSPO1,SOX9,1.4179178833728656e-05
WT1mKTS,RSPO1,1.3695065717911348e-05
DKK1,RSPO1,1.3562323147198184e-05
FGF9,PGD2,1.3510285498341544e-05
NR5A1,WT1pKTS,1.3443694115267135e-05
CTNNB1,GATA4,1.3239043255452998e-05
