Gene1,Gene2,EdgeWeight
GATA4,AMH,0.9839527010917664
CTNNB1,AMH,0.9808031320571899
UGR,SRY,0.980796217918396
CTNNB1,NR0B1,0.9779512882232666
SRY,NR5A1,0.9746571779251099
CTNNB1,RSPO1,0.9743408560752869
CTNNB1,WT1pKTS,0.9732421636581421
CTNNB1,CBX2,0.9701265692710876
NR5A1,AMH,0.9686073064804077
GATA4,NR5A1,0.9674751162528992
NR5A1,NR0B1,0.9666215777397156
UGR,AMH,0.9665893912315369
SRY,AMH,0.9648886919021606
UGR,GATA4,0.9637332558631897
WNT4,NR0B1,0.9631731510162354
WNT4,WT1pKTS,0.9622082114219666
WNT4,AMH,0.9620636105537415
FGF9,WNT4,0.9618160128593445
GATA4,SRY,0.9608443975448608
UGR,NR0B1,0.9576978087425232
GATA4,SOX9,0.956578254699707
WNT4,CBX2,0.9560613036155701
SRY,WT1mKTS,0.9559653997421265
DKK1,WNT4,0.9548521041870117
UGR,NR5A1,0.9548164010047913
DKK1,RSPO1,0.9546689987182617
FOXL2,DMRT1,0.9532529711723328
NR0B1,WNT4,0.9511808753013611
UGR,WT1mKTS,0.9487035870552063
UGR,SOX9,0.9486722946166992
RSPO1,WNT4,0.9417369961738586
NR5A1,SOX9,0.94112628698349
SOX9,DMRT1,0.9409722089767456
SRY,GATA4,0.9373302459716797
GATA4,NR0B1,0.9367619752883911
CTNNB1,SOX9,0.9364621639251709
SRY,SOX9,0.9338787794113159
NR0B1,AMH,0.9329456686973572
UGR,WT1pKTS,0.9321157336235046
FOXL2,CTNNB1,0.9312965273857117
NR5A1,WT1pKTS,0.9298601746559143
GATA4,WT1mKTS,0.9221662282943726
SOX9,DKK1,0.9191756248474121
SOX9,AMH,0.9134002923965454
WNT4,RSPO1,0.9114956855773926
PGD2,WNT4,0.9079228639602661
NR5A1,CBX2,0.9068516492843628
CBX2,WNT4,0.9063790440559387
WNT4,SOX9,0.9022390246391296
WT1mKTS,WT1pKTS,0.9016718864440918
SOX9,CTNNB1,0.8938687443733215
WT1mKTS,SRY,0.8916923999786377
NR5A1,SRY,0.8905016183853149
WT1mKTS,NR0B1,0.890326976776123
DMRT1,WNT4,0.8872511386871338
WNT4,SRY,0.8825820684432983
SRY,UGR,0.881937563419342
CBX2,AMH,0.8816860318183899
UGR,CBX2,0.881027102470398
DMRT1,DKK1,0.8805550932884216
WT1mKTS,CBX2,0.8762836456298828
SRY,NR0B1,0.8687145113945007
WT1mKTS,AMH,0.8606335520744324
NR0B1,CTNNB1,0.8579350113868713
AMH,WNT4,0.852556586265564
FOXL2,DKK1,0.8481723666191101
WT1mKTS,GATA4,0.8481193780899048
PGD2,CTNNB1,0.8453149199485779
SOX9,NR0B1,0.8436753749847412
PGD2,AMH,0.8410468697547913
GATA4,WNT4,0.8266961574554443
CTNNB1,WNT4,0.826587975025177
CTNNB1,SRY,0.8249638080596924
GATA4,UGR,0.8247753977775574
CTNNB1,FOXL2,0.8229392170906067
WT1mKTS,SOX9,0.8223304748535156
NR0B1,NR5A1,0.820806086063385
NR5A1,RSPO1,0.8194034695625305
PGD2,NR5A1,0.8187283277511597
FGF9,AMH,0.8176082372665405
FOXL2,NR5A1,0.8163828253746033
DMRT1,CTNNB1,0.8157118558883667
FOXL2,PGD2,0.8105748295783997
FOXL2,DHH,0.810459554195404
SOX9,WNT4,0.807995080947876
DMRT1,AMH,0.8031853437423706
GATA4,WT1pKTS,0.7939965128898621
SOX9,NR5A1,0.7936624884605408
WT1mKTS,NR5A1,0.7921673655509949
SOX9,DHH,0.7884167432785034
FOXL2,WNT4,0.7858390808105469
NR0B1,SOX9,0.7854418158531189
SOX9,PGD2,0.7826493382453918
FOXL2,AMH,0.7685992121696472
DKK1,AMH,0.7614609003067017
FOXL2,SOX9,0.7518835663795471
NR5A1,FOXL2,0.7439968585968018
SRY,WNT4,0.7392744421958923
WNT4,FOXL2,0.7377472519874573
WT1mKTS,UGR,0.7322437167167664
NR5A1,GATA4,0.7170795798301697
FGF9,CTNNB1,0.7155814170837402
AMH,SOX9,0.7058793306350708
WNT4,NR5A1,0.7037943601608276
PGD2,SOX9,0.7010469436645508
DMRT1,SOX9,0.6913886070251465
AMH,CTNNB1,0.6899818778038025
WT1mKTS,FOXL2,0.6841579675674438
DMRT1,RSPO1,0.6815048456192017
GATA4,CBX2,0.6807416677474976
SOX9,FGF9,0.6707144379615784
WNT4,GATA4,0.6677821278572083
SOX9,RSPO1,0.6655340194702148
AMH,RSPO1,0.6617985963821411
CTNNB1,NR5A1,0.6572158336639404
NR5A1,WNT4,0.6545305252075195
CBX2,NR5A1,0.6536610126495361
AMH,NR0B1,0.6476787328720093
WT1mKTS,RSPO1,0.6449595093727112
AMH,DKK1,0.6364744901657104
DKK1,CBX2,0.6332247257232666
NR0B1,DKK1,0.6290321350097656
AMH,NR5A1,0.6167995929718018
CBX2,RSPO1,0.6076685786247253
FGF9,NR5A1,0.6076329946517944
NR5A1,WT1mKTS,0.6064891815185547
SRY,WT1pKTS,0.6053876876831055
CBX2,SOX9,0.5964084267616272
RSPO1,CTNNB1,0.5935194492340088
RSPO1,AMH,0.5874934196472168
RSPO1,DKK1,0.5832812190055847
UGR,WNT4,0.582467257976532
UGR,FOXL2,0.5784191489219666
PGD2,WT1mKTS,0.5581850409507751
WNT4,UGR,0.5561339855194092
WNT4,WT1mKTS,0.5464194416999817
CBX2,UGR,0.5431317687034607
SOX9,FOXL2,0.5367807745933533
SRY,CTNNB1,0.5296112895011902
CBX2,NR0B1,0.5238071084022522
DMRT1,NR5A1,0.5233893394470215
DMRT1,DHH,0.5218192934989929
NR5A1,UGR,0.5210028290748596
DKK1,WT1pKTS,0.5154895186424255
PGD2,DMRT1,0.5151079893112183
NR0B1,DMRT1,0.5114442110061646
FGF9,UGR,0.5107960104942322
DMRT1,PGD2,0.5104035139083862
PGD2,DKK1,0.5094431042671204
CBX2,SRY,0.4977315366268158
CBX2,CTNNB1,0.4939553141593933
FOXL2,FGF9,0.4891412556171417
WT1mKTS,WNT4,0.48742127418518066
PGD2,UGR,0.47157377004623413
DMRT1,NR0B1,0.46786442399024963
CBX2,WT1mKTS,0.46692705154418945
FGF9,SOX9,0.4637412428855896
SOX9,SRY,0.46324586868286133
AMH,SRY,0.46104568243026733
AMH,DMRT1,0.45928213000297546
NR0B1,WT1mKTS,0.4403759241104126
GATA4,CTNNB1,0.43894800543785095
SRY,CBX2,0.4376738667488098
DMRT1,FGF9,0.4370681941509247
FOXL2,NR0B1,0.4318004548549652
FGF9,WT1mKTS,0.4312664270401001
RSPO1,UGR,0.4308626651763916
NR0B1,RSPO1,0.4270850419998169
FGF9,DKK1,0.42255550622940063
GATA4,RSPO1,0.41824162006378174
CTNNB1,GATA4,0.41648343205451965
NR0B1,UGR,0.41631701588630676
UGR,RSPO1,0.4152893126010895
NR0B1,SRY,0.41157737374305725
FOXL2,WT1mKTS,0.41066429018974304
FGF9,RSPO1,0.4053887724876404
AMH,UGR,0.4052954912185669
PGD2,SRY,0.39950400590896606
SOX9,WT1pKTS,0.376920610666275
CTNNB1,UGR,0.3743705749511719
DKK1,NR0B1,0.37328848242759705
AMH,CBX2,0.3684408664703369
AMH,WT1pKTS,0.3638005256652832
GATA4,FOXL2,0.36299845576286316
CTNNB1,WT1mKTS,0.3540705740451813
AMH,WT1mKTS,0.34598037600517273
SOX9,CBX2,0.3415699303150177
CBX2,WT1pKTS,0.3354010283946991
CTNNB1,DKK1,0.3247951567173004
SOX9,GATA4,0.32472458481788635
SOX9,WT1mKTS,0.324402391910553
PGD2,NR0B1,0.31684261560440063
DKK1,CTNNB1,0.30632755160331726
