Gene1,Gene2,EdgeWeight
FOXL2,WT1pKTS,0.012555759852840557
RSPO1,WNT4,0.012192230216848149
SRY,WNT4,0.010318069943738888
NR5A1,RSPO1,0.009995357358227777
SRY,UGR,0.009043361365824815
NR0B1,WNT4,0.009006294654497779
NR0B1,SRY,0.008867143222226575
NR5A1,SOX9,0.008494321378724074
CTNNB1,RSPO1,0.00840581951748074
NR0B1,UGR,0.008074263306454815
CBX2,NR5A1,0.007466801473577778
DKK1,DMRT1,0.007313828004839149
UGR,WNT4,0.007078617327865741
SRY,WT1pKTS,0.006955452577098148
SOX9,WNT4,0.006714515834672223
CTNNB1,SRY,0.006543367658961296
FOXL2,NR5A1,0.006431831371182963
RSPO1,SOX9,0.006298921411016296
CTNNB1,NR5A1,0.006256510355797963
DMRT1,SRY,0.00618333503433926
DKK1,SRY,0.006139061456172778
CTNNB1,WNT4,0.00608282370017463
FOXL2,SRY,0.00604344952467537
CBX2,UGR,0.005943169427748888
CBX2,WNT4,0.00593863497969074
CBX2,RSPO1,0.005919380740838889
NR5A1,WT1pKTS,0.005907875964398148
CTNNB1,DKK1,0.005886334299249074
NR5A1,SRY,0.005842138064298148
RSPO1,SRY,0.005712466042113889
CTNNB1,DMRT1,0.005690479547516667
AMH,NR0B1,0.005614573125113333
DHH,NR0B1,0.005527554240015926
CTNNB1,WT1pKTS,0.0054166206597537035
FOXL2,SOX9,0.005376510641686667
CBX2,NR0B1,0.005266172879692593
NR0B1,RSPO1,0.005256250538387778
CBX2,SRY,0.005081252642236111
CTNNB1,SOX9,0.005070395315554629
SOX9,SRY,0.005061463211996296
CBX2,DKK1,0.005053276198056667
DMRT1,WNT4,0.0049932969165475925
NR5A1,WNT4,0.004918322292035926
NR0B1,PGD2,0.004900819999902778
GATA4,WT1pKTS,0.0048990646291574074
SOX9,WT1pKTS,0.004894085620255
GATA4,WNT4,0.004879875588108149
FGF9,NR0B1,0.004847708304607407
GATA4,WT1mKTS,0.00483512972922889
GATA4,SRY,0.0047587979141898145
DMRT1,RSPO1,0.004751049263837037
DMRT1,WT1pKTS,0.004704215128057408
RSPO1,WT1pKTS,0.0046006823242359255
DMRT1,FOXL2,0.004596940441098889
NR0B1,NR5A1,0.004584213913242962
