Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	0.0548416711390018
Scl	Fli1	0.0547871142625808
Fli1	Scl	0.0547814629971981
Scl	Fog1	0.0547767542302608
EgrNab	cJun	0.0547736585140228
Eklf	Fli1	0.0547709837555885
cJun	Pu1	0.0547686628997325
Gata1	Fli1	0.0547419339418411
cJun	EgrNab	0.0547411292791366
Gfi1	Fli1	0.0547312721610069
Fli1	Fog1	0.0547307543456554
Gfi1	cJun	0.0547284521162509
cJun	Fli1	0.0547257922589778
Eklf	Fog1	0.054725706577301
Fog1	Fli1	0.0547255761921405
Fog1	Gata1	0.0547232292592525
Eklf	Scl	0.054722823202609995
Gfi1	EgrNab	0.0547197274863719
Eklf	cJun	0.0547163672745227
Cebpa	Pu1	0.0547127164900302
Gata1	Fog1	0.0547122247517108
cJun	Gfi1	0.0547097101807594
Pu1	Gata2	0.0547094978392124
Cebpa	Gfi1	0.0547085367143154
cJun	Gata1	0.0547049194574356
Gata1	Eklf	0.0547043271362781
EgrNab	Eklf	0.0547041557729244
EgrNab	Gata2	0.0547029040753841
Pu1	Eklf	0.0546976439654827
EgrNab	Pu1	0.0546944476664066
Pu1	Gfi1	0.0546903274953365
Eklf	Gfi1	0.0546902269124984
Gfi1	Pu1	0.0546897314488887
EgrNab	Gata1	0.0546892918646335
Fog1	Eklf	0.0546886697411537
Cebpa	EgrNab	0.0546885803341865
EgrNab	Scl	0.0546858794987201
Scl	Eklf	0.0546853803098201
Gata2	Gata1	0.0546838156878948
Fog1	Scl	0.0546823516488075
Scl	Gata1	0.0546805597841739
Scl	Pu1	0.0546781942248344
EgrNab	Gfi1	0.0546751506626606
Scl	cJun	0.0546750128269195
Fli1	Eklf	0.054674245417117996
Fog1	Gfi1	0.0546722188591957
Gfi1	Scl	0.0546705834567546
Gata2	Fog1	0.054667692631483
Fli1	Gata2	0.054667018353939
Fli1	cJun	0.054666668176650994
Cebpa	Eklf	0.0546664483845233
Fog1	EgrNab	0.0546661838889122
Eklf	Pu1	0.0546651743352413
Fog1	Cebpa	0.0546649433672428
Gata2	EgrNab	0.0546643249690532
Gfi1	Eklf	0.0546637400984764
Eklf	Gata2	0.0546629950404167
Cebpa	cJun	0.0546628758311271
EgrNab	Cebpa	0.0546604208648204
Gata1	Scl	0.0546582378447055
Fli1	EgrNab	0.05465729534626001
Gata1	EgrNab	0.0546572767198085
Gata2	Fli1	0.054657232016325
Scl	Gata2	0.0546572022140026
Gata2	cJun	0.0546551123261451
cJun	Fog1	0.0546547137200832
Eklf	EgrNab	0.0546516813337802
Pu1	Fog1	0.0546510256826877
Pu1	EgrNab	0.0546495579183101
Gfi1	Gata2	0.0546487383544445
Gata2	Pu1	0.0546484589576721
Fog1	Pu1	0.05464843288064
Cebpa	Gata2	0.0546455793082714
Eklf	Gata1	0.0546447150409221
Eklf	Cebpa	0.0546437911689281
Gata1	Gfi1	0.0546437241137027
Pu1	cJun	0.0546435564756393
Gata1	Gata2	0.0546328276395797
Fli1	Gfi1	0.0546282194554805
Cebpa	Scl	0.0546277910470962
Gata2	Cebpa	0.0546238720417022
Scl	Gfi1	0.0546234957873821
Fli1	Gata1	0.0546231009066104
Scl	Cebpa	0.054621510207653
Gata2	Gfi1	0.0546135641634464
Pu1	Cebpa	0.0546113699674606
Cebpa	Fli1	0.05460761860013
cJun	Scl	0.0546016655862331
Gata2	Scl	0.0545967780053615
Fli1	Cebpa	0.0545904226601123
Gfi1	Fog1	0.0545899681746959
Gata1	cJun	0.0545894242823123
Gata2	Eklf	0.0545866377651691
Fog1	Gata2	0.054581306874751996
Pu1	Scl	0.0545792616903781
Cebpa	Gata1	0.0545766912400722
Gata1	Cebpa	0.0545766465365886
EgrNab	Fli1	0.0545764043927192
Pu1	Fli1	0.0545700676739215
cJun	Eklf	0.0545668378472328
EgrNab	Fog1	0.0545658096671104
cJun	Cebpa	0.0545618198812007
Fog1	cJun	0.0545608215034008
cJun	Gata2	0.0545486882328987
Scl	EgrNab	0.0545484162867069
Cebpa	Fog1	0.0545373633503913
Fli1	Pu1	0.0545341372489929
Pu1	Gata1	0.054533801972865996
Gfi1	Gata1	0.0545305609703063
Gata1	Pu1	0.0544942431151866
