TF	Target	EdgeWeight
Gfi1	Cebpa	0.054841671139001846
Scl	Fli1	0.05478711426258087
Fli1	Scl	0.054781462997198105
Scl	Fog1	0.05477675423026085
EgrNab	cJun	0.05477365851402283
Eklf	Fli1	0.05477098375558853
cJun	Pu1	0.05476866289973259
Gata1	Fli1	0.054741933941841125
cJun	EgrNab	0.05474112927913666
Gfi1	Fli1	0.05473127216100693
Fli1	Fog1	0.05473075434565544
Gfi1	cJun	0.05472845211625099
cJun	Fli1	0.05472579225897789
Eklf	Fog1	0.054725706577301025
Fog1	Fli1	0.05472557619214058
Fog1	Gata1	0.05472322925925255
Eklf	Scl	0.054722823202610016
Gfi1	EgrNab	0.054719727486371994
Eklf	cJun	0.05471636727452278
Cebpa	Pu1	0.05471271649003029
Gata1	Fog1	0.05471222475171089
cJun	Gfi1	0.05470971018075943
Pu1	Gata2	0.05470949783921242
Cebpa	Gfi1	0.054708536714315414
cJun	Gata1	0.05470491945743561
Gata1	Eklf	0.05470432713627815
EgrNab	Eklf	0.05470415577292442
EgrNab	Gata2	0.05470290407538414
Pu1	Eklf	0.05469764396548271
EgrNab	Pu1	0.05469444766640663
Pu1	Gfi1	0.05469032749533653
Eklf	Gfi1	0.054690226912498474
Gfi1	Pu1	0.05468973144888878
EgrNab	Gata1	0.05468929186463356
Fog1	Eklf	0.05468866974115372
Cebpa	EgrNab	0.054688580334186554
EgrNab	Scl	0.05468587949872017
Scl	Eklf	0.054685380309820175
Gata2	Gata1	0.05468381568789482
Fog1	Scl	0.054682351648807526
Scl	Gata1	0.054680559784173965
Scl	Pu1	0.05467819422483444
EgrNab	Gfi1	0.0546751506626606
Scl	cJun	0.054675012826919556
Fli1	Eklf	0.05467424541711807
Fog1	Gfi1	0.05467221885919571
Gfi1	Scl	0.054670583456754684
Gata2	Fog1	0.05466769263148308
Fli1	Gata2	0.054667018353939056
Fli1	cJun	0.054666668176651
Cebpa	Eklf	0.05466644838452339
Fog1	EgrNab	0.0546661838889122
Eklf	Pu1	0.05466517433524132
Fog1	Cebpa	0.05466494336724281
Gata2	EgrNab	0.05466432496905327
Gfi1	Eklf	0.05466374009847641
Eklf	Gata2	0.05466299504041672
Cebpa	cJun	0.05466287583112717
EgrNab	Cebpa	0.05466042086482048
Gata1	Scl	0.05465823784470558
Fli1	EgrNab	0.05465729534626007
Gata1	EgrNab	0.05465727671980858
Gata2	Fli1	0.054657232016325
Scl	Gata2	0.05465720221400261
Gata2	cJun	0.05465511232614517
cJun	Fog1	0.05465471372008324
Eklf	EgrNab	0.05465168133378029
Pu1	Fog1	0.05465102568268776
Pu1	EgrNab	0.054649557918310165
Gfi1	Gata2	0.054648738354444504
Gata2	Pu1	0.05464845895767212
Fog1	Pu1	0.05464843288064003
Cebpa	Gata2	0.05464557930827141
Eklf	Gata1	0.054644715040922165
Eklf	Cebpa	0.054643791168928146
Gata1	Gfi1	0.054643724113702774
Pu1	cJun	0.05464355647563934
Gata1	Gata2	0.05463282763957977
Fli1	Gfi1	0.054628219455480576
Cebpa	Scl	0.05462779104709625
Gata2	Cebpa	0.05462387204170227
Scl	Gfi1	0.054623495787382126
Fli1	Gata1	0.05462310090661049
Scl	Cebpa	0.054621510207653046
Gata2	Gfi1	0.054613564163446426
Pu1	Cebpa	0.05461136996746063
Cebpa	Fli1	0.05460761860013008
cJun	Scl	0.05460166558623314
Gata2	Scl	0.05459677800536156
Fli1	Cebpa	0.05459042266011238
Gfi1	Fog1	0.05458996817469597
Gata1	cJun	0.05458942428231239
Gata2	Eklf	0.054586637765169144
Fog1	Gata2	0.054581306874752045
Pu1	Scl	0.05457926169037819
Cebpa	Gata1	0.05457669124007225
Gata1	Cebpa	0.05457664653658867
EgrNab	Fli1	0.05457640439271927
Pu1	Fli1	0.054570067673921585
cJun	Eklf	0.05456683784723282
EgrNab	Fog1	0.05456580966711044
cJun	Cebpa	0.05456181988120079
Fog1	cJun	0.0545608215034008
cJun	Gata2	0.05454868823289871
Scl	EgrNab	0.054548416286706924
Cebpa	Fog1	0.05453736335039139
Fli1	Pu1	0.05453413724899292
Pu1	Gata1	0.05453380197286606
Gfi1	Gata1	0.054530560970306396
Gata1	Pu1	0.05449424311518669
