TF	target	importance
Cebpa	Gfi1	0.5284471345447188
Gfi1	Cebpa	0.5054215465636526
Scl	Fog1	0.3761202177834968
cJun	EgrNab	0.37281504582192976
Fog1	Scl	0.3671444275488866
EgrNab	cJun	0.3568790390846804
Gata1	Pu1	0.3531258423875834
Pu1	Gata1	0.3377429879455044
Fli1	Eklf	0.28261781438029165
Eklf	Fli1	0.2513440332610366
Fog1	Gata1	0.2274299451282326
Gata1	Scl	0.21564813829118548
Gata1	Fog1	0.20034026470571886
Fog1	Fli1	0.19841748210808632
Scl	Fli1	0.19593140920134222
Pu1	Scl	0.19088562548731183
Fog1	Eklf	0.1889548686810565
Scl	Gata1	0.18799681410958802
Gfi1	EgrNab	0.18715453921088696
Fog1	Pu1	0.1774268707822308
Scl	Eklf	0.1755202018313955
Pu1	Fog1	0.17220347751716894
Pu1	Gata2	0.16744692835119615
Scl	Pu1	0.16348820258109156
Gata1	Gata2	0.16177133887752554
Gfi1	cJun	0.1510807637701323
Cebpa	EgrNab	0.15071746049043322
Fog1	Gata2	0.13925101803723022
Cebpa	cJun	0.13384376763678732
cJun	Cebpa	0.12892048078194468
Eklf	Gata2	0.12539957254541031
cJun	Gfi1	0.1223443467165366
Pu1	cJun	0.12224284127585416
EgrNab	Gfi1	0.11811188306857205
Fli1	Gata2	0.1126450145696418
EgrNab	Cebpa	0.11126316245301662
Gata1	Fli1	0.10216341140776433
Fli1	Fog1	0.09849985760915744
Scl	Gata2	0.09779130160274904
Gata1	Eklf	0.09205713447592914
Gata1	cJun	0.09204507646197044
Pu1	Fli1	0.09107684559629939
Pu1	EgrNab	0.0899456118039084
Pu1	Cebpa	0.08816638020976451
Fli1	Scl	0.08743945965613542
Pu1	Eklf	0.08736563628486364
Pu1	Gfi1	0.08466872263177876
Fli1	Gata1	0.08450164380127886
Gata2	Eklf	0.08202573472302967
Gata2	Pu1	0.07945538444072212
Eklf	Fog1	0.0779149317429287
Fli1	Pu1	0.07621204827604539
Gata1	EgrNab	0.07040702694558368
Eklf	Scl	0.06958798452385773
Gata2	Fli1	0.06663709184051117
Eklf	Gata1	0.06591271061597131
Cebpa	Gata2	0.06588584075931815
Eklf	Pu1	0.05403396406625957
Gfi1	Gata2	0.05247132144065873
Gata1	Cebpa	0.05090104546284179
cJun	Gata2	0.04718834279154708
Scl	cJun	0.04415439509336082
Fog1	cJun	0.043108256431485664
Gata1	Gfi1	0.042772080464799474
Fog1	Cebpa	0.03950666580513007
Gata2	Gata1	0.03752784730584196
Scl	EgrNab	0.03729834026829283
Fog1	EgrNab	0.03543914328063444
Fog1	Gfi1	0.032080474167663846
Scl	Cebpa	0.030829708480646815
cJun	Pu1	0.030593626865064064
EgrNab	Gata2	0.03014932102472297
cJun	Fli1	0.029240512944634825
cJun	Eklf	0.027684034999428127
Scl	Gfi1	0.027003438520692393
Cebpa	Fli1	0.026504058354631058
Cebpa	Eklf	0.02646429225843702
Cebpa	Pu1	0.0246319143045016
Gfi1	Pu1	0.022908460709383967
Gata2	cJun	0.022659219867389765
Gfi1	Fli1	0.022104917620133835
Gfi1	Eklf	0.022016831850890994
Cebpa	Fog1	0.021835413160037495
cJun	Gata1	0.021230813887968103
cJun	Fog1	0.021187544311300117
cJun	Scl	0.021102076248772104
Eklf	EgrNab	0.02046612825203059
Gata2	Fog1	0.018640723820587533
Gata2	Cebpa	0.018504241223633113
Gata2	Gfi1	0.01835065492665031
Cebpa	Gata1	0.018305057844559353
Fli1	EgrNab	0.018217743133985147
Fli1	cJun	0.01817610477070667
EgrNab	Pu1	0.018123685587117445
Cebpa	Scl	0.017551532383624446
Gata2	EgrNab	0.01753896079231497
EgrNab	Fli1	0.01658023766556005
Gata2	Scl	0.016545057920867242
Eklf	cJun	0.015810535607632462
EgrNab	Eklf	0.015293450514677885
Fli1	Cebpa	0.015181188262106918
Fli1	Gfi1	0.014026541122272742
Eklf	Gfi1	0.012194723836315046
Gfi1	Gata1	0.011875177996984652
Eklf	Cebpa	0.0113055807572629
Gfi1	Scl	0.009429760064226895
Gfi1	Fog1	0.008195277864697066
EgrNab	Gata1	0.00747700136407075
EgrNab	Fog1	0.0050622914849070685
EgrNab	Scl	0.004665937875132295
