Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	335.13340387657666
Gfi1	Cebpa	265.9481885409096
EgrNab	cJun	194.80124122689614
Eklf	Fli1	185.19801088468526
cJun	EgrNab	171.4425473625483
cJun	Gfi1	147.18447793700452
Fli1	Eklf	137.00172924462987
Scl	Fog1	136.88447426109312
Gfi1	cJun	135.65590433477777
Fog1	Fli1	131.2883733238427
Scl	Fli1	130.83179824767078
Gata1	Gata2	117.57126937393706
EgrNab	Cebpa	114.00435087570372
Fog1	Scl	109.73603554098202
Gata1	Scl	109.28941685682327
Gata1	Fli1	109.11442749596719
Cebpa	EgrNab	106.87185225346241
Gata1	Fog1	101.77156388598804
Gata1	Pu1	100.7523326885343
Cebpa	cJun	98.52458732650234
Pu1	Gata1	96.03562529655592
Gfi1	EgrNab	95.82659521536738
Pu1	Gata2	92.45623979827863
EgrNab	Gfi1	92.34845938054508
cJun	Cebpa	90.33217931083692
Pu1	Scl	88.17310856722199
Pu1	Fli1	87.75628293048571
Pu1	Fog1	86.83531842064602
Fog1	Gata2	86.21138691040802
Eklf	Gata2	85.97625969020233
Scl	Gata1	84.646127429987
Gata1	Eklf	84.21664163838862
Fog1	Eklf	83.6662761545167
Scl	Eklf	80.70115810295849
Scl	Pu1	80.64317312059049
Fli1	Gata2	78.6837130400877
Fog1	Gata1	73.27372400360153
Fli1	Fog1	70.90644459457322
Pu1	Eklf	68.40765708753996
Fog1	Pu1	67.41422954581073
Scl	Gata2	66.45640076684015
Fli1	Gata1	62.60332519312232
Eklf	Fog1	61.29140184507905
Eklf	Gata1	56.47892393236796
Cebpa	Fli1	47.74116231003264
Gata2	Fli1	45.740343043053294
Scl	cJun	45.18252334792431
Fli1	Pu1	44.17442056991322
EgrNab	Fli1	43.094314025700896
Gata1	Cebpa	43.021615477321646
Eklf	Scl	40.33844716031385
Gata1	cJun	40.041563473094094
Pu1	Gfi1	39.615495294022814
Gfi1	Gata2	38.0529791212443
cJun	Fli1	37.86755358442077
Cebpa	Gata2	37.55081927824039
Pu1	cJun	37.42445726157149
Gata1	Gfi1	35.130972682442376
Gata2	Pu1	35.12376892318391
Gata2	Eklf	35.064069759407616
Pu1	Cebpa	34.546949195911296
Pu1	EgrNab	33.947848947204776
Cebpa	Scl	33.35859675783245
cJun	Eklf	33.28110552315899
Fog1	Gfi1	32.95857319667827
Fli1	Scl	32.76668066589081
cJun	Pu1	32.71188565950945
Gfi1	Pu1	32.513856758530075
Fog1	cJun	32.107157206267786
cJun	Gata2	31.670992080000246
Scl	Gfi1	31.63224268761407
Eklf	Pu1	31.393447015962444
cJun	Gata1	31.25926255750461
Cebpa	Pu1	29.74929227184311
Gfi1	Fli1	29.36773415414065
Fog1	EgrNab	28.012208718258208
EgrNab	Pu1	27.523593446122238
Gata1	EgrNab	26.658093544746748
Gata2	Gata1	26.39745355031563
Cebpa	Eklf	26.143001530211848
cJun	Scl	25.524373449067888
Fog1	Cebpa	25.437444767194567
Scl	Cebpa	23.56745606406228
EgrNab	Gata2	23.369939940761213
Gfi1	Gata1	23.369564227395507
cJun	Fog1	22.941002450020598
Cebpa	Gata1	21.655314043531817
Cebpa	Fog1	20.93937068079328
Gfi1	Fog1	20.758689499926373
EgrNab	Scl	20.429581701733124
EgrNab	Eklf	19.77781369407971
Scl	EgrNab	19.38236313463461
Eklf	Gfi1	18.374260628453538
EgrNab	Fog1	18.163413366677517
Fli1	cJun	17.617153640821904
Fli1	Gfi1	17.090495366466662
Gfi1	Scl	16.979507147722455
Gfi1	Eklf	16.740547265108162
Fli1	Cebpa	15.803992594875984
EgrNab	Gata1	15.28067976561771
Eklf	Cebpa	14.992214480439568
Eklf	cJun	13.68916112414181
Gata2	cJun	12.956251058002286
Gata2	EgrNab	11.379059103037578
Fli1	EgrNab	10.769809867965726
Eklf	EgrNab	10.70962185277428
Gata2	Gfi1	9.531618950195897
Gata2	Fog1	9.508320995202807
Gata2	Scl	9.404252152412145
Gata2	Cebpa	7.345608692744258
