Gene1	Gene2	EdgeWeight
Gata1	Scl	1.0
Gata1	Pu1	1.0
cJun	EgrNab	0.999065399169922
Cebpa	Gfi1	0.994876742362976
Gfi1	Cebpa	0.9937021732330322
Gata1	Fog1	0.9918965101242064
EgrNab	cJun	0.9878926873207092
Fog1	Scl	0.9806967973709106
Pu1	Gata1	0.9772812128067015
Eklf	Fog1	0.9726262092590332
Gata2	Pu1	0.9631706476211548
Scl	Fog1	0.961531102657318
Fli1	Scl	0.9478915333747864
Gata1	Gata2	0.9462069869041444
Fli1	Fog1	0.9461847543716432
Scl	Gata1	0.9299620985984802
Eklf	Scl	0.8946464657783508
Fog1	Gata1	0.8902072906494141
Eklf	Gata1	0.839697003364563
Fli1	Eklf	0.8359438180923462
Eklf	Fli1	0.8317171931266785
Gata1	cJun	0.8265517950057983
Gata1	Eklf	0.8146551251411438
cJun	Gfi1	0.8055140376091003
Gata2	Fog1	0.8043901920318604
Fli1	Gata1	0.7985944747924805
Gata1	Fli1	0.7931034564971924
cJun	Gata1	0.7914018034934998
cJun	Cebpa	0.7852336168289185
Gata1	Cebpa	0.7836206555366516
Gata2	Gata1	0.7792682647705078
Gata1	Gfi1	0.7663792967796326
Gata1	EgrNab	0.7653448581695557
EgrNab	Gfi1	0.7487984895706177
Eklf	Gata2	0.726464569568634
Gata2	Scl	0.7260975241661072
Fli1	Gata2	0.7085341811180115
Gata2	Eklf	0.7064633369445801
EgrNab	Pu1	0.6865988373756409
Gata2	Fli1	0.6863414645195007
Pu1	EgrNab	0.6599809527397156
Pu1	Gfi1	0.6557034254074097
cJun	Pu1	0.6337382793426514
cJun	Fog1	0.6232709884643555
Gata2	cJun	0.6226829290390015
EgrNab	Cebpa	0.6026802659034729
Pu1	Gata2	0.5879277586936951
Gata2	Gfi1	0.5821951627731323
Gata2	EgrNab	0.5710975527763367
Gata2	Cebpa	0.5689023733139038
Eklf	Pu1	0.555353581905365
Fli1	Pu1	0.5545181035995483
Fog1	Pu1	0.5445386171340942
Eklf	EgrNab	0.5421212315559387
Eklf	cJun	0.5347474217414856
Fli1	Gfi1	0.5345381498336792
Fli1	Cebpa	0.5338353514671326
Fli1	EgrNab	0.5329316854476929
Fli1	cJun	0.5327308773994446
Eklf	Cebpa	0.5303030014038086
cJun	Scl	0.5292523503303528
Eklf	Gfi1	0.522020161151886
Scl	Fli1	0.5142722129821777
Gfi1	cJun	0.5025762915611267
Gfi1	Pu1	0.4962786138057709
Fog1	Eklf	0.4920903742313385
Scl	Eklf	0.491304337978363
Pu1	Scl	0.4884030222892761
Cebpa	cJun	0.4877609014511109
cJun	Gata2	0.4797196090221405
Pu1	Cebpa	0.4783270061016083
Fog1	Fli1	0.476930320262909
Fog1	Gata2	0.474952906370163
Pu1	cJun	0.47404944896698
Cebpa	Gata1	0.4727703630924225
Pu1	Fog1	0.4613117873668671
Scl	Pu1	0.4589792191982269
EgrNab	Gata1	0.4589648544788361
Gfi1	EgrNab	0.4567748010158539
EgrNab	Gata2	0.4552680253982544
Scl	Gata2	0.4509451687335968
Pu1	Eklf	0.4460075795650482
Cebpa	Pu1	0.44155600666999817
cJun	Eklf	0.4401869177818297
Cebpa	Fog1	0.4383301734924317
cJun	Fli1	0.4373831748962401
Fog1	Cebpa	0.4358757138252258
Pu1	Fli1	0.43288975954055786
Fog1	cJun	0.43060263991355896
EgrNab	Fog1	0.42994454503059387
EgrNab	Scl	0.42902034521102905
EgrNab	Fli1	0.4229205250740051
Scl	cJun	0.41918715834617615
EgrNab	Eklf	0.4175601005554199
Scl	Cebpa	0.4167296588420868
Scl	Gfi1	0.4099243879318237
Fog1	EgrNab	0.409322053194046
Scl	EgrNab	0.4068998098373413
Cebpa	EgrNab	0.4053130745887756
Cebpa	Scl	0.4040797054767609
Fog1	Gfi1	0.4033898413181305
Gfi1	Gata2	0.3834923505783081
Gfi1	Gata1	0.3777672052383423
Gfi1	Fli1	0.3612595498561859
Gfi1	Eklf	0.3606870174407959
Gfi1	Fog1	0.3604961931705475
Cebpa	Gata2	0.3601517677307129
Gfi1	Scl	0.3600190579891205
Cebpa	Eklf	0.3526565432548523
Cebpa	Fli1	0.3523719012737274
