Gene1,Gene2,EdgeWeight
Cebpa,EgrNab,0.40531307458877563
Cebpa,Eklf,0.3526565432548523
Cebpa,Fli1,0.3523719012737274
Cebpa,Fog1,0.43833017349243164
Cebpa,Gata1,0.4727703630924225
Cebpa,Gata2,0.3601517677307129
Cebpa,Gfi1,0.9948767423629761
Cebpa,Pu1,0.44155600666999817
Cebpa,Scl,0.40407970547676086
Cebpa,cJun,0.48776090145111084
EgrNab,Cebpa,0.6026802659034729
EgrNab,Eklf,0.4175601005554199
EgrNab,Fli1,0.4229205250740051
EgrNab,Fog1,0.42994454503059387
EgrNab,Gata1,0.45896485447883606
EgrNab,Gata2,0.4552680253982544
EgrNab,Gfi1,0.7487984895706177
EgrNab,Pu1,0.6865988373756409
EgrNab,Scl,0.42902034521102905
EgrNab,cJun,0.9878926873207092
Eklf,Cebpa,0.5303030014038086
Eklf,EgrNab,0.5421212315559387
Eklf,Fli1,0.8317171931266785
Eklf,Fog1,0.9726262092590332
Eklf,Gata1,0.839697003364563
Eklf,Gata2,0.726464569568634
Eklf,Gfi1,0.522020161151886
Eklf,Pu1,0.555353581905365
Eklf,Scl,0.8946464657783508
Eklf,cJun,0.5347474217414856
Fli1,Cebpa,0.5338353514671326
Fli1,EgrNab,0.5329316854476929
Fli1,Eklf,0.8359438180923462
Fli1,Fog1,0.9461847543716431
Fli1,Gata1,0.7985944747924805
Fli1,Gata2,0.7085341811180115
Fli1,Gfi1,0.5345381498336792
Fli1,Pu1,0.5545181035995483
Fli1,Scl,0.9478915333747864
Fli1,cJun,0.5327308773994446
Fog1,Cebpa,0.43587571382522583
Fog1,EgrNab,0.409322053194046
Fog1,Eklf,0.4920903742313385
Fog1,Fli1,0.47693032026290894
Fog1,Gata1,0.8902072906494141
Fog1,Gata2,0.47495290637016296
Fog1,Gfi1,0.4033898413181305
Fog1,Pu1,0.5445386171340942
Fog1,Scl,0.9806967973709106
Fog1,cJun,0.43060263991355896
Gata1,Cebpa,0.7836206555366516
Gata1,EgrNab,0.7653448581695557
Gata1,Eklf,0.8146551251411438
Gata1,Fli1,0.7931034564971924
Gata1,Fog1,0.9918965101242065
Gata1,Gata2,0.9462069869041443
Gata1,Gfi1,0.7663792967796326
Gata1,Pu1,1.0
Gata1,Scl,1.0
Gata1,cJun,0.8265517950057983
Gata2,Cebpa,0.5689023733139038
Gata2,EgrNab,0.5710975527763367
Gata2,Eklf,0.7064633369445801
Gata2,Fli1,0.6863414645195007
Gata2,Fog1,0.8043901920318604
Gata2,Gata1,0.7792682647705078
Gata2,Gfi1,0.5821951627731323
Gata2,Pu1,0.9631706476211548
Gata2,Scl,0.7260975241661072
Gata2,cJun,0.6226829290390015
Gfi1,Cebpa,0.9937021732330322
Gfi1,EgrNab,0.4567748010158539
Gfi1,Eklf,0.3606870174407959
Gfi1,Fli1,0.3612595498561859
Gfi1,Fog1,0.3604961931705475
Gfi1,Gata1,0.3777672052383423
Gfi1,Gata2,0.3834923505783081
Gfi1,Pu1,0.4962786138057709
Gfi1,Scl,0.3600190579891205
Gfi1,cJun,0.5025762915611267
Pu1,Cebpa,0.4783270061016083
Pu1,EgrNab,0.6599809527397156
Pu1,Eklf,0.4460075795650482
Pu1,Fli1,0.43288975954055786
Pu1,Fog1,0.46131178736686707
Pu1,Gata1,0.9772812128067017
Pu1,Gata2,0.5879277586936951
Pu1,Gfi1,0.6557034254074097
Pu1,Scl,0.4884030222892761
Pu1,cJun,0.47404944896698
Scl,Cebpa,0.4167296588420868
Scl,EgrNab,0.4068998098373413
Scl,Eklf,0.49130433797836304
Scl,Fli1,0.5142722129821777
Scl,Fog1,0.9615311026573181
Scl,Gata1,0.9299620985984802
Scl,Gata2,0.4509451687335968
Scl,Gfi1,0.40992438793182373
Scl,Pu1,0.45897921919822693
Scl,cJun,0.41918715834617615
cJun,Cebpa,0.7852336168289185
cJun,EgrNab,0.9990653991699219
cJun,Eklf,0.44018691778182983
cJun,Fli1,0.43738317489624023
cJun,Fog1,0.6232709884643555
cJun,Gata1,0.7914018034934998
cJun,Gata2,0.4797196090221405
cJun,Gfi1,0.8055140376091003
cJun,Pu1,0.6337382793426514
cJun,Scl,0.5292523503303528
