Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	0.21242380142211914
Cebpa	Gfi1	0.1936032921075821
Pu1	Gata1	0.1850905567407608
Fog1	Scl	0.17520155012607574
Gata1	Pu1	0.17497530579566956
Scl	Fog1	0.17085599899291992
Fog1	Gata1	0.1698209047317505
Gata1	Fog1	0.1663430482149124
EgrNab	cJun	0.1659189611673355
Gata1	Scl	0.1585051566362381
Scl	Gata1	0.15799467265605927
cJun	EgrNab	0.1554335206747055
Fli1	Scl	0.14605288207530975
Eklf	Fog1	0.14582867920398712
Fli1	Fog1	0.14417807757854462
Gata2	Pu1	0.1385623812675476
EgrNab	Gfi1	0.13427796959877014
Eklf	Scl	0.12861977517604828
Eklf	Gata1	0.12735863029956818
cJun	Gfi1	0.1232714131474495
Fli1	Gata1	0.12300916016101834
Eklf	Fli1	0.12194693833589555
Fli1	Eklf	0.12182600796222688
cJun	Cebpa	0.12145524471998215
cJun	Gata1	0.12104050815105437
Pu1	EgrNab	0.12011115998029707
EgrNab	Pu1	0.1182427853345871
Pu1	Gfi1	0.11774250864982605
Gata2	Fog1	0.11542631685733795
Gata2	Gata1	0.11322449892759325
Gfi1	Pu1	0.10504858940839767
Eklf	Gata2	0.10481784492731094
Cebpa	cJun	0.10479313880205154
Gfi1	cJun	0.1043485477566719
Gata2	Scl	0.10365503281354904
Cebpa	Gata1	0.10363521426916122
Pu1	Gata2	0.10295241326093674
Gata2	Eklf	0.1018766388297081
Fli1	Gata2	0.1012941598892212
EgrNab	Cebpa	0.10078620165586473
Gata2	Fli1	0.09848921746015547
Gfi1	EgrNab	0.09738922864198683
cJun	Pu1	0.09727287292480467
Cebpa	Fog1	0.09426645189523697
Scl	Fli1	0.09370368719100952
cJun	Fog1	0.09315428882837297
Cebpa	Pu1	0.09166988730430604
Fog1	Pu1	0.09082575887441637
Scl	Eklf	0.09050766378641127
Gata1	Gata2	0.08912936598062515
Fog1	Eklf	0.08892471343278885
Cebpa	EgrNab	0.08882766962051393
Cebpa	Scl	0.08859959989786148
Fog1	Fli1	0.08773656189441681
Fog1	Gata2	0.08663328737020493
Scl	Pu1	0.08595294505357742
Gata2	cJun	0.08529521524906157
Gfi1	Gata2	0.08493246883153915
EgrNab	Gata2	0.08461777120828629
Scl	Gata2	0.08457880467176437
cJun	Scl	0.08340126276016235
Pu1	cJun	0.08320122212171555
Pu1	Cebpa	0.08280956000089645
Gfi1	Gata1	0.08217345178127289
Gata2	Cebpa	0.08216185867786407
EgrNab	Gata1	0.08147885650396347
Gata2	Gfi1	0.08123031258583069
Pu1	Scl	0.08073931932449341
Pu1	Fog1	0.08068336546421051
Scl	cJun	0.08051816374063492
Gata2	EgrNab	0.08007858693599701
EgrNab	Fog1	0.08001302927732468
Cebpa	Gata2	0.07958173751831055
Scl	Cebpa	0.07936017960309982
Gfi1	Scl	0.07912617921829224
Scl	Gfi1	0.07898963242769241
EgrNab	Scl	0.0788581371307373
Gfi1	Fog1	0.07850848138332367
Gfi1	Fli1	0.07836436480283737
EgrNab	Eklf	0.07810302078723907
Fli1	Pu1	0.0779045820236206
Cebpa	Eklf	0.07773957401514052
EgrNab	Fli1	0.07770325243473053
Gfi1	Eklf	0.07768489420413971
Scl	EgrNab	0.07753828912973404
Cebpa	Fli1	0.07728341221809387
Fog1	Cebpa	0.07707714289426804
Fog1	cJun	0.07665280252695084
Eklf	Pu1	0.07643433660268784
Eklf	cJun	0.07544458657503128
cJun	Gata2	0.07492098957300186
Eklf	Cebpa	0.07431116700172424
Pu1	Eklf	0.07413694262504578
Fog1	Gfi1	0.07366545498371124
Fog1	EgrNab	0.07346176356077194
Eklf	Gfi1	0.07292231172323227
Pu1	Fli1	0.07253296673297882
Eklf	EgrNab	0.07231569290161133
Fli1	Gfi1	0.0722801610827446
Gata1	Fli1	0.07172362506389618
Gata1	Eklf	0.07156475633382797
Fli1	Cebpa	0.07140646129846573
Fli1	cJun	0.07127906382083893
Fli1	EgrNab	0.07076939195394516
Gata1	cJun	0.07027609646320343
Gata1	Cebpa	0.06817539781332016
cJun	Eklf	0.06579718738794328
Gata1	Gfi1	0.06529799103736877
cJun	Fli1	0.06425271928310394
Gata1	EgrNab	0.06400931626558304
