Gene1,Gene2,EdgeWeight
Cebpa,EgrNab,0.08882766962051392
Cebpa,Eklf,0.07773957401514053
Cebpa,Fli1,0.07728341221809387
Cebpa,Fog1,0.09426645189523697
Cebpa,Gata1,0.10363521426916122
Cebpa,Gata2,0.07958173751831055
Cebpa,Gfi1,0.1936032921075821
Cebpa,Pu1,0.09166988730430603
Cebpa,Scl,0.08859959989786148
Cebpa,cJun,0.10479313880205154
EgrNab,Cebpa,0.10078620165586472
EgrNab,Eklf,0.07810302078723907
EgrNab,Fli1,0.07770325243473053
EgrNab,Fog1,0.08001302927732468
EgrNab,Gata1,0.08147885650396347
EgrNab,Gata2,0.08461777120828629
EgrNab,Gfi1,0.13427796959877014
EgrNab,Pu1,0.1182427853345871
EgrNab,Scl,0.0788581371307373
EgrNab,cJun,0.1659189611673355
Eklf,Cebpa,0.07431116700172424
Eklf,EgrNab,0.07231569290161133
Eklf,Fli1,0.12194693833589554
Eklf,Fog1,0.14582867920398712
Eklf,Gata1,0.12735863029956818
Eklf,Gata2,0.10481784492731094
Eklf,Gfi1,0.07292231172323227
Eklf,Pu1,0.07643433660268784
Eklf,Scl,0.12861977517604828
Eklf,cJun,0.07544458657503128
Fli1,Cebpa,0.07140646129846573
Fli1,EgrNab,0.07076939195394516
Fli1,Eklf,0.12182600796222687
Fli1,Fog1,0.14417807757854462
Fli1,Gata1,0.12300916016101837
Fli1,Gata2,0.10129415988922119
Fli1,Gfi1,0.0722801610827446
Fli1,Pu1,0.0779045820236206
Fli1,Scl,0.14605288207530975
Fli1,cJun,0.07127906382083893
Fog1,Cebpa,0.07707714289426804
Fog1,EgrNab,0.07346176356077194
Fog1,Eklf,0.08892471343278885
Fog1,Fli1,0.08773656189441681
Fog1,Gata1,0.1698209047317505
Fog1,Gata2,0.08663328737020493
Fog1,Gfi1,0.07366545498371124
Fog1,Pu1,0.09082575887441635
Fog1,Scl,0.17520155012607574
Fog1,cJun,0.07665280252695084
Gata1,Cebpa,0.06817539781332016
Gata1,EgrNab,0.06400931626558304
Gata1,Eklf,0.07156475633382797
Gata1,Fli1,0.07172362506389618
Gata1,Fog1,0.16634304821491241
Gata1,Gata2,0.08912936598062515
Gata1,Gfi1,0.06529799103736877
Gata1,Pu1,0.17497530579566956
Gata1,Scl,0.1585051566362381
Gata1,cJun,0.07027609646320343
Gata2,Cebpa,0.08216185867786407
Gata2,EgrNab,0.08007858693599701
Gata2,Eklf,0.1018766388297081
Gata2,Fli1,0.09848921746015549
Gata2,Fog1,0.11542631685733795
Gata2,Gata1,0.11322449892759323
Gata2,Gfi1,0.08123031258583069
Gata2,Pu1,0.1385623812675476
Gata2,Scl,0.10365503281354904
Gata2,cJun,0.08529521524906158
Gfi1,Cebpa,0.21242380142211914
Gfi1,EgrNab,0.09738922864198685
Gfi1,Eklf,0.07768489420413971
Gfi1,Fli1,0.07836436480283737
Gfi1,Fog1,0.07850848138332367
Gfi1,Gata1,0.08217345178127289
Gfi1,Gata2,0.08493246883153915
Gfi1,Pu1,0.10504858940839767
Gfi1,Scl,0.07912617921829224
Gfi1,cJun,0.1043485477566719
Pu1,Cebpa,0.08280956000089645
Pu1,EgrNab,0.12011115998029709
Pu1,Eklf,0.07413694262504578
Pu1,Fli1,0.07253296673297882
Pu1,Fog1,0.08068336546421051
Pu1,Gata1,0.1850905567407608
Pu1,Gata2,0.10295241326093674
Pu1,Gfi1,0.11774250864982605
Pu1,Scl,0.08073931932449341
Pu1,cJun,0.08320122212171555
Scl,Cebpa,0.07936017960309982
Scl,EgrNab,0.07753828912973404
Scl,Eklf,0.09050766378641129
Scl,Fli1,0.09370368719100952
Scl,Fog1,0.17085599899291992
Scl,Gata1,0.15799467265605927
Scl,Gata2,0.08457880467176437
Scl,Gfi1,0.07898963242769241
Scl,Pu1,0.08595294505357742
Scl,cJun,0.08051816374063492
cJun,Cebpa,0.12145524471998215
cJun,EgrNab,0.1554335206747055
cJun,Eklf,0.06579718738794327
cJun,Fli1,0.06425271928310394
cJun,Fog1,0.09315428882837296
cJun,Gata1,0.12104050815105438
cJun,Gata2,0.07492098957300186
cJun,Gfi1,0.1232714131474495
cJun,Pu1,0.09727287292480469
cJun,Scl,0.08340126276016235
