Gene1	Gene2	EdgeWeight
Fli1	Eklf	0.015028729566463056
Gfi1	Cebpa	0.00840533067059222
Pu1	Gata2	0.00797512847685
EgrNab	Cebpa	0.007919080674555556
cJun	EgrNab	0.007788521560369444
cJun	Cebpa	0.0076722089830083325
cJun	Gfi1	0.007632361394522222
Gfi1	EgrNab	0.0072441847845777785
Pu1	EgrNab	0.006265848596563334
Pu1	Gfi1	0.0058183145212777785
Pu1	Gata1	0.005724647358850001
Pu1	Cebpa	0.005535503089996667
cJun	Pu1	0.005480627019422222
Gata2	Gata1	0.005458902873237222
cJun	Gata1	0.005215001695794444
Gfi1	Gata2	0.004341123678111111
Gata2	Cebpa	0.004210691931656111
Scl	Fli1	0.004044765100377778
Fog1	Fli1	0.0039706590829444435
Gata2	Fli1	0.003960598056810556
Gata1	Fli1	0.0038597721779172227
Scl	Pu1	0.00384570075105
cJun	Gata2	0.003826796575061111
Gfi1	Gata1	0.003820319941118889
Pu1	Eklf	0.0037179208264072226
Gata2	EgrNab	0.003701211629055556
Gata2	Eklf	0.003695905432627222
cJun	Fog1	0.003671005581941111
Scl	Gata2	0.003600144716986667
Fli1	EgrNab	0.003482036577288333
Pu1	Fog1	0.003472985657163333
Scl	Fog1	0.003433038950258889
Gata1	EgrNab	0.0033616443562211108
cJun	Fli1	0.003327479342781667
Fog1	Eklf	0.003237235558748611
Eklf	EgrNab	0.003221565504729444
Scl	Eklf	0.003168688223491111
Gata2	Fog1	0.00312969536446
Scl	Cebpa	0.003074958833153333
cJun	Scl	0.003041498093028333
cJun	Eklf	0.0030401377153638893
Gata1	Cebpa	0.0030034825314227773
Fog1	Cebpa	0.002976739047297222
Pu1	Fli1	0.002928517691177777
Gata1	Fog1	0.002864177448781111
Eklf	Cebpa	0.0028529354183338893
Gfi1	Eklf	0.002824531896711111
Scl	Gata1	0.002721364440091111
Scl	EgrNab	0.0026346853805
Fli1	Cebpa	0.0025772724483694442
Scl	Gfi1	0.002558600605132223
Gfi1	Fog1	0.0024769020175883327
Fog1	EgrNab	0.002312483177831111
Gfi1	Fli1	0.00230711372825
Gata1	Eklf	0.0019899578869122217
