,LRP,source_gene,target_gene
1,0.010119215,EgrNab,Cebpa
2,0.0004647969,Eklf,Cebpa
3,0.0005281946,Fli1,Cebpa
4,0.0020357536,Fog1,Cebpa
5,0.00020993195,Gata1,Cebpa
6,0.00036552153,Gata2,Cebpa
7,0.005322637,Gfi1,Cebpa
8,0.006611843,Pu1,Cebpa
9,0.0009893009,Scl,Cebpa
10,0.007508824,cJun,Cebpa
13,0.0019448856,Eklf,EgrNab
14,0.003059088,Fli1,EgrNab
15,0.0014650845,Fog1,EgrNab
16,0.00093982904,Gata1,EgrNab
17,0.0032648852,Gata2,EgrNab
18,0.007334836,Gfi1,EgrNab
19,0.008350873,Pu1,EgrNab
20,0.0012822392,Scl,EgrNab
21,0.0035019412,cJun,EgrNab
25,0.00017556633,Fli1,Eklf
26,0.0004181307,Fog1,Eklf
27,0.001299116,Gata1,Eklf
28,0.00036167918,Gata2,Eklf
29,0.00047739965,Gfi1,Eklf
30,0.0020017885,Pu1,Eklf
31,0.0013294767,Scl,Eklf
32,0.00053728104,cJun,Eklf
37,0.00017358013,Fog1,Fli1
38,0.0003812489,Gata1,Fli1
39,0.00042544806,Gata2,Fli1
40,0.00036889868,Gfi1,Fli1
41,0.0006636746,Pu1,Fli1
42,0.0004824828,Scl,Fli1
43,0.0005213411,cJun,Fli1
49,0.0002170824,Gata1,Fog1
50,0.00029158645,Gata2,Fog1
51,0.0007666843,Gfi1,Fog1
52,0.002833073,Pu1,Fog1
53,0.0005875812,Scl,Fog1
54,0.0008205338,cJun,Fog1
61,0.0010117298,Gata2,Gata1
62,0.0002500886,Gfi1,Gata1
63,0.0031335007,Pu1,Gata1
64,0.0004133226,Scl,Gata1
65,0.003934327,cJun,Gata1
73,0.0008885127,Gfi1,Gata2
74,0.0029080976,Pu1,Gata2
75,0.00076918904,Scl,Gata2
76,0.002504127,cJun,Gata2
85,0.006081952,Pu1,Gfi1
86,0.00018383983,Scl,Gfi1
87,0.005681141,cJun,Gfi1
97,0.0019309649,Scl,Pu1
98,0.00902753,cJun,Pu1
109,0.0025419728,cJun,Scl
