Gene1,Gene2,EdgeWeight
EgrNab,Cebpa,0.007919080674555556
Eklf,Cebpa,0.002852935418333889
Eklf,EgrNab,0.003221565504729444
Fli1,Cebpa,0.0025772724483694442
Fli1,EgrNab,0.0034820365772883334
Fli1,Eklf,0.015028729566463055
Fog1,Cebpa,0.002976739047297222
Fog1,EgrNab,0.002312483177831111
Fog1,Eklf,0.003237235558748611
Fog1,Fli1,0.003970659082944444
Gata1,Cebpa,0.0030034825314227778
Gata1,EgrNab,0.003361644356221111
Gata1,Eklf,0.001989957886912222
Gata1,Fli1,0.0038597721779172222
Gata1,Fog1,0.002864177448781111
Gata2,Cebpa,0.004210691931656111
Gata2,EgrNab,0.0037012116290555557
Gata2,Eklf,0.003695905432627222
Gata2,Fli1,0.0039605980568105555
Gata2,Fog1,0.00312969536446
Gata2,Gata1,0.005458902873237222
Gfi1,Cebpa,0.008405330670592221
Gfi1,EgrNab,0.007244184784577778
Gfi1,Eklf,0.002824531896711111
Gfi1,Fli1,0.0023071137282499998
Gfi1,Fog1,0.002476902017588333
Gfi1,Gata1,0.0038203199411188885
Gfi1,Gata2,0.004341123678111111
Pu1,Cebpa,0.005535503089996667
Pu1,EgrNab,0.0062658485965633335
Pu1,Eklf,0.0037179208264072226
Pu1,Fli1,0.0029285176911777776
Pu1,Fog1,0.0034729856571633333
Pu1,Gata1,0.00572464735885
Pu1,Gata2,0.00797512847685
Pu1,Gfi1,0.005818314521277778
Scl,Cebpa,0.0030749588331533332
Scl,EgrNab,0.0026346853805
Scl,Eklf,0.003168688223491111
Scl,Fli1,0.004044765100377778
Scl,Fog1,0.003433038950258889
Scl,Gata1,0.002721364440091111
Scl,Gata2,0.0036001447169866667
Scl,Gfi1,0.0025586006051322224
Scl,Pu1,0.0038457007510499996
cJun,Cebpa,0.007672208983008333
cJun,EgrNab,0.007788521560369444
cJun,Eklf,0.003040137715363889
cJun,Fli1,0.0033274793427816667
cJun,Fog1,0.003671005581941111
cJun,Gata1,0.005215001695794444
cJun,Gata2,0.003826796575061111
cJun,Gfi1,0.007632361394522222
cJun,Pu1,0.005480627019422222
cJun,Scl,0.003041498093028333
