Gene1,Gene2,EdgeWeight
Fli1,Fog1,2.093445618811529e-05
Gata1,Gata2,2.033029886661097e-05
Gata2,Scl,2.017608676396776e-05
Scl,Gata1,2.017238330154214e-05
cJun,Fog1,1.92856587091228e-05
EgrNab,Scl,1.8999884559889324e-05
Eklf,cJun,1.888982478703838e-05
Fog1,Scl,1.8816817828337665e-05
Cebpa,Scl,1.8420725609757937e-05
Fli1,Gata1,1.822482590796426e-05
Fli1,Eklf,1.817502197809517e-05
Gata1,Scl,1.7592285075807013e-05
Gata1,cJun,1.7289663446717896e-05
Gfi1,Fog1,1.7264850612264127e-05
Fog1,Eklf,1.711044751573354e-05
Gata1,EgrNab,1.7058811863535084e-05
Gata2,cJun,1.6580803276156075e-05
Fli1,EgrNab,1.60425861395197e-05
Fli1,Gfi1,1.551211425976362e-05
EgrNab,Gata1,1.543145117466338e-05
Fog1,cJun,1.5340716345235705e-05
Eklf,Scl,1.5311823517549783e-05
EgrNab,Gfi1,1.5037245248095132e-05
Gata2,Fli1,1.5020117643871345e-05
Scl,Cebpa,1.4281305993790738e-05
Gata1,Eklf,1.424865513399709e-05
Gfi1,cJun,1.3412374755716884e-05
Cebpa,Fli1,1.3259284969535656e-05
Pu1,Cebpa,1.223883737111464e-05
Fog1,Gfi1,1.1991814972134309e-05
Cebpa,EgrNab,1.108384458348155e-05
Fli1,Gata2,1.1083335266448556e-05
Fog1,Gata1,1.0509327694308013e-05
Fog1,Gata2,1.0289240890415384e-05
Eklf,Pu1,1.0220868716714904e-05
Fli1,Scl,1.0135852789971976e-05
Gata1,Gfi1,9.652374501456508e-06
Fog1,Cebpa,9.495708582107907e-06
Pu1,cJun,9.426457836525516e-06
Gfi1,Fli1,9.280764061259106e-06
Scl,Gata2,9.050045264302751e-06
Gfi1,Pu1,8.767441613599658e-06
Pu1,Eklf,8.110795533866622e-06
Scl,cJun,7.852435373933986e-06
Gfi1,Gata2,7.068005288601853e-06
EgrNab,cJun,6.310381650109775e-06
Cebpa,Eklf,6.162890713312663e-06
Gfi1,Scl,4.88514342578128e-06
Scl,Eklf,4.060471837874502e-06
EgrNab,Cebpa,3.771912815864198e-06
Gata2,Eklf,3.623739758040756e-06
Cebpa,Pu1,3.1914951250655577e-06
Eklf,Gfi1,3.052324245800264e-06
Pu1,Fli1,1.978014552150853e-06
Eklf,Gata1,1.8442151485942304e-06
Gata2,EgrNab,1.8144819478038696e-06
EgrNab,Eklf,1.71782448887825e-06
cJun,Gata2,1.2002037692582237e-06
Fli1,cJun,1.1806332622654736e-06
Gfi1,Gata1,1.1712963896570727e-06
Pu1,Gfi1,1.1199772416148337e-06
Pu1,Fog1,5.395395419327542e-07
cJun,Fli1,1.2748023436870426e-07
Gata2,Pu1,2.163069439120591e-07
Gata2,Gata1,2.436227077851072e-07
Gata1,Cebpa,5.857982614543289e-07
Scl,Fog1,1.2198506738059225e-06
Scl,Fli1,1.2665968824876472e-06
Gata1,Fog1,1.3176850188756362e-06
Pu1,Gata2,2.2278272808762267e-06
Eklf,Cebpa,3.1258132366929203e-06
cJun,Scl,3.1826966733206064e-06
Cebpa,cJun,3.5651592042995617e-06
Fog1,EgrNab,3.884086254402064e-06
cJun,EgrNab,4.27862505603116e-06
Gfi1,Cebpa,4.729246938950382e-06
Eklf,Fli1,4.945628461427987e-06
Cebpa,Fog1,5.761085049016401e-06
Cebpa,Gata1,5.768886694568209e-06
EgrNab,Gata2,5.8953301049768925e-06
Fog1,Pu1,7.212665877887048e-06
cJun,Gfi1,7.349584848270751e-06
Eklf,Fog1,8.199913281714544e-06
EgrNab,Pu1,8.220427844207734e-06
Gata2,Fog1,8.427483408013359e-06
Scl,EgrNab,9.151972335530443e-06
Gata1,Pu1,9.8288401204627e-06
Scl,Pu1,1.02356407296611e-05
Fog1,Fli1,1.0877763997996226e-05
Gata1,Fli1,1.1041001926059836e-05
Gfi1,Eklf,1.115076884161681e-05
Gata2,Cebpa,1.178613820229657e-05
Pu1,Scl,1.2073101970599964e-05
Pu1,EgrNab,1.2090027666999958e-05
Eklf,Gata2,1.323890137427952e-05
Eklf,EgrNab,1.3364886399358513e-05
Cebpa,Gfi1,1.42892895382829e-05
Fli1,Cebpa,1.5023764717625454e-05
EgrNab,Fog1,1.5316298231482506e-05
Cebpa,Gata2,1.540825905976817e-05
Fli1,Pu1,1.5629144400008954e-05
Gata2,Gfi1,1.577319562784396e-05
cJun,Eklf,1.5842031643842347e-05
Gfi1,EgrNab,1.7724012650432996e-05
cJun,Pu1,1.8180395272793248e-05
cJun,Cebpa,1.874975168902893e-05
EgrNab,Fli1,1.8916125554824248e-05
Scl,Gfi1,1.8952145182993263e-05
cJun,Gata1,1.935587533807848e-05
Pu1,Gata1,1.968355354620144e-05
