Gene1	Gene2	EdgeWeight
Fog1	Cebpa	0.9760204553604126
Pu1	Cebpa	0.9725337028503418
Gata2	Pu1	0.9708853960037231
Gata1	Fog1	0.9621828198432922
Fog1	Gata2	0.958516240119934
Gata2	Fog1	0.9569005966186525
Gata1	Pu1	0.955425500869751
Gfi1	cJun	0.9541603922843932
Fog1	Scl	0.9417535066604614
Pu1	Gata2	0.9357929229736328
Gata1	Gata2	0.9307518005371094
Gata1	Scl	0.9267106652259828
Pu1	Scl	0.9225896596908568
Gata1	Fli1	0.9191308021545409
Gfi1	EgrNab	0.9142302870750428
Gata2	Gata1	0.9027973413467408
EgrNab	Gfi1	0.899038553237915
Cebpa	Pu1	0.8962029814720154
cJun	Gfi1	0.888614296913147
Pu1	cJun	0.884695291519165
Fog1	Gata1	0.8835510015487671
Fli1	Cebpa	0.8792828321456909
Gata1	Cebpa	0.8743038773536682
Fli1	Scl	0.8528773188591003
Fli1	Gata2	0.8459632396697998
Fli1	Gata1	0.8449623584747314
Fog1	cJun	0.8397161364555359
Cebpa	Gfi1	0.8347111344337463
Gata2	Fli1	0.8334800004959106
Cebpa	Fog1	0.8153013586997986
Pu1	Gata1	0.7754220366477966
Scl	Cebpa	0.7735773921012878
Gfi1	Cebpa	0.7606805562973022
Gata2	Gfi1	0.7098305821418762
Gata2	Eklf	0.7095161676406859
Scl	cJun	0.6971598863601685
EgrNab	cJun	0.65407395362854
Fli1	Pu1	0.6487401127815247
cJun	EgrNab	0.6330856680870056
Fli1	Fog1	0.6237204074859619
Cebpa	Gata1	0.620739221572876
Gata1	Eklf	0.6183797717094421
Gata2	Scl	0.6011831760406494
Pu1	EgrNab	0.5902196764945984
Gfi1	Scl	0.5241537690162659
Fli1	cJun	0.5105319619178772
Scl	Gata2	0.4911738634109497
Fog1	Fli1	0.4776595830917358
Cebpa	Fli1	0.4755893647670746
Fog1	EgrNab	0.4732312560081482
Cebpa	Eklf	0.4618139863014221
Scl	EgrNab	0.4447445571422577
Fog1	Pu1	0.4361146986484528
Cebpa	Scl	0.37682774662971497
Gfi1	Gata2	0.362766832113266
Pu1	Fog1	0.3028013110160828
Pu1	Fli1	0.2791411876678467
Scl	Gata1	0.2578984797000885
Gata1	cJun	0.24790003895759585
Fli1	EgrNab	0.2363477051258087
Gata2	Cebpa	0.2255390733480453
Gata1	Gfi1	0.158096045255661
EgrNab	Scl	0.15715014934539795
Cebpa	Gata2	0.1532151699066162
cJun	Scl	0.14661073684692386
Fli1	Eklf	0.11429984122514725
Scl	Pu1	0.11235914379358293
cJun	Pu1	0.1091117113828659
EgrNab	Cebpa	0.0988532453775406
Gata1	EgrNab	0.09652506560087204
EgrNab	Eklf	0.09396529197692872
Fog1	Eklf	0.09242907911539078
EgrNab	Pu1	0.08849740773439407
Cebpa	EgrNab	0.08484835177659987
cJun	Cebpa	0.08467797189950943
Fli1	Gfi1	0.08324984461069107
Scl	Fog1	0.0692511796951294
Scl	Gfi1	0.06901511549949646
Cebpa	cJun	0.0677553117275238
Gfi1	Gata1	0.06290078163146973
cJun	Eklf	0.060823954641819
Pu1	Eklf	0.0490914098918438
Gata2	cJun	0.04769689217209816
cJun	Fog1	0.04694319516420365
EgrNab	Fog1	0.04556237161159515
Gata2	EgrNab	0.044807005673646934
EgrNab	Gata2	0.04131359234452248
Scl	Fli1	0.036910708993673325
cJun	Gata2	0.034379243850708015
cJun	Gata1	0.033751416951417916
EgrNab	Gata1	0.03065353445708752
Fog1	Gfi1	0.026267433539032936
Pu1	Gfi1	0.024048494175076485
EgrNab	Fli1	0.023442748934030533
Gfi1	Pu1	0.021092455834150314
Gfi1	Eklf	0.018605843186378482
Gfi1	Fli1	0.01785649731755257
cJun	Fli1	0.016870368272066116
Gfi1	Fog1	0.01681685447692871
Scl	Eklf	0.009111019782721995
