Gene1,Gene2,EdgeWeight
Irx3,Nkx62,0.0977118015289306
Dbx1,Dbx2,0.0976978465914726
Nkx62,Pax6,0.0976802706718444
Pax6,Olig2,0.0976776778697967
Olig2,Nkx22,0.0976713076233863
Nkx62,Nkx61,0.0976693853735923
Pax6,Dbx1,0.097668319940567
Irx3,Dbx1,0.0976664572954177
Olig2,Nkx61,0.097665749490261
Nkx61,Pax6,0.0976656600832939
Irx3,Nkx61,0.0976617187261581
Dbx2,Nkx22,0.0976592153310775
Nkx61,Nkx62,0.0976487472653389
Nkx61,Dbx1,0.0976480543613433
Dbx1,Pax6,0.0976477861404419
Dbx1,Irx3,0.0976470857858657
Dbx1,Olig2,0.0976375564932823
Irx3,Pax6,0.0976354256272316
Nkx61,Irx3,0.097633920609951
Nkx62,Irx3,0.0976326763629913
Nkx22,Nkx62,0.09762904047966
Nkx62,Dbx1,0.0976212173700332
Nkx61,Olig2,0.0976206734776496
Dbx1,Nkx22,0.0976204946637153
Dbx2,Nkx61,0.0976175814867019
Olig2,Irx3,0.097617007791996
Olig2,Dbx1,0.0976149514317512
Dbx2,Olig2,0.0976134315133094
Nkx22,Nkx61,0.097612164914608
Nkx61,Nkx22,0.0976095646619796
Pax6,Dbx2,0.0976033583283424
Nkx22,Dbx2,0.0976001247763633
Nkx62,Dbx2,0.0975988209247589
Dbx1,Nkx61,0.0975976958870887
Nkx61,Dbx2,0.0975942760705947
Nkx62,Olig2,0.0975882112979888
Dbx2,Irx3,0.0975879579782486
Nkx22,Dbx1,0.0975870266556739
Irx3,Nkx22,0.0975648313760757
Nkx22,Irx3,0.0975543186068534
Dbx2,Dbx1,0.0975492000579834
Irx3,Dbx2,0.0975488573312759
Olig2,Pax6,0.0975466445088386
Pax6,Irx3,0.0975458472967147
Pax6,Nkx62,0.0975457578897476
Pax6,Nkx22,0.0975411981344223
Olig2,Dbx2,0.0975393205881118
Olig2,Nkx62,0.0975387915968895
Pax6,Nkx61,0.0975366458296775
Dbx1,Nkx62,0.0975345000624656
Dbx2,Nkx62,0.0975307077169418
Dbx2,Pax6,0.0975304469466209
Irx3,Olig2,0.0975253134965896
Nkx62,Nkx22,0.0975233912467956
Nkx22,Olig2,0.0975207090377807
Nkx22,Pax6,0.0975172668695449
