Gene1	Gene2	EdgeWeight
Pax6	Nkx22	0.5386915489150288
Nkx22	Pax6	0.4693747926080172
Irx3	Olig2	0.4315013478942064
Olig2	Irx3	0.4052798741642337
Nkx61	Dbx2	0.3934512479291351
Dbx2	Nkx61	0.373812978856548
Dbx2	Nkx62	0.33604028765480565
Dbx2	Dbx1	0.3085361019987232
Dbx1	Nkx62	0.2418224517911844
Nkx62	Dbx1	0.2318477283275746
Nkx61	Dbx1	0.2285190096357228
Pax6	Olig2	0.22132530641375628
Olig2	Pax6	0.2190892144025052
Pax6	Irx3	0.21674287489613306
Nkx61	Nkx62	0.21078317992864007
Nkx62	Dbx2	0.21039436325608776
Irx3	Pax6	0.1952657609971455
Dbx1	Dbx2	0.19017841711801106
Nkx22	Olig2	0.1863494345051824
Olig2	Nkx22	0.17703186867551834
Nkx62	Nkx61	0.1757506772523055
Dbx1	Nkx61	0.16818313688966738
Nkx22	Irx3	0.16288742873489676
Irx3	Nkx22	0.16184014405118485
Irx3	Dbx2	0.09962073065744304
Dbx2	Irx3	0.0991482748980976
Irx3	Nkx61	0.08932476944117533
Irx3	Dbx1	0.07833622899793992
Nkx22	Nkx61	0.07137410273782066
Irx3	Nkx62	0.07047507836976874
Olig2	Nkx61	0.06737934560008954
Dbx2	Olig2	0.05731674589384075
Pax6	Nkx61	0.05417498922239383
Olig2	Dbx1	0.052715760220021585
Pax6	Dbx1	0.05061183040177554
Nkx22	Dbx1	0.0494333404182424
Nkx61	Irx3	0.048494563889805005
Nkx22	Nkx62	0.048084745599300135
Olig2	Nkx62	0.04752490485849095
Pax6	Nkx62	0.04526935179781008
Olig2	Dbx2	0.04231588168358976
Dbx2	Nkx22	0.04125821764440694
Dbx2	Pax6	0.040197875564775165
Nkx61	Olig2	0.03736728980864812
Nkx22	Dbx2	0.0351673336880021
Nkx62	Irx3	0.03390967009348663
Dbx1	Irx3	0.033537313323347355
Nkx62	Olig2	0.033273209378553825
Dbx1	Olig2	0.032866666105812306
Pax6	Dbx2	0.028872025667731237
Nkx61	Nkx22	0.02865087614159315
Dbx1	Nkx22	0.026570775768178508
Nkx61	Pax6	0.026204639239249896
Dbx1	Pax6	0.025984553976532352
Nkx62	Nkx22	0.025956568804089444
Nkx62	Pax6	0.02388316321177469
