Gene1,Gene2,EdgeWeight
Nkx61,Dbx1,0.9023216962814331
Nkx61,Dbx2,0.8467446565628052
Dbx1,Nkx62,0.7813286185264587
Nkx22,Pax6,0.7651693224906921
Nkx22,Olig2,0.7643658518791199
Dbx1,Nkx61,0.7595810890197754
Dbx2,Nkx62,0.756182074546814
Dbx2,Nkx61,0.7360121607780457
Dbx2,Nkx22,0.7348402142524719
Pax6,Nkx22,0.7330901622772217
Nkx22,Dbx2,0.6990323066711426
Nkx61,Pax6,0.5975812077522278
Nkx61,Olig2,0.5865954160690308
Nkx61,Irx3,0.5773147940635681
Irx3,Nkx22,0.5631526708602905
Nkx22,Irx3,0.558315098285675
Irx3,Olig2,0.5474308133125305
Nkx22,Dbx1,0.5437527298927307
Irx3,Pax6,0.5436205863952637
Pax6,Nkx62,0.5229799747467041
Dbx1,Nkx22,0.5104283690452576
Pax6,Olig2,0.5085539817810059
Irx3,Dbx2,0.5014441609382629
Pax6,Nkx61,0.4967959225177765
Irx3,Nkx62,0.41537362337112427
Irx3,Nkx61,0.40818220376968384
Pax6,Irx3,0.37536191940307617
Irx3,Dbx1,0.3379046320915222
Dbx2,Olig2,0.31648173928260803
Dbx2,Irx3,0.31555595993995667
Dbx2,Pax6,0.30610793828964233
Pax6,Dbx2,0.27187690138816833
Nkx61,Nkx62,0.2696818709373474
Dbx1,Irx3,0.24635235965251923
Nkx22,Nkx61,0.2355470508337021
Nkx22,Nkx62,0.22966359555721283
Nkx61,Nkx22,0.19468992948532104
Dbx1,Olig2,0.18462392687797546
Dbx1,Pax6,0.17995932698249817
Dbx1,Dbx2,0.17597819864749908
Pax6,Dbx1,0.14946478605270386
Dbx2,Dbx1,0.09838122129440308
