Gene1	Gene2	EdgeWeight
Irx3	Olig2	455.873340949679
Olig2	Irx3	441.54189702210914
Nkx22	Pax6	338.445111818721
Pax6	Nkx22	294.35232300968187
Pax6	Olig2	287.00385025168214
Nkx61	Dbx2	263.67685554316927
Dbx2	Nkx62	228.7019717391796
Pax6	Irx3	211.28814033582626
Dbx2	Nkx61	199.02160662017258
Nkx61	Nkx62	185.7776665301056
Nkx22	Irx3	181.89066437978286
Dbx2	Dbx1	179.9324571286919
Dbx1	Nkx62	169.9809073751355
Nkx22	Olig2	160.24622867456287
Olig2	Pax6	142.57430781439948
Dbx1	Dbx2	127.77570278007305
Nkx62	Dbx2	119.6097867988832
Irx3	Pax6	117.45743660974995
Irx3	Nkx22	115.25335868524677
Nkx61	Dbx1	107.97697292431276
Dbx2	Irx3	101.85804221768274
Nkx62	Dbx1	101.6551972678353
Olig2	Nkx22	97.54212940871241
Nkx62	Nkx61	76.28159466941092
Dbx1	Nkx61	74.92375221843781
Irx3	Dbx2	57.451305844173795
Nkx61	Irx3	55.200750572707605
Irx3	Nkx62	48.03967342023146
Dbx2	Olig2	45.06672615000611
Nkx61	Olig2	36.192856045700324
Irx3	Dbx1	35.99777571909448
Nkx62	Irx3	34.89666412507625
Dbx1	Irx3	31.32384134681523
Irx3	Nkx61	30.206820259240178
Pax6	Nkx62	27.93861236479319
Olig2	Nkx62	25.67947295282281
Nkx62	Olig2	25.27360135818371
Nkx22	Dbx2	25.152473233771854
Olig2	Dbx2	24.989929070241793
Olig2	Nkx61	23.998178940607954
Nkx22	Nkx62	23.881695617731797
Dbx1	Olig2	23.343396570185828
Nkx22	Dbx1	21.394479106177467
Nkx22	Nkx61	19.75440542039128
Pax6	Dbx2	18.343946729687122
Pax6	Dbx1	17.577475388436323
Olig2	Dbx1	17.465642465451705
Dbx2	Pax6	15.97119322233966
Pax6	Nkx61	15.81364187173924
Nkx61	Pax6	14.281039479653618
Dbx2	Nkx22	13.35405804232213
Nkx61	Nkx22	12.793493070327859
Dbx1	Pax6	10.663514848291406
Nkx62	Nkx22	9.183421890285103
Nkx62	Pax6	8.607396206844971
Dbx1	Nkx22	8.521215893423811
