TF	target	importance
Irx3	Olig2	455.873340949679
Olig2	Irx3	441.5418970221091
Nkx22	Pax6	338.445111818721
Pax6	Nkx22	294.3523230096819
Pax6	Olig2	287.0038502516821
Nkx61	Dbx2	263.67685554316927
Dbx2	Nkx62	228.70197173917964
Pax6	Irx3	211.28814033582628
Dbx2	Nkx61	199.02160662017258
Nkx61	Nkx62	185.7776665301056
Nkx22	Irx3	181.89066437978286
Dbx2	Dbx1	179.9324571286919
Dbx1	Nkx62	169.9809073751355
Nkx22	Olig2	160.24622867456287
Olig2	Pax6	142.57430781439948
Dbx1	Dbx2	127.77570278007305
Nkx62	Dbx2	119.60978679888322
Irx3	Pax6	117.45743660974995
Irx3	Nkx22	115.25335868524678
Nkx61	Dbx1	107.97697292431275
Dbx2	Irx3	101.85804221768274
Nkx62	Dbx1	101.65519726783533
Olig2	Nkx22	97.5421294087124
Nkx62	Nkx61	76.28159466941092
Dbx1	Nkx61	74.92375221843781
Irx3	Dbx2	57.4513058441738
Nkx61	Irx3	55.2007505727076
Irx3	Nkx62	48.039673420231466
Dbx2	Olig2	45.06672615000612
Nkx61	Olig2	36.19285604570033
Irx3	Dbx1	35.99777571909448
Nkx62	Irx3	34.89666412507625
Dbx1	Irx3	31.32384134681523
Irx3	Nkx61	30.20682025924018
Pax6	Nkx62	27.938612364793187
Olig2	Nkx62	25.679472952822806
Nkx62	Olig2	25.273601358183715
Nkx22	Dbx2	25.152473233771847
Olig2	Dbx2	24.989929070241793
Olig2	Nkx61	23.998178940607954
Nkx22	Nkx62	23.881695617731793
Dbx1	Olig2	23.34339657018583
Nkx22	Dbx1	21.394479106177464
Nkx22	Nkx61	19.75440542039128
Pax6	Dbx2	18.34394672968712
Pax6	Dbx1	17.577475388436323
Olig2	Dbx1	17.465642465451705
Dbx2	Pax6	15.97119322233966
Pax6	Nkx61	15.813641871739241
Nkx61	Pax6	14.281039479653618
Dbx2	Nkx22	13.35405804232213
Nkx61	Nkx22	12.79349307032786
Dbx1	Pax6	10.663514848291406
Nkx62	Nkx22	9.183421890285103
Nkx62	Pax6	8.607396206844971
Dbx1	Nkx22	8.521215893423811
