Gene1	Gene2	EdgeWeight
Nkx22	Pax6	0.2768106460571289
Pax6	Nkx22	0.2520864903926849
Nkx61	Dbx2	0.2295340746641159
Olig2	Pax6	0.2023494988679886
Olig2	Irx3	0.2004500925540924
Dbx2	Nkx61	0.19420571625232694
Olig2	Nkx22	0.19262532889842987
Irx3	Nkx22	0.1922075152397156
Nkx62	Dbx2	0.1920779049396515
Irx3	Pax6	0.19203948974609372
Irx3	Olig2	0.19090528786182406
Dbx1	Dbx2	0.18722036480903625
Dbx2	Irx3	0.18011870980262756
Nkx62	Nkx61	0.17748607695102692
Pax6	Olig2	0.17351144552230835
Dbx1	Nkx61	0.1721884310245514
Pax6	Irx3	0.16445292532444
Dbx2	Dbx1	0.1556658297777176
Dbx2	Nkx62	0.15555506944656372
Nkx62	Dbx1	0.15462170541286469
Dbx1	Nkx62	0.1542154848575592
Nkx61	Dbx1	0.14220115542411804
Nkx61	Nkx62	0.1421426683664322
Nkx22	Irx3	0.14156034588813782
Irx3	Dbx2	0.13476160168647766
Nkx22	Olig2	0.1294107884168625
Nkx61	Pax6	0.12421396374702455
Nkx61	Irx3	0.12412622570991515
Dbx1	Irx3	0.12357348203659058
Nkx22	Nkx61	0.1228240206837654
Dbx1	Pax6	0.12249258905649185
Dbx1	Nkx22	0.12146197259426116
Nkx62	Pax6	0.1210719868540764
Nkx62	Irx3	0.11983685195446014
Nkx61	Nkx22	0.11959286779165268
Dbx1	Olig2	0.11884772032499312
Nkx62	Nkx22	0.11868788301944733
Nkx61	Olig2	0.11818898469209672
Nkx62	Olig2	0.11621761322021484
Nkx22	Dbx2	0.11156006157398224
Irx3	Nkx61	0.11123713105916977
Dbx2	Pax6	0.10963941365480424
Nkx22	Dbx1	0.10923533141613008
Nkx22	Nkx62	0.10859878361225128
Pax6	Nkx61	0.10786259174346924
Olig2	Nkx61	0.10521100461483003
Dbx2	Olig2	0.10283954441547394
Pax6	Dbx2	0.10203561931848526
Dbx2	Nkx22	0.101975716650486
Olig2	Dbx1	0.10106119513511658
Pax6	Dbx1	0.10022900253534316
Pax6	Nkx62	0.09982187300920486
Olig2	Nkx62	0.09965727478265762
Olig2	Dbx2	0.0986456423997879
Irx3	Dbx1	0.08947700262069702
Irx3	Nkx62	0.08937197923660277
