Gene1,Gene2,EdgeWeight
Dbx1,Dbx2,0.9980243444442749
Dbx1,Irx3,0.6129178404808044
Dbx1,Nkx22,0.6226444244384766
Dbx1,Nkx61,0.9089665412902832
Dbx1,Nkx62,0.8291794061660767
Dbx1,Olig2,0.6170212626457214
Dbx1,Pax6,0.626291811466217
Dbx2,Dbx1,0.7948660254478455
Dbx2,Irx3,0.9109374284744263
Dbx2,Nkx22,0.5197544693946838
Dbx2,Nkx61,0.9812499284744263
Dbx2,Nkx62,0.792187511920929
Dbx2,Olig2,0.5316964387893677
Dbx2,Pax6,0.5402901768684387
Irx3,Dbx1,0.4824601113796234
Irx3,Dbx2,0.688268780708313
Irx3,Nkx22,0.9784737825393677
Irx3,Nkx61,0.5643507838249207
Irx3,Nkx62,0.47767654061317444
Irx3,Olig2,0.9995443820953369
Irx3,Pax6,0.9777902960777283
Nkx22,Dbx1,0.3985801339149475
Nkx22,Dbx2,0.3984786868095398
Nkx22,Irx3,0.5322515368461609
Nkx22,Nkx61,0.4420892596244812
Nkx22,Nkx62,0.4067951440811157
Nkx22,Olig2,0.48498988151550293
Nkx22,Pax6,1.0
Nkx61,Dbx1,0.6397022008895874
Nkx61,Dbx2,0.9936724901199341
Nkx61,Irx3,0.5346153974533081
Nkx61,Nkx22,0.5098015069961548
Nkx61,Nkx62,0.6361042261123657
Nkx61,Olig2,0.5017369985580444
Nkx61,Pax6,0.5233250260353088
Nkx62,Dbx1,0.7540114521980286
Nkx62,Dbx2,0.985243558883667
Nkx62,Irx3,0.5743553042411804
Nkx62,Nkx22,0.5795129537582397
Nkx62,Nkx61,0.9339541792869568
Nkx62,Olig2,0.5805158019065857
Nkx62,Pax6,0.5865330100059509
Olig2,Dbx1,0.4497816264629364
Olig2,Dbx2,0.4431222975254059
Olig2,Irx3,0.9835153222084045
Olig2,Nkx22,0.9409388303756714
Olig2,Nkx61,0.47685590386390686
Olig2,Nkx62,0.44301310181617737
Olig2,Pax6,0.9910480380058289
Pax6,Dbx1,0.41484534740448
Pax6,Dbx2,0.4213402569293976
Pax6,Irx3,0.6669072508811951
Pax6,Nkx22,0.9998969435691833
Pax6,Nkx61,0.4548453688621521
Pax6,Nkx62,0.40484532713890076
Pax6,Olig2,0.7061855792999268
