Gene1	Gene2	EdgeWeight
Pax6	Nkx22	0.031098485537038888
Olig2	Irx3	0.02255636197603889
Pax6	Olig2	0.02116025146376111
Olig2	Nkx22	0.017985951402799998
Pax6	Irx3	0.01744921645331111
Nkx61	Irx3	0.012383258969061112
Nkx61	Dbx2	0.010995322135555556
Irx3	Dbx2	0.010045308065177777
Nkx22	Irx3	0.009999164256161113
Irx3	Dbx1	0.009760604745142223
Pax6	Nkx61	0.009592248699722222
Dbx2	Dbx1	0.009181546202805554
Olig2	Nkx61	0.009175266453333334
Nkx62	Nkx61	0.008870038459488888
Nkx61	Dbx1	0.008806678247294444
Pax6	Dbx2	0.008757246518477778
Nkx22	Dbx2	0.0084787035055
Nkx62	Dbx2	0.008122441393216667
Nkx62	Irx3	0.007798706511283332
Pax6	Dbx1	0.007626469813119444
Nkx62	Dbx1	0.007507159980433335
Olig2	Dbx2	0.007469006286066111
Pax6	Nkx62	0.005473658279207778
Nkx61	Nkx22	0.0053194328540477785
Nkx22	Dbx1	0.004799910003502778
Olig2	Dbx1	0.00438206416542
Olig2	Nkx62	0.0039835039099277774
Nkx62	Nkx22	0.003600093474706667
