,LRP,source_gene,target_gene
1,0.008930793,Dbx2,Dbx1
2,0.011365749,Irx3,Dbx1
3,0.0046215365,Nkx22,Dbx1
4,0.007912862,Nkx61,Dbx1
5,0.010891167,Nkx62,Dbx1
6,0.0029990866,Olig2,Dbx1
7,0.010232453,Pax6,Dbx1
10,0.013440074,Irx3,Dbx2
11,0.009670866,Nkx22,Dbx2
12,0.00815865,Nkx61,Dbx2
13,0.008598133,Nkx62,Dbx2
14,0.0049983384,Olig2,Dbx2
15,0.0153514175,Pax6,Dbx2
19,0.03171677,Nkx22,Irx3
20,0.013203514,Nkx61,Irx3
21,0.011899784,Nkx62,Irx3
22,0.023551695,Olig2,Irx3
23,0.059761956,Pax6,Irx3
28,0.0070837103,Nkx61,Nkx22
29,0.0034167012,Nkx62,Nkx22
30,0.014470792,Olig2,Nkx22
31,0.09485489,Pax6,Nkx22
37,0.00770577,Nkx62,Nkx61
38,0.0086493725,Olig2,Nkx61
39,0.013684355,Pax6,Nkx61
46,0.005107104,Olig2,Nkx62
47,0.025041196,Pax6,Nkx62
55,0.06307033,Pax6,Olig2
