Gene1	Gene2	EdgeWeight
Olig2	Pax6	0.0560667887330055
Irx3	Dbx1	0.0560623258352279
Nkx62	Irx3	0.0560527890920639
Nkx22	Nkx61	0.0560519285500049
Dbx2	Irx3	0.0560515820980072
Irx3	Nkx62	0.0560513325035572
Pax6	Olig2	0.0560495182871818
Dbx2	Pax6	0.0560436099767684
Pax6	Dbx2	0.0560398735105991
Olig2	Dbx1	0.0560163669288158
Nkx62	Dbx2	0.05601225048303599
Irx3	Nkx61	0.0560083948075771
Nkx61	Nkx22	0.0560052432119846
Dbx1	Dbx2	0.0560028441250324
Irx3	Nkx22	0.0560002364218235
Nkx62	Pax6	0.0560001842677593
Nkx22	Dbx2	0.0559935458004474
Nkx61	Nkx62	0.0559934265911579
Nkx62	Olig2	0.0559911057353019
Nkx62	Nkx22	0.0559814423322677
Irx3	Pax6	0.0559795461595058
Pax6	Irx3	0.0559785887598991
Nkx61	Irx3	0.0559779070317745
Nkx62	Dbx1	0.0559766441583633
Nkx61	Pax6	0.0559737049043178
Nkx22	Olig2	0.0559733211994171
Nkx22	Dbx1	0.055970337241888
Dbx1	Olig2	0.0559698604047298
Irx3	Olig2	0.0559646934270858
Dbx2	Nkx61	0.0559589825570583
Pax6	Nkx22	0.055956844240426996
Pax6	Nkx61	0.0559545792639255
Dbx1	Nkx62	0.0559414103627204
Nkx61	Dbx2	0.0559404864907264
Dbx2	Nkx22	0.0559361688792705
Nkx61	Olig2	0.0559323616325855
Dbx2	Dbx1	0.055931206792592995
Nkx22	Pax6	0.0559296235442161
Olig2	Nkx61	0.0559287071228027
Nkx22	Nkx62	0.0559277012944221
Dbx2	Nkx62	0.0559275634586811
Irx3	Dbx2	0.0559237375855445
Olig2	Nkx22	0.0559127666056156
Nkx62	Nkx61	0.0559065975248813
Dbx1	Pax6	0.0559051521122455
Pax6	Dbx1	0.0559039004147052
Pax6	Nkx62	0.0558986477553844
Dbx2	Olig2	0.05589640885591501
Dbx1	Nkx22	0.0558941215276718
Dbx1	Irx3	0.0558939687907695
Olig2	Dbx2	0.0558930672705173
Dbx1	Nkx61	0.0558723285794258
Olig2	Nkx62	0.0558388866484165
Nkx61	Dbx1	0.0558380372822284
Olig2	Irx3	0.0558314770460128
Nkx22	Irx3	0.0558259785175323
