TF	Target	EdgeWeight
Olig2	Pax6	0.056066788733005524
Irx3	Dbx1	0.056062325835227966
Nkx62	Irx3	0.056052789092063904
Nkx22	Nkx61	0.05605192855000496
Dbx2	Irx3	0.0560515820980072
Irx3	Nkx62	0.056051332503557205
Pax6	Olig2	0.056049518287181854
Dbx2	Pax6	0.056043609976768494
Pax6	Dbx2	0.056039873510599136
Olig2	Dbx1	0.05601636692881584
Nkx62	Dbx2	0.05601225048303604
Irx3	Nkx61	0.05600839480757713
Nkx61	Nkx22	0.056005243211984634
Dbx1	Dbx2	0.056002844125032425
Irx3	Nkx22	0.0560002364218235
Nkx62	Pax6	0.05600018426775932
Nkx22	Dbx2	0.055993545800447464
Nkx61	Nkx62	0.05599342659115791
Nkx62	Olig2	0.05599110573530197
Nkx62	Nkx22	0.05598144233226776
Irx3	Pax6	0.055979546159505844
Pax6	Irx3	0.05597858875989914
Nkx61	Irx3	0.05597790703177452
Nkx62	Dbx1	0.05597664415836334
Nkx61	Pax6	0.055973704904317856
Nkx22	Olig2	0.055973321199417114
Nkx22	Dbx1	0.055970337241888046
Dbx1	Olig2	0.05596986040472984
Irx3	Olig2	0.055964693427085876
Dbx2	Nkx61	0.055958982557058334
Pax6	Nkx22	0.05595684424042702
Pax6	Nkx61	0.05595457926392555
Dbx1	Nkx62	0.05594141036272049
Nkx61	Dbx2	0.05594048649072647
Dbx2	Nkx22	0.055936168879270554
Nkx61	Olig2	0.055932361632585526
Dbx2	Dbx1	0.055931206792593
Nkx22	Pax6	0.055929623544216156
Olig2	Nkx61	0.055928707122802734
Nkx22	Nkx62	0.05592770129442215
Dbx2	Nkx62	0.05592756345868111
Irx3	Dbx2	0.055923737585544586
Olig2	Nkx22	0.055912766605615616
Nkx62	Nkx61	0.05590659752488136
Dbx1	Pax6	0.05590515211224556
Pax6	Dbx1	0.055903900414705276
Pax6	Nkx62	0.055898647755384445
Dbx2	Olig2	0.05589640885591507
Dbx1	Nkx22	0.055894121527671814
Dbx1	Irx3	0.05589396879076958
Olig2	Dbx2	0.05589306727051735
Dbx1	Nkx61	0.05587232857942581
Olig2	Nkx62	0.05583888664841652
Nkx61	Dbx1	0.05583803728222847
Olig2	Irx3	0.05583147704601288
Nkx22	Irx3	0.05582597851753235
