Gene1	Gene2	EdgeWeight
Olig2	Nkx61	0.9998408555984496
Olig2	Dbx2	0.9998338222503662
Olig2	Nkx22	0.9998302459716796
Dbx2	Nkx61	0.9998196959495544
Dbx2	Olig2	0.9998193383216858
Olig2	Irx3	0.999817192554474
Dbx2	Nkx22	0.9998130202293396
Dbx2	Irx3	0.9997937083244324
Olig2	Pax6	0.9997643828392028
Nkx22	Nkx61	0.999749720096588
Nkx22	Olig2	0.9997491240501404
Nkx22	Dbx2	0.9997426867485046
Dbx2	Pax6	0.9997385144233704
Nkx61	Olig2	0.9997356534004213
Nkx61	Dbx2	0.9997311234474182
Nkx22	Irx3	0.99971204996109
Nkx61	Nkx22	0.9997106194496156
Nkx61	Irx3	0.9997043013572692
Pax6	Nkx61	0.9997021555900574
Pax6	Dbx2	0.9997010827064514
Pax6	Olig2	0.9997010231018066
Pax6	Nkx22	0.9996888637542723
Pax6	Irx3	0.9996573925018309
Nkx22	Pax6	0.9996367692947388
Nkx61	Pax6	0.9996280670166016
Irx3	Nkx61	0.9995421171188354
Irx3	Olig2	0.9995362758636476
Irx3	Dbx2	0.9995250701904296
Irx3	Nkx22	0.999520182609558
Irx3	Pax6	0.9993675351142884
Dbx1	Nkx62	0.9976563453674316
Nkx62	Dbx1	0.996536374092102
Irx3	Dbx1	0.003641077782958746
Nkx61	Dbx1	0.003140906570479274
Pax6	Dbx1	0.0028420959133654837
Pax6	Nkx62	0.002638857811689377
Nkx22	Dbx1	0.002570550190284848
Irx3	Nkx62	0.002334632677957416
Nkx62	Pax6	0.0023024466354399924
Dbx1	Pax6	0.002158945892006159
Dbx2	Dbx1	0.0020427443087100983
Nkx61	Nkx62	0.002037424361333251
Olig2	Dbx1	0.002001213375478983
Nkx62	Olig2	0.0019493687432259321
Nkx62	Dbx2	0.0019448031671345234
Nkx62	Nkx22	0.0019103777594864366
Dbx1	Olig2	0.0018411680357530715
Dbx1	Dbx2	0.001835504313930869
Nkx62	Irx3	0.0018118469743058085
Dbx1	Nkx22	0.0018051440129056575
Nkx62	Nkx61	0.0017856224440038204
Nkx22	Nkx62	0.0017269761301577091
Dbx1	Irx3	0.0017045795684680345
Dbx1	Nkx61	0.0016759256832301615
Dbx2	Nkx62	0.001402253867127001
Olig2	Nkx62	0.0012653550365939734
