TF	target	importance
G12	G8	0.17057235440107898
G8	G12	0.15347378283021376
G33	G77	0.12498382803217745
G33	G65	0.12402645612334398
G4	G18	0.1222744615236621
G59	G5	0.12161683038105814
G3	G79	0.1206917165660146
G80	G28	0.11968145102044876
G7	G70	0.11638625218714263
G2	G22	0.11520549532904704
G77	G33	0.113758680003318
G22	G2	0.11302481130202464
G79	G3	0.11071909216442544
G65	G33	0.1095909261074435
G5	G59	0.1092650927525597
G28	G80	0.10767514152792887
G30	G84	0.10421244246489948
G92	G84	0.10420623806385948
G84	G92	0.10043874132599709
G69	G59	0.1002866383325248
G30	G32	0.09886566796640989
G70	G7	0.09797883686313576
G84	G94	0.09790331280971841
G72	G70	0.09660971374793006
G84	G32	0.09435897186754073
G59	G23	0.09432684455422917
G59	G69	0.09391721541063323
G72	G7	0.09217594766326502
G32	G85	0.08882882104642319
G32	G84	0.08846154465054984
G92	G94	0.08835262129368264
G85	G92	0.0879497552412682
G82	G63	0.08777625990930867
G69	G23	0.08711302527567533
G44	G47	0.08575231619659594
G23	G69	0.08570942000799169
G23	G59	0.085121234464323
G92	G85	0.08499898980880999
G7	G72	0.08354859098314177
G84	G85	0.08354593862179516
G94	G92	0.0818813120948848
G63	G82	0.07916162523021464
G5	G23	0.07905125879548908
G23	G5	0.07905059931372352
G77	G65	0.07882783615170871
G65	G77	0.07854548139569607
G5	G57	0.07777164606911668
G47	G44	0.07745992639862158
G85	G94	0.07532020707837961
G99	G32	0.07490314764832999
G92	G32	0.07284143802817201
G15	G22	0.07061137165984699
G70	G72	0.07049159921659423
G57	G5	0.06996175345684849
G57	G23	0.06894167034411632
G57	G59	0.06872738603338985
G2	G91	0.06838746414267874
G59	G57	0.06627922089401334
G55	G6	0.0660416790873374
G94	G84	0.0644912423466165
G84	G97	0.06440216913288638
G69	G5	0.06386810330833269
G22	G15	0.06356116628636721
G32	G92	0.06355470276394738
G99	G84	0.0634813651470565
G30	G94	0.06301799719641375
G2	G36	0.06282190555013757
G2	G15	0.06266741668951203
G94	G85	0.06206237903757661
G98	G26	0.0620269256883687
G85	G84	0.061938873057248996
G6	G55	0.06173384920877341
G30	G99	0.06112083752776491
G30	G85	0.06110411449464341
G85	G32	0.059755978886755184
G92	G97	0.05943413288899247
G23	G57	0.0590474712777884
G15	G2	0.05733149813633836
G95	G21	0.05512338483673696
G18	G4	0.05469131051747452
G5	G69	0.05364435348220713
G23	G50	0.05270782506673099
G32	G99	0.0519430358443083
G84	G30	0.0508412524538666
G82	G27	0.05066910553371824
G56	G62	0.05058721545324701
G90	G82	0.05054742640841901
G50	G69	0.0504583608633001
G22	G98	0.050167516974821066
G84	G99	0.04973196402396289
G36	G2	0.04917919233735448
G32	G94	0.04883965774235205
G27	G82	0.048721258007273054
G60	G99	0.04791329855783998
G41	G50	0.04780597528416861
G26	G50	0.04764924383120886
G19	G99	0.047334257966048454
G92	G99	0.04712084997457583
G26	G98	0.04704871266964989
G69	G50	0.04693854150758961
G69	G57	0.04516492170015436
G64	G50	0.04503611836847031
G32	G30	0.04496780720530185
G97	G94	0.04471908541479703
G14	G52	0.043438852105652154
G24	G37	0.0424160371361346
G59	G50	0.04175846457459142
G98	G22	0.04167867075585058
G35	G99	0.04147358696597787
G36	G22	0.040911622872416266
G84	G78	0.04080693746410792
G94	G32	0.04077958077109143
G46	G75	0.04067365240954801
G82	G90	0.04064237434071467
G97	G92	0.04046204315325154
G60	G85	0.04042619164329576
G15	G38	0.04024143857509296
G19	G85	0.04017486648247992
G99	G30	0.04003747891645581
G78	G93	0.03953724629755176
G17	G99	0.03941374971099271
G31	G18	0.03866508827148332
G57	G69	0.03852334209834151
G60	G32	0.03814034047554284
G60	G94	0.03803848566751773
G10	G27	0.03789202010032564
G30	G18	0.03779875060229537
G27	G10	0.03767107585410326
G49	G89	0.037664790888304045
G30	G92	0.03765962104445506
G92	G30	0.037431314582025685
G99	G92	0.03725900072002587
G42	G99	0.03717292975402121
G56	G14	0.037044450427006825
G50	G23	0.03682158288674947
G39	G34	0.036820731034127946
G28	G53	0.036769466383625785
G95	G38	0.03676390012397259
G52	G14	0.03669072274793427
G94	G97	0.036625684281516954
G6	G16	0.0364781720493666
G55	G75	0.03620383929986938
G91	G2	0.0361824023129165
G39	G44	0.03581607750936178
G99	G85	0.035800979472663565
G92	G78	0.03577690517731021
