Gene1	Gene2	EdgeWeight
G12	G8	63.15356846505686
G4	G18	50.9059427633031
G33	G77	49.84497864951806
G84	G94	48.81470309818768
G30	G84	47.53320203710364
G8	G12	45.86286826614243
G5	G59	43.996205524646186
G85	G84	39.90088830766168
G92	G84	37.85719407558507
G30	G32	37.53857186878356
G23	G59	37.495272610238
G32	G84	37.464197092573656
G84	G32	37.135286874871966
G2	G22	35.31005521117385
G59	G5	33.24468560779425
G69	G59	32.67229071213086
G3	G79	31.289679179050406
G99	G32	30.813135806762013
G92	G94	28.81830180850116
G85	G94	27.43662844104065
G30	G94	27.42683384556067
G84	G92	26.99197574301253
G85	G92	26.96081620992272
G79	G3	26.86815674561339
G85	G32	25.497942662579693
G57	G5	25.437165446962318
G15	G22	25.411145366166803
G69	G5	25.249196338501626
G99	G84	25.022508024130953
G23	G5	24.42946605254968
G92	G32	24.418852864727665
G69	G23	24.14508863742909
G59	G69	24.001087321306528
G94	G84	23.15914752730723
G5	G57	22.862920679360666
G65	G77	22.176913200900874
G23	G69	22.014874112352125
G7	G70	20.78010250112175
G72	G70	20.742068532581516
G59	G57	20.684853132024656
G31	G84	20.263645182972237
G30	G92	19.53452135572957
G94	G32	19.2980346863566
G57	G59	18.67934533494882
G59	G23	18.09512032537085
G32	G94	17.696437688853873
G57	G23	16.99753529141098
G23	G57	16.590421224382773
G65	G33	16.36464223444176
G50	G69	16.292196654387194
G77	G33	16.289561634347187
G82	G63	16.092053599550074
G5	G23	15.886020052026627
G98	G22	15.026870467544803
G55	G6	14.05105515354054
G44	G47	14.01032135513228
G69	G57	13.968452207658114
G47	G44	13.782269476215824
G97	G92	13.217808705602353
G31	G18	13.168975870190375
G32	G92	12.89549323551572
G33	G65	12.632670086155612
G80	G28	12.30220589939332
G60	G94	12.069866653803176
G77	G65	12.038841762723965
G52	G14	11.901540928961785
G5	G69	11.87897539486647
G36	G22	11.862775808171605
G32	G85	11.621723367774086
G19	G32	11.340196612036364
G50	G59	11.262111292741285
G14	G52	11.127785596075428
G84	G97	11.026197626362894
G19	G84	10.71901863799725
G41	G59	10.617011616604227
G6	G57	10.481638267806172
G40	G14	10.243390476869447
G94	G92	10.232702561528981
G92	G97	10.200950902497214
G63	G82	10.063760722968233
G76	G14	9.99954646335418
G22	G98	9.792442721940008
G97	G84	9.716601351017632
G2	G15	9.696022502393836
G9	G22	9.675209232040624
G8	G14	9.638686980636567
G97	G94	9.480179314515778
G98	G26	9.449597288795221
G78	G84	9.274021087031286
G84	G30	9.198579882126003
G57	G69	9.180626421336447
G30	G18	9.004939517470923
G99	G94	9.003798495910438
G35	G99	8.949644726679647
G39	G44	8.880857319953286
G15	G18	8.789500372754825
G78	G22	8.771934849813906
G54	G14	8.690951830203307
G11	G8	8.576833283195446
G94	G97	8.417684598393015
G46	G8	8.352538611954852
G42	G84	8.305262379748633
G42	G32	8.279990904735472
G22	G2	8.244277248955553
G6	G55	8.101272916377322
G17	G84	8.070967123201811
G78	G8	8.049169281313073
G84	G18	7.959452351199121
G27	G12	7.8101320593360875
G14	G22	7.75518812110445
G75	G59	7.6968929851459285
G15	G2	7.6747691347195905
G56	G62	7.629969802098537
G36	G15	7.537117598590068
G83	G14	7.487495080711831
G20	G77	7.47753213209064
G26	G98	7.444057154671015
G22	G15	7.294859152095331
G11	G12	7.2665506016813435
G99	G92	7.2091553345968356
G11	G84	7.110303053376512
G66	G70	7.106703852310552
G30	G12	7.035987356419104
G99	G30	6.980242497788995
G4	G57	6.96427285814282
G57	G14	6.960509796247318
G41	G5	6.911195902959276
G40	G84	6.8870909130218605
G99	G18	6.792331709662897
G22	G14	6.756132945754759
G60	G32	6.7006479973900195
G50	G23	6.692642276024378
G48	G5	6.656656958409825
G14	G15	6.654897412785042
G39	G23	6.6381327582584415
G80	G77	6.6342900427916645
G10	G27	6.581917967566793
G90	G3	6.486562047293639
G18	G4	6.446859295846607
G96	G6	6.38375617840436
G70	G12	6.338178396352303
G76	G24	6.301050140658803
G70	G7	6.2856238863203275
G90	G82	6.186871315610581
G56	G14	6.185991473753501
G13	G22	6.172827342351298
G78	G94	6.154676264891697
G64	G69	6.151785054367613
G28	G80	6.144795660137098
G35	G44	6.140067842848104
G89	G8	6.135351001952277
G36	G14	6.115030883602862
G92	G85	6.113810528377547
G41	G55	6.093427748579972
G91	G5	6.088747047795812
G85	G8	6.070554838758613
G78	G18	6.068134315018453
G11	G98	6.067012638879198
G58	G84	5.993325599981095
G17	G99	5.989520149128678
G23	G79	5.956785927713794
G27	G82	5.8857532355955025
G7	G94	5.8814189651129904
G32	G99	5.811869038806559
G94	G30	5.7989801271789485
G27	G63	5.759223863173138
G96	G57	5.723113104988438
G91	G94	5.701096983995805
G52	G22	5.68885771960507
G98	G94	5.685259106042415
G99	G77	5.638263063932875
G67	G77	5.632844868344139
G96	G18	5.617171422492398
G39	G79	5.51971713769737
G9	G40	5.490741917305368
G7	G72	5.45385953493119
G40	G94	5.452270897316012
G78	G14	5.440897254486074
G77	G47	5.436511357282015
G78	G57	5.403456831578676
G48	G22	5.372664103720193
G19	G94	5.3682510441118625
G92	G30	5.3166710240615656
G86	G84	5.31133441685182
G80	G65	5.309243078835699
G56	G12	5.248954728357818
G43	G77	5.206576336964885
G31	G32	5.20294848815054
G1	G59	5.19539031133096
G97	G32	5.189993854378859
G79	G12	5.187227270842126
G60	G30	5.159051234166483
G30	G99	5.149382297359818
